FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.2337409,-0.0369257,-3.309518,-0.12203523,-2.364494,0.060666732,-0.72584605,0.012405388,-2.5841527,-0.04159878,-0.90356785,0.06770473,-1.2159455,0.03829585,-2.7908723,-0.21313497,-1.8401577,0.12874274,-1.3388225,0.11161878,-3.3980453,0.19140035,-1.507617,0.02437076,0.06660479,0.068683304,0.022084694,-0.13072826
-1.1295531,0.04898484,-2.8663347,-0.040671773,-1.9651371,-0.22645795,-0.77778685,0.09596343,-2.3110933,0.030141596,-0.73062634,-0.005472079,-0.8384519,0.023854733,-2.7852113,0.07889151,-1.8288358,-0.01608812,-1.5129334,-0.02513539,-3.1547656,-0.029634796,-1.2016871,0.023747455,-0.063502714,-0.0082586035,-0.12803309,-0.11544193
-1.1526471,0.10270713,-3.0909026,-0.04421694,-2.1530905,-0.14301905,-0.8500813,0.18848461,-2.526903,-0.0100767575,-1.0623053,0.018138155,-0.90580255,0.059130713,-3.215181,0.18094729,-1.9696747,0.15949826,-1.6385883,0.025543116,-3.6141288,0.11814321,-0.93288213,0.06679449,-0.04693252,0.003385894,-0.23319931,-0.14521995
-1.0767617,-0.013346227,-2.6214013,-0.03654635,-1.8566272,0.11068656,-0.6794692,-0.05926375,-2.1220603,-0.007671796,-0.93038255,0.012773655,-0.72898823,-0.013738647,-2.7276173,-0.047017716,-1.6408192,0.039320454,-1.1139058,0.078654714,-3.053095,0.045859195,-0.3032801,-0.001091986,0.11491251,0.047398172,-0.004217582,-0.028431337
-1.0287933,0.0041454025,-2.5558012,-0.047214754,-1.540267,-0.020802505,-0.6541884,0.0071996264,-2.0141866,-0.014399957,-1.0589987,-0.014868006,-0.7035179,-0.014621377,-2.6924803,0.032121792,-1.5862646,0.108656995,-1.0977792,-0.035026513,-2.5956297,0.009267099,-0.10363576,-0.018850368,0.040830597,0.06511003,-0.10056518,-0.059579615
-1.0557996,0.02159158,-2.6313856,-0.059661716,-1.404687,-0.01604373,-0.6452068,-0.001392372,-2.1271484,-0.0039233305,-1.1328243,0.029677503,-0.6943761,-0.014787428,-2.769912,0.031168066,-1.5523722,0.09155147,-1.0272014,-0.030175626,-2.465562,0.015132643,0.015551239,-0.0060867127,0.065214485,0.08469794,-0.106938824,-0.049591806
-1.180419,-0.05190592,-2.627514,0.01260403,-1.9691896,0.13457364,-0.7704532,0.003156621,-2.2079384,-0.06614351,-1.1206881,0.0131278485,-0.8044538,-0.046059057,-2.7350817,-0.0018174648,-1.7976421,0.042714678,-0.8143863,0.06789186,-2.8786602,0.038659267,0.010912389,-0.050885502,0.041089237,-0.021109454,0.025109865,0.022918127
-1.1224022,-0.050406747,-2.4696083,-0.04415115,-1.941488,0.05198004,-0.77137125,0.054745294,-2.2248762,-0.050840635,-1.2170452,-0.03618062,-0.79121673,-0.04719811,-2.7090414,-0.009083636,-1.7965477,0.04919929,-0.8764217,0.054409124,-2.7943025,0.025782578,-0.2758656,-0.06479376,0.050980896,0.06975339,-0.022655599,-0.055592876
-1.1902442,-0.033686496,-2.724037,-0.10305955,-1.8162471,0.011205733,-1.0452528,0.19867425,-2.6949906,-0.1002586,-1.4261984,0.0043962747,-0.83307064,-0.15512218,-3.0744977,0.03540808,-1.7993376,0.06265221,-0.96180946,0.05383786,-2.922125,-0.015708603,-0.4312606,-0.091859885,0.035198465,0.085550085,-0.07853454,-0.11136815
-1.3238863,0.035500154,-3.117993,-0.16692853,-1.6721865,-0.0748635,-0.6978233,0.11782351,-2.6090038,0.09124489,-1.5578593,0.016241744,-0.7550752,-0.0073780566,-3.1132782,-0.07473646,-1.94198,-0.2184438,-0.8342961,0.08205294,-2.9029748,0.01652082,-0.10308348,-0.0054332567,0.09306845,0.11048357,-0.0053115506,0.03735729
-1.1846751,-0.04585038,-2.5623279,0.06513102,-1.6600604,0.10181869,-0.63807356,-0.054717608,-1.9682589,0.023181235,-1.1054907,-0.0014351234,-0.68483394,-0.071207225,-2.6831536,0.025115572,-1.6446924,0.0014903918,-0.6311885,-0.00028275698,-2.2332807,-0.023914933,0.1463212,-0.04084096,0.030448273,-0.042921446,-0.03824218,0.011441477
-1.1722524,-0.044576004,-2.5370846,0.07419331,-1.6513479,0.10559591,-0.62113225,-0.059114307,-1.9099728,0.028101344,-1.077625,-0.016820997,-0.6725781,-0.06432906,-2.6570604,0.028983682,-1.6375028,0.0018995032,-0.6239114,-0.0046662465,-2.1665413,-0.029258989,0.057768434,-0.037499033,0.025894955,-0.049226962,-0.037383284,0.013295671
-1.1732408,-0.04526294,-2.613424,0.056961205,-1.7355291,0.13795808,-0.6721207,-0.049128212,-2.0003057,0.0042056106,-1.117688,-0.036986105,-0.7101883,-0.04382737,-2.685597,0.0013461486,-1.6748973,-0.011663295,-0.6309078,0.032935478,-2.3116527,-0.011922687,-0.14852631,-0.03359822,0.045177698,-0.05940386,0.019184904,0.025437612
-1.1558748,0.006765483,-2.4386544,-0.0062821023,-1.5074847,0.0009901859,-0.6399585,0.013353199,-2.1871426,0.0023896955,-1.2342577,-0.05606922,-0.65172666,-0.061933763,-2.7143395,0.062423676,-1.5970112,-0.0098868385,-0.76086134,0.0006559193,-2.141406,-0.12570482,-0.60066986,-0.033103302,0.049889773,0.036586568,-0.094423026,-0.09264514
-1.1276655,-0.014854511,-2.7158458,-0.005074946,-1.6881539,0.16103992,-0.71051145,-0.01280836,-2.1595173,-0.02739073,-1.2212251,-0.09874889,-0.7397082,0.003358148,-2.7839031,-0.024490781,-1.6757476,-0.009503469,-0.6969517,0.067258544,-2.3378632,0.00716462,-0.79035056,-0.014027028,0.0973649,-0.023164712,0.05741502,0.0063636675
-1.0826924,0.009310527,-2.6469698,-0.029798754,-1.5614372,0.099253945,-0.6851481,0.032833636,-2.1453683,-0.030131076,-1.2388704,-0.1435384,-0.71398604,0.013948429,-2.7889037,0.014014967,-1.6518364,0.0076782927,-0.7593834,0.027874194,-2.1855533,-0.018935554,-1.0588963,-0.014814555,0.088894814,0.0149763,0.0027333796,-0.03264348
-1.0666705,0.02359634,-2.6195033,-0.031359315,-1.4365262,0.06744126,-0.69545853,0.05942347,-2.181472,-0.03925981,-1.2309815,-0.15879756,-0.7025119,0.023933254,-2.7861893,0.041271783,-1.6285714,-0.0040225387,-0.77772313,0.00858023,-2.068902,-0.031495787,-1.2501035,-0.0127539,0.07426906,0.020630538,-0.005263783,-0.028030034
-1.1118612,0.0029431377,-2.5038471,0.0066973716,-1.2504027,-0.004651565,-0.7735132,0.076658025,-2.3352556,-0.04397134,-1.2276845,-0.11149631,-0.71807957,0.006757371,-2.704452,0.07095831,-1.5579137,-0.03302428,-0.7193251,0.01262942,-1.8048297,-0.059369884,-1.3881158,-0.01903538,0.017047137,0.02504339,-0.0031818263,-0.028975125
-1.0659789,0.057271644,-2.618693,0.0028378218,-0.4117163,0.14309222,-0.59690106,-0.05571524,-2.172057,-0.03672177,-0.96604043,-0.038235463,-0.57836014,-0.020869792,-2.9428313,0.028571561,-0.9806701,-0.14767133,-0.75549304,0.03496226,-1.9556478,-0.06839584,-1.3741777,0.011553784,0.16967481,-0.024250828,0.07202751,0.052015465
-0.76647794,0.056304924,-1.3924605,0.028447237,0.0656182,-0.13927877,-0.19685826,-0.11028386,-1.0956688,0.08520824,-0.44536048,0.19876489,-0.5438341,0.04094261,-1.3799459,-0.042339787,-0.27223724,0.14082627,0.09177585,-0.029271498,0.03478153,-0.1877056,-0.58794963,0.05566729,-0.20151725,-0.024932884,-0.07676253,-0.09103601
-0.9885017,-0.038631946,-2.4375837,0.08074286,-0.27421072,0.077828534,-0.6473336,-0.10270926,-2.2081933,-0.08376625,-1.3548156,0.01542937,-0.5005673,-0.09498775,-2.667392,-0.008774206,-0.91006714,-0.2975862,-0.76051825,0.06752976,-1.9039501,-0.17166013,-1.6718982,-0.01424469,0.013925329,-0.07364643,0.26336777,0.22446187
-0.804028,0.07982949,-2.204268,0.033294015,0.206463,0.1190714,-0.6075839,-0.096937336,-2.084194,0.01688103,-0.6372875,0.007733837,-0.5824394,0.028569233,-2.2649481,0.003941521,-0.19969295,-0.14306976,-0.75286853,-0.04950505,-1.76798,-0.10139626,-1.5168154,0.010748618,0.13476056,-0.04849019,0.06286387,0.052157003
-0.75680965,0.07373901,-2.2499332,0.04477127,0.24320282,0.08701653,-0.659891,-0.0543482,-2.20367,-0.0024947487,-0.82568663,0.0013256148,-0.62656385,0.06917414,-2.3726184,0.0578522,-0.1457586,-0.090449706,-0.8046634,-0.042350348,-1.8587943,-0.029123627,-1.5662067,0.010568964,0.11267406,-0.01448375,0.025401987,0.058586176
0.57859945,-0.2902066,1.7995411,0.11224456,3.970409,-0.38315752,0.3575117,-0.45906973,0.716897,0.30886126,0.39721543,0.1445685,0.08249372,0.120634235,2.7411873,-0.646979,2.6434267,-0.36679828,1.5247935,0.06327384,2.7638588,0.032318644,1.003648,0.12276416,-0.53054017,-0.3046913,0.73984927,0.35787177
-0.38443625,0.12346524,-2.24418,0.07099672,0.73737615,-0.16112106,-0.81881845,0.06372343,-2.2577376,-0.084500894,-0.8304469,0.07770657,-0.7300715,0.14669678,-1.9975468,0.15096521,0.45885557,0.034436673,-1.0501434,-0.05014771,-2.0585198,-0.043876484,-1.384267,0.07843717,-0.13504606,-0.033083282,0.016138794,-0.010255713
-0.37887645,0.114262655,-1.9446805,0.035189338,0.45878378,0.0018102825,-0.68650734,-0.009403542,-2.2417886,0.0010397397,-0.87774014,-0.014710605,-0.5954083,0.08600108,-1.8060477,0.0924872,0.41080302,-0.059426457,-0.8816143,-0.08339673,-2.0249023,-0.029697016,-1.6052078,0.044124663,0.03475234,0.006470129,-0.03805877,0.032519847
-0.14197238,0.04973402,-1.7019572,0.0033970606,0.4820251,-0.39308992,-1.1531873,0.21892323,-2.3789783,-0.27464485,-0.72344637,0.28948042,-0.92810184,0.08302707,-1.4359233,0.16836981,0.08952239,0.30920988,-1.084196,-0.09137943,-2.4928026,-0.021567337,-1.0891298,-0.013820901,-0.382448,-0.07557418,0.067937955,-0.09607439
-0.40445006,0.07230421,-1.4430032,0.029838337,-0.22441968,0.13475633,-0.64846337,-0.020425,-2.3095622,0.040487327,-0.72456425,-0.07487354,-0.47978655,-0.0070978254,-1.4306331,0.06499688,-0.07530963,-0.046777055,-0.7263588,-0.086411834,-2.1238546,-0.050452027,-1.8770597,0.004397069,0.11615887,-0.0138083175,-0.081664085,0.006201111
-0.4136923,0.04687921,-1.3139257,0.037464887,-0.4743205,0.12683186,-0.65360224,-0.024312967,-2.2777238,0.05774973,-0.58645654,-0.08201266,-0.464188,-0.031217188,-1.3868105,0.068534076,-0.2452688,-0.012248531,-0.82246375,-0.09089017,-2.2683594,-0.035729654,-1.9265493,-0.009043301,0.10183534,-0.014678173,-0.11747421,-0.012238357
-0.4039343,0.038042486,-1.2463,0.033147335,-0.80429405,0.11121895,-0.67201674,0.014267288,-2.2799015,0.06967993,-0.46530008,-0.13480656,-0.45596564,-0.028453648,-1.3543885,0.08545159,-0.481686,0.0070727915,-0.8641125,-0.090856865,-2.341845,-0.023367994,-2.1990213,-0.013184677,0.083809584,-0.016561963,-0.14428088,-0.029011238
-0.48430443,0.035860173,-1.2091271,-0.05233171,-0.9557789,-0.015142947,-0.6752225,-0.005907707,-2.3828259,0.07972635,-0.3602205,0.009735972,-0.471125,-0.033603087,-1.2290039,0.0027760528,-0.7685678,-0.031312272,-0.94724214,-0.051134653,-2.3810382,-0.008666076,-2.250824,0.002703058,0.058014035,0.03297185,-0.098125815,0.0057716593
-0.49037623,0.0148835275,-1.2372845,-0.030884154,-1.3693426,0.068873174,-0.72762823,0.0010037348,-2.377766,0.1266278,-0.3167609,-0.035281386,-0.43309122,-0.11259638,-1.1956584,-0.016711563,-0.94060785,-0.064290434,-0.9140527,-0.04320233,-2.590875,-0.006381817,-2.3091187,-0.00039254408,0.078600705,-0.04622168,-0.11229697,-0.0156195685
0.16503336,-0.35858008,-0.76339567,0.07404702,-1.0010684,-0.33227357,-1.0452121,0.007111527,-0.8298707,-0.043851744,0.4400893,0.15316579,-0.95392674,0.13728154,0.22291344,-0.25475493,-0.24951625,0.37219083,-1.0024687,0.00896281,-1.1914682,0.6252138,-1.991345,0.03654383,-0.48106438,0.22683811,0.15184936,0.21924028
