FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.89177394,-0.1457101,-2.3464584,-0.26840633,-3.2070448,0.72237635,-0.47401705,0.09801053,-0.5493542,-0.09750469,-0.7346684,0.12842357,-1.3905034,-0.041835666,-2.5421321,0.3261777,-2.1357598,-0.11603904,-0.6744607,0.44929808,-2.5542073,-0.49696597,-1.6869192,-0.32915708,-0.4969589,0.28359562,0.30903232,0.26140535
-0.75163704,-0.15327951,-1.9912277,-0.38603657,-2.0770953,0.009713218,-0.22555771,-0.28449392,-0.66529155,0.023077235,-0.53731996,0.0035317838,-0.611866,-0.062455922,-1.982558,0.10229559,-1.410237,0.012996714,-1.1501963,0.08507044,-2.613153,-0.07075012,-1.2877405,0.07350942,0.047680408,-0.08470554,0.22620079,0.1330347
-0.65893793,-0.11327543,-2.0425234,-0.24751996,-1.5981448,0.010497097,-0.28629175,-0.165715,-0.8192313,0.0052528977,-0.6950294,0.06704812,-0.5156767,0.031381253,-1.9459,0.047983915,-1.1616659,0.037569996,-0.8989123,0.03004963,-2.4297142,-0.100933544,-0.8073987,0.013825305,0.06058313,-0.0913343,0.1951693,0.108785585
-0.89343876,0.02359414,-2.2238274,-0.055313136,-1.7889167,0.02138523,-0.56069386,-0.01627359,-1.3552133,-0.0015640706,-0.9632618,-0.016414315,-0.5918926,0.04260558,-2.177818,0.090176105,-1.4174067,0.03569374,-0.9290341,0.0063080788,-2.3175256,-0.016176559,-0.28247035,-0.04776617,0.018583031,-0.044154562,0.057092197,0.04563452
-1.2042998,0.2731019,-2.6328888,0.21166576,-2.1809688,0.016932242,-1.0331057,0.29456717,-2.380093,-0.006288618,-0.98772997,-0.29356796,-0.95237154,0.03003031,-2.565469,-0.095725745,-1.8163092,0.07941131,-1.017159,0.0917546,-2.4821954,0.017706322,0.3691541,-0.13620889,0.024328338,-0.00021601841,-0.061005294,-0.08521736
-1.2579632,0.15971825,-2.9767199,0.10584633,-1.9421359,-0.031631533,-0.8956298,0.07170979,-2.2398937,-0.042314515,-1.4503553,0.02561985,-0.69697696,0.029088706,-2.8182414,0.14356261,-1.9577955,0.047702234,-1.058215,0.012686845,-2.3846748,0.11787702,0.26985627,-0.094007574,0.11527975,-0.008750804,-0.11820193,-0.054472644
-0.84421104,-0.011998383,-2.3485153,-0.08431394,-1.2303183,-0.09028064,-0.55529976,-0.05444713,-1.4169757,-0.050146908,-1.1622506,0.07305311,-0.5566486,0.03130212,-2.1695292,0.07338778,-1.3086879,0.014647059,-0.70237815,0.0065435395,-2.00012,0.00049926527,0.24425662,-0.035210013,0.05160884,-0.063783444,0.0823918,0.024999112
-1.3064961,0.2105931,-2.9025404,0.13794035,-2.0142357,0.06720058,-0.9125625,0.20225886,-2.2092276,-0.0022770613,-1.3779788,-0.1314745,-0.86488235,-0.01568149,-2.7980328,0.05183313,-1.9147431,0.056397464,-1.0279223,9.670854e-06,-2.393856,0.043102182,0.09815546,-0.07252263,0.04998537,0.045147296,-0.17471847,-0.08609599
-0.9328729,-0.036975875,-2.3959978,-0.15468769,-1.2346722,-0.11364743,-0.53861105,-0.09730649,-1.4419649,-0.06888701,-1.0687842,0.11293498,-0.60106546,0.011694759,-2.2352057,0.065353155,-1.5145056,-0.0061621973,-0.6568129,-0.01029969,-1.9893258,-0.043994226,-0.15874225,0.03675484,0.022770738,-0.047885332,0.021711431,0.06864936
-1.0047686,-0.020399183,-2.4510677,-0.11162709,-1.12415,-0.14276055,-0.62758815,-0.0978843,-1.7127151,-0.08648716,-1.1027038,0.09844342,-0.6121261,0.004062712,-2.350785,0.057973288,-1.5825728,-0.025605898,-0.6216381,-0.003145188,-1.9108584,-0.0013057496,0.072864585,0.0437574,0.009905202,-0.03336461,-0.014169984,0.049301397
