FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.2139595,0.04503958,-3.266059,-0.004617542,-1.2199235,-0.0061095506,-0.79115677,-0.12871245,-2.7652013,-0.12164396,-1.3674167,-0.038694367,-0.6129762,-0.12685734,-2.6054144,-0.09839896,-1.4300249,0.065105505,-1.0687503,0.012703506,-2.920754,-0.0888937,-1.4196392,0.0140219815,-0.1759394,0.1113625,0.034081377,0.053512238
-1.3065804,0.058845177,-3.0160239,-0.0072042197,-1.2243737,0.039721265,-0.7304703,0.0079323575,-2.3768632,-0.05562368,-1.5530776,0.0429506,-0.63462484,-0.0019841492,-2.267708,-0.0835119,-1.5468547,0.09026953,-1.2900808,-0.04170923,-2.96001,-0.07217364,-1.4016566,-0.04794347,-0.05251377,-0.037896797,0.05729383,0.037862495
-0.98820955,0.05364406,-2.5677965,-0.0043250024,-0.93589497,0.02637726,-0.59430563,-0.074758194,-2.2369611,-0.022935957,-1.4160775,0.042638466,-0.5244794,-0.03051639,-2.0225213,0.018408023,-1.6037526,0.09885012,-1.0959783,-0.026733674,-2.5971956,0.024930567,-1.0398762,-0.037919696,-0.015300568,0.03155306,0.056036767,0.037141733
-0.9778323,0.042325698,-2.454602,0.010297008,-0.46653813,-0.038527697,-0.70660394,-0.06397481,-2.4062166,0.007431522,-1.4486829,0.07402744,-0.5608896,-0.0038868785,-2.166175,-0.024044327,-1.6405287,0.026877195,-1.046257,-0.060891517,-2.7002552,-0.059033826,-0.44913945,0.019750174,0.09553475,0.06138529,0.042365678,0.042351224
-1.026209,0.018930947,-2.5520327,-0.02439116,-0.17891666,-0.006815806,-0.7775203,-0.03768392,-2.6228597,0.050142556,-1.3691447,0.042181097,-0.6621257,0.03662642,-2.4961958,-0.0073460713,-1.5743663,-0.029467165,-1.0084392,-0.04090794,-2.7144437,-0.06714466,-0.15896249,0.08451477,0.11673194,0.03379871,0.0058624484,0.0056371726
-0.77547455,-0.010553032,-2.4134958,0.022677444,0.5522169,0.00082439184,-0.7091351,-0.0015102364,-2.578372,-0.07653559,-1.1164457,-0.011225358,-0.6145992,0.11729568,-2.418917,-0.0787409,-1.218305,0.00096182525,-0.775014,-0.073161684,-2.3882158,-0.043589488,0.44584516,0.05994049,0.08508001,0.0078038573,-0.012004551,-0.036537144
-0.7250859,0.042708844,-2.2383013,-0.046152167,0.46973798,-0.06537002,-0.68804175,-0.0046647564,-2.4059126,0.01711215,-1.2123793,0.023298144,-0.6127584,0.017927062,-2.2956607,0.004416719,-1.4379225,-0.018134013,-0.7873762,-0.018123247,-2.3562922,-0.054604083,0.58532804,0.03361843,0.091070026,-0.010827616,0.007091567,-0.011952411
-0.62929124,0.045081094,-2.0087638,-0.020333141,0.28705686,-0.014585108,-0.6520955,-0.041679308,-2.3651352,0.008998394,-1.2835622,0.050674297,-0.6076528,0.012276072,-2.2879314,0.01502946,-1.4595826,-0.008398265,-0.6942054,-0.01826647,-2.145021,0.0073347986,0.3470576,0.028823148,0.10570638,0.037140384,-0.0004874654,-0.01478618
-0.6396597,0.0032180175,-2.079688,0.03809776,0.7782632,-0.16159517,-0.69665915,0.06378987,-2.5327115,-0.0719834,-1.3738475,0.043094233,-0.6667346,0.06966033,-2.532509,-0.045443825,-1.2525644,-0.030368805,-0.61447114,-0.025889885,-2.2631414,-0.12614551,0.81469977,0.045527,0.09236036,-0.058109447,0.011725143,-0.000428617
-0.4540695,0.035938412,-1.803948,-0.005922593,0.62478244,-0.0739066,-0.62502295,-0.036135696,-2.2913024,0.02410926,-1.222465,0.012204915,-0.62312984,0.01098929,-2.2378216,-0.0036268681,-1.4225819,-0.05785495,-0.5361985,-0.009620771,-1.8025959,-0.0284497,0.6437032,-0.011072937,0.024574354,-0.040328458,0.014866658,-0.002645854
