FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.1598947,0.06945731,-3.1341357,-0.17357239,-2.257197,-0.03666091,-0.6205682,0.12182213,-2.3037422,0.073334284,-1.4114144,0.2220371,-0.8156147,0.046057194,-2.3412151,-0.09897582,-1.2074914,0.044193722,-1.4370688,0.15035963,-3.2372015,0.06443956,-1.8294814,0.12741867,0.10144712,0.05825311,-0.088238165,0.10731335
-1.4558289,0.068854034,-3.6339817,-0.15344208,-1.9069122,-0.119202144,-0.7831717,-0.18160433,-2.4489152,-0.008778699,-2.3364081,-0.3627808,-0.7067581,0.10142215,-2.0886736,0.19900924,-1.924953,0.48414898,-1.41934,-0.18793571,-3.5207002,-0.26737648,-1.3942523,0.016708046,0.19316939,-0.30092752,0.177286,0.38558403
-1.3448005,0.016835656,-3.2283118,-0.086491376,-1.3855318,-0.0695466,-0.73560995,0.015444327,-2.6132898,0.11514319,-1.6269705,0.15652889,-0.7682766,-0.011105386,-2.623726,-0.063720405,-1.5467432,-0.07846535,-1.446682,0.211819,-3.3331182,0.033168666,-1.1542546,0.08364253,-0.06269869,0.101994485,-0.03117679,-0.008733923
-1.0744764,0.006191712,-3.147414,-0.067343205,-0.8240716,0.002446659,-0.72166693,0.052575123,-2.6927178,0.11450832,-1.400795,0.15281773,-0.76279974,0.0034713964,-2.6236923,-0.07642569,-1.2351657,-0.048883058,-1.4215492,0.15358189,-3.150295,0.02702813,-0.7364935,0.08993022,0.049057778,0.072849765,-0.049866527,0.07567972
-0.9217935,0.016521063,-2.7603955,-0.062251553,-0.05661699,0.015964858,-0.7109175,0.029702682,-2.6477032,0.10219058,-1.2601118,0.09396912,-0.7046951,-0.048639163,-2.492794,-0.04072018,-1.1342622,-0.059744813,-1.2467643,0.101388134,-2.6307752,0.011872048,-0.17638981,0.080240875,0.074002296,0.052956358,-0.0040638,0.10467305
-0.84421587,0.059415285,-2.2054582,0.07938057,0.37189263,0.041524954,-0.7534178,-0.07436411,-2.6631851,4.3444335e-05,-1.2302735,0.038636133,-0.85682154,-0.13100427,-2.4981732,-0.013990227,-1.3709773,-0.12589009,-0.7185737,0.037239686,-2.3685255,0.05871985,0.36196396,-0.009611465,-0.010538136,-0.047125965,0.03559147,0.027610345
-0.6951471,-0.002111774,-2.292905,0.03199991,0.6949879,-0.011181086,-0.76052344,0.016556296,-2.6497164,0.047891162,-1.2858272,-0.005685307,-0.75136673,-0.007432387,-2.4724069,-0.039382286,-1.3244622,-0.092706844,-0.71599776,0.05952456,-2.2662761,0.013506385,0.5553342,0.037397258,0.037785795,0.07293393,-0.007966772,0.04584916
-0.6387842,-0.071052015,-2.2583761,0.029595517,0.73474073,0.025867686,-0.71651363,-0.03813785,-2.5494754,0.084007286,-1.3110666,-0.043940865,-0.6036806,0.025512205,-2.3744526,0.020889442,-1.3166586,0.0082401335,-0.70235574,0.017883934,-2.103067,-0.031562477,0.5130589,-0.0026311427,0.06425482,0.019253395,-0.022728354,0.07382447
-0.6268443,-0.005330462,-2.2170577,-0.052228898,0.15449274,-0.08921153,-0.89299923,-0.049002524,-2.526141,-0.02847477,-1.3507173,-0.30508634,-0.698581,-0.20679857,-2.3735087,0.26460505,-1.479598,0.11024116,-0.46345732,-0.07723197,-2.1641936,-0.100077555,0.2028211,-0.006445639,-0.054032642,-0.14997092,0.15616673,-0.043016106
-0.49392205,-0.051457558,-1.6974759,0.06323728,0.64643645,0.042440847,-0.7749447,-0.042088028,-2.54609,-0.059596453,-1.1353788,-0.0653361,-0.72597444,-0.14754601,-2.4008033,0.10472533,-1.315373,-0.020120524,-0.263181,-0.05132793,-1.819161,-0.057501145,0.59606636,0.008096382,0.0033684764,-0.10396272,0.071295574,0.014026677
