FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.324374,0.009441163,-2.403133,-0.10778029,-1.3405169,-0.012877777,-0.7788137,-0.054854717,-2.4355955,-0.09665012,-1.1846678,-0.01709989,-0.9360155,0.028820267,-2.9804327,-0.051700383,-1.0516155,0.14462458,-1.0495602,0.029944867,-2.5827453,0.25832382,-1.095328,-0.026317086,-0.026463471,0.11516029,0.037318453,-0.03319162
-0.8452976,-0.05120819,-2.2675798,0.020824254,-1.0275676,-0.045270212,-0.7381021,0.034179088,-2.343705,-0.01749755,-1.3548048,-0.032352798,-0.72177905,0.04864594,-2.3171604,0.036762312,-1.1300012,-0.0715931,-0.9129791,-0.08418118,-2.2981272,0.016959578,-1.1038442,0.018430643,0.038374715,-0.15457606,0.007551344,0.0548193
-0.9565667,-0.03763228,-2.334948,-0.0018025711,-1.0389667,-0.031530805,-0.8970094,0.0676239,-2.538417,-0.06472172,-1.5289065,-0.016434148,-0.6660768,-0.0066630654,-2.6723745,-0.09802726,-1.4680961,0.024942413,-1.0302975,0.08522966,-2.451498,-0.08352533,-1.1000271,0.023573354,-0.010204002,0.0015429854,0.0063288566,-0.007064268
-0.93166625,-0.090955764,-2.390882,-0.0052080154,-1.0533978,-0.008163683,-0.7299098,0.0140068345,-2.4415348,-0.030056302,-1.117106,0.025201775,-0.7841243,0.009609904,-2.424794,-0.0072647333,-1.032941,-0.059693154,-1.0220859,-0.05022629,-2.3146882,-0.024110004,-1.2007564,-0.005612947,-0.056751743,-0.032185264,-0.0021062996,0.014630288
-0.94830203,-0.09964491,-2.467327,-0.007535942,-1.1259167,0.006415695,-0.7466842,0.0020520315,-2.3146443,-0.05468827,-1.0306878,-0.004596688,-0.7757865,0.02558304,-2.278877,-0.03177309,-0.84457725,-0.04808352,-1.0790179,-0.0970285,-2.3442795,0.06308861,-1.2398902,-0.007652864,0.0051053762,-0.026673824,-0.002688868,0.019331738
-0.96827364,-0.10176005,-2.4616947,-0.0127386,-1.1201195,0.010220543,-0.7493614,0.0036047958,-2.292033,-0.05022135,-0.955966,-0.0038530754,-0.7700691,0.021867063,-2.267912,-0.038388938,-0.7968699,-0.037140332,-1.0911057,-0.08476546,-2.337217,0.05525699,-1.2248251,-0.010380797,-0.004441902,-0.0023569912,-0.0015192162,0.012404248
-1.0181489,-0.0982206,-2.3385308,-0.032001927,-1.0960801,-0.0073952675,-0.7835096,0.014712438,-2.4480584,-0.025013562,-0.8605566,-0.0022541585,-0.8003843,0.02217748,-2.5005896,-0.047252208,-0.8639112,0.023952316,-1.0656109,-0.037587028,-2.287227,-0.022125643,-1.2442542,-0.06198334,-0.06793161,0.06370956,-0.03401508,0.0008684248
-1.0107739,-0.108361274,-2.4233346,-0.024846531,-1.1194227,0.0056115314,-0.7674582,0.0028315447,-2.304468,-0.043428984,-0.7947436,0.0015538482,-0.7550296,0.004592795,-2.3123934,-0.043884903,-0.7578644,0.0007629404,-1.0957482,-0.039176986,-2.3149693,0.0049271174,-1.193811,-0.019633904,-0.047118217,0.048999473,-0.012357501,-0.003725931
-1.0176562,0.056912135,-2.461901,-0.032428317,-1.0596019,0.057336394,-0.74992037,-0.018234756,-2.2627914,0.02331404,-0.9138444,0.07113465,-0.7718998,-0.083893955,-2.4920664,-0.11546302,-1.0823966,-0.027507853,-1.003256,0.0508229,-2.2254171,0.013066892,-1.3515507,-0.066090286,-0.07045056,0.2162484,-0.01859106,-0.15226229
-1.0253102,-0.10209422,-2.4395149,-0.02622033,-1.1181154,0.012565121,-0.7577287,0.009533163,-2.1334152,-0.04022545,-0.6795659,-0.0111721605,-0.72088146,0.014969047,-2.1299884,-0.052947313,-0.5881228,-0.0048676683,-1.1086768,-0.045542892,-2.3206487,0.03047445,-1.1532344,-0.008587301,-0.020302251,0.05022022,0.009010421,-0.0024541765
-1.0213757,-0.096789785,-2.4232008,-0.024559438,-1.1328933,0.0069176033,-0.75849545,0.006692048,-2.1013403,-0.043888856,-0.6714318,-0.01414682,-0.7024046,0.014196586,-2.0909262,-0.050624758,-0.58824116,-0.0052041663,-1.0920634,-0.03794885,-2.3140306,0.022160199,-1.139944,-0.0010151863,-0.015723318,0.037902266,0.008143501,0.0009868443
