FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.8940593,-0.03507841,-2.5593786,-0.09810063,-1.2986592,-0.055623025,-0.6491279,0.07094796,-2.5967593,0.048935644,-1.3719853,-0.06888277,-0.8749025,-0.038737923,-2.6865885,-0.018984638,-1.3732622,0.034202266,-0.9799014,-0.021170944,-2.5726252,0.033311598,-1.2993027,0.09159564,0.041077744,0.03744307,-0.029392041,-0.013621323
-0.86574095,-0.026111886,-1.9846252,0.042866908,-1.3444027,-0.002780065,-0.7489113,0.048210584,-2.2412238,-0.0231172,-1.4220517,0.039588515,-0.8196535,-0.033299446,-2.3925126,0.042790093,-1.3007452,-0.020338085,-0.94073063,0.13362814,-2.0272274,0.19689088,-1.0649815,-0.039584853,0.06533968,-0.08731905,-0.043782845,-0.049415775
-1.1277245,-0.11887142,-2.0499425,0.10319789,-1.3066478,-0.110572994,-0.6473043,0.054001562,-2.2180502,-0.038072478,-1.1591802,0.1154211,-0.6995597,-0.05616322,-2.189802,0.11738378,-1.1571605,-0.26633465,-0.9450714,0.12091605,-2.1913853,0.5305105,-1.0185542,-0.16224608,0.3043806,-0.07446644,0.018794194,0.021849938
-0.7956042,0.07341923,-2.247536,0.052474223,-1.4574993,-0.00089673325,-0.8589922,-0.01067511,-2.2740808,-0.06840514,-1.3164947,-0.08424179,-0.78201663,-0.036742076,-2.5966463,-0.10720945,-1.2313364,0.028984489,-0.8248893,0.003511846,-2.279327,0.16664693,-1.4328235,-0.06629755,0.04750631,-0.07301582,0.0030583143,-0.04184917
-0.9898815,0.030514084,-2.4693606,-0.03788558,-1.2597928,-0.055314753,-0.8495311,0.008312296,-2.6865425,-0.056515064,-1.1368921,-0.011594685,-0.7128873,0.012379415,-2.5524368,-0.0015481487,-1.0370535,0.035246316,-0.94692326,0.027974814,-2.4604826,-0.065433785,-1.3184717,-0.017762475,-0.07128569,0.058915153,0.062227745,0.024937026
-0.944261,0.018514648,-2.5129685,-0.029496435,-1.4979081,-0.029312074,-0.83806235,0.049421772,-2.385137,-0.043870304,-0.88266695,-0.051883265,-0.8535348,-0.08653869,-2.4917781,-0.011356942,-0.7242857,0.060565457,-1.006152,0.03295517,-2.474386,0.15135276,-1.4021823,-0.048873913,0.029563662,-0.02462931,0.0018221363,-0.05158936
-0.989639,-0.017289639,-2.510424,-0.08123742,-1.006355,-0.011779532,-0.81613386,0.0037546195,-2.586041,0.015214443,-0.9027198,-0.0025037006,-0.7678821,0.0072151255,-2.4051003,-0.06713692,-0.75367916,0.02809881,-0.9752555,-0.018835336,-2.4688718,-0.04501526,-1.1050906,0.0056066886,-0.04596456,0.09359272,0.09810339,0.03860859
-0.9476589,-0.030100318,-2.522112,0.011058344,-1.4235508,0.0033990592,-0.82139367,0.032138377,-2.2761903,-0.05514778,-0.6179638,-0.024230331,-0.84159005,-0.11990821,-2.3816526,-0.013998732,-0.4695807,0.042103853,-1.0247853,0.01719752,-2.4587755,0.15623483,-1.2672324,-0.06952824,0.015303753,-0.028705165,-0.03144131,-0.049064916
-1.0184233,-0.039374676,-2.4184456,0.028018257,-0.9997929,0.029493116,-0.84935653,-0.021118723,-2.289767,-0.0010310411,-0.65098274,0.044630792,-0.71433365,0.03196086,-2.1870449,-0.04181879,-0.5605304,-0.07090226,-0.9597112,-0.044217646,-2.4757493,-0.04781922,-0.99504685,-0.06789386,-0.058568083,0.06362918,0.04010673,0.03367015
-1.067314,-0.0132436305,-2.4456787,0.033711333,-1.0904155,0.021580443,-0.79548746,-0.035432085,-2.1321461,-0.0055588894,-0.41253832,0.021972697,-0.6660094,-0.016837314,-2.118262,-0.017434955,-0.4093588,-0.07118106,-0.914623,-0.018364117,-2.501228,0.04171074,-1.0953326,-0.06815519,-0.009019382,0.043062136,0.02185931,0.025664695
