FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2,T FL,T FR,T BL,T BR
-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0441926517345843,0.0,-2.4642166565137757,0.0,-1.0225650721915507,0.0,-1.0364324715016178,0.0,-2.4870134224691047,0.0,-1.0327796527742619,0.0,-1.0364324715016178,0.0,-2.4870134224691047,0.0,-1.0327796527742619,0.0,-1.0441926517345843,0.0,-2.4642166565137757,0.0,-1.0225650721915507,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.043851204676729,0.0,-2.4486271130338015,0.0,-1.0461194331364858,0.0,-1.032093047083272,0.0,-2.4651273119193355,0.0,-0.9537573335651048,0.0,-1.032157493069529,0.0,-2.4635261845622276,0.0,-1.0472440175704225,0.0,-1.043851204676729,0.0,-2.4486271130338015,0.0,-1.0461194331364858,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.043782379594476,0.0,-2.444785579946491,0.0,-1.0530110134759179,0.0,-1.030102687078994,0.0,-2.45561086829545,0.0,-0.8616765364538912,0.0,-1.0302666794661306,0.0,-2.4528884577898675,0.0,-1.0549034440267704,0.0,-1.043782379594476,0.0,-2.444785579946491,0.0,-1.0530110134759179,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0437656210293031,0.0,-2.443792878417638,0.0,-1.0548430772404052,0.0,-1.028194559225061,0.0,-2.4468707770541327,0.0,-0.7657537716645502,0.0,-1.0293883765444711,0.0,-2.447888723276976,0.0,-1.0587196688228477,0.0,-1.0437656210293031,0.0,-2.443792878417638,0.0,-1.0548430772404052,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.0437613088326714,0.0,-2.443533279636842,0.0,-1.0553254178007334,0.0,-1.0251118051001882,0.0,-2.4331055536756976,0.0,-0.6704027909941273,0.0,-1.0289708517968945,0.0,-2.4454982401744236,0.0,-1.0605910527940914,0.0,-1.0437613088326714,0.0,-2.443533279636842,0.0,-1.0553254178007334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.0437601825110123,0.0,-2.4434651826205354,0.0,-1.0554521624604343,0.0,-1.020381177244909,0.0,-2.4121603306022132,0.0,-0.5763587013618245,0.0,-1.02877015842056,0.0,-2.444345964506556,0.0,-1.0615036936434938,0.0,-1.0437601825110123,0.0,-2.4434651826205354,0.0,-1.0554521624604343,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.0437598871528486,0.0,-2.4434473052063432,0.0,-1.055485451563885,0.0,-1.0139800170955615,0.0,-2.3836255075850827,0.0,-0.48300036507665745,0.0,-1.028673172937376,0.0,-2.4437883631638972,0.0,-1.0619477803428792,0.0,-1.0437598871528486,0.0,-2.4434473052063432,0.0,-1.055485451563885,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.0437598096194245,0.0,-2.443442610877945,0.0,-1.0554941937932956,0.0,-1.006069250128827,0.0,-2.347614228788921,0.0,-0.3896710436577546,0.0,-1.0286261829625616,0.0,-2.4435180227677917,0.0,-1.0621636576453453,0.0,-1.0437598096194245,0.0,-2.443442610877945,0.0,-1.0554941937932956,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.0437597892608155,0.0,-2.4434413781523117,0.0,-1.0554964895646473,0.0,-0.9968797980835946,0.0,-2.304298749615987,0.0,-0.2959809073776132,0.0,-1.0286033874591443,0.0,-2.443386834442804,0.0,-1.062268550902398,0.0,-1.0437597892608155,0.0,-2.4434413781523117,0.0,-1.0554964895646473,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.0437597839146981,0.0,-2.443441054435139,0.0,-1.0554970924454876,0.0,-0.9827623723937702,0.0,-2.237974431125238,0.0,-0.31007275910016485,0.0,-1.028592322293556,0.0,-2.4433231443240584,0.0,-1.062319506735105,0.0,-1.0437597839146981,0.0,-2.443441054435139,0.0,-1.0554970924454876,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.0437597825107954,0.0,-2.4434409694257844,0.0,-1.055497250764616,0.0,-0.9688259540948838,0.0,-2.1732568753056682,0.0,-0.31865274022247814,0.0,-1.0285869495613875,0.0,-2.4432922169937874,0.0,-1.0623442578618567,0.0,-1.0437597825107954,0.0,-2.4434409694257844,0.0,-1.055497250764616,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.043759782142125,0.0,-2.443440947101984,0.0,-1.055497292339882,0.0,-0.9550567983804337,0.0,-2.110188087974996,0.0,-0.33257923215150864,0.0,-1.0285843404363781,0.0,-2.4432771973993694,0.0,-1.06235627979156,0.0,-1.043759782142125,0.0,-2.443440947101984,0.0,-1.055497292339882,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.0437597820453108,0.0,-2.443440941239662,0.0,-1.055497303257721,0.0,-0.9413800577553442,0.0,-2.0484175123786006,0.0,-0.351502427095463,0.0,-1.0285830732955068,0.0,-2.443269902891024,0.0,-1.0623621188497747,0.0,-1.0437597820453108,0.0,-2.443440941239662,0.0,-1.055497303257721,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.0437597820198867,0.0,-2.4434409397001917,0.0,-1.0554973061247903,0.0,-0.9277416649205428,0.0,-1.987614037359748,0.0,-0.37496937430274535,0.0,-1.0285824578783016,0.0,-2.4432663601080176,0.0,-1.062364954850187,0.0,-1.0437597820198867,0.0,-2.4434409397001917,0.0,-1.0554973061247903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
-1.0437597820132103,0.0,-2.4434409392959204,0.0,-1.0554973068776947,0.0,-0.9141103874595053,0.0,-1.927487261911546,0.0,-0.40257241371499397,0.0,-1.0285821589813269,0.0,-2.4432646394352693,0.0,-1.0623663322730312,0.0,-1.0437597820132103,0.0,-2.4434409392959204,0.0,-1.0554973068776947,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.043759782011457,0.0,-2.443440939189758,0.0,-1.0554973070754103,0.0,-0.9004781741004431,0.0,-1.8677922148040267,0.0,-0.4339362566137339,0.0,-1.0285820138113264,0.0,-2.4432638037273193,0.0,-1.0623670012744872,0.0,-1.043759782011457,0.0,-2.443440939189758,0.0,-1.0554973070754103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.043759782010996,0.0,-2.4434409391618788,0.0,-1.0554973071273315,0.0,-0.8868622713923582,0.0,-1.808335541948538,0.0,-0.46869356623217584,0.0,-1.0285819433040526,0.0,-2.443263397833897,0.0,-1.0623673262018274,0.0,-1.043759782010996,0.0,-2.4434409391618788,0.0,-1.0554973071273315,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0437597820108753,0.0,-2.4434409391545575,0.0,-1.0554973071409686,0.0,-0.8864022577955817,0.0,-1.8062338768604782,0.0,-0.5293571959427581,0.0,-1.0285819090594774,0.0,-2.4432632006960135,0.0,-1.0623674840156951,0.0,-1.0439518896911526,0.0,-2.446629070931235,0.0,-0.8687910202556139,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0437597820108433,0.0,-2.443440939152635,0.0,-1.055497307144548,0.0,-0.8911420707792423,0.0,-1.8286975697562582,0.0,-0.5727213116510814,0.0,-1.0285818924272636,0.0,-2.4432631049482905,0.0,-1.062367560664243,0.0,-1.0431020450245505,0.0,-2.4371698669470505,0.0,-0.6861204317460237,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
