FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.0260543,-0.104231186,-1.9862922,-0.02616737,-0.4726897,0.0025527328,-0.9006437,0.04725902,-2.6082675,0.08825834,-1.3529854,0.009416286,-0.9165887,0.06646693,-2.4275613,-0.017431363,-0.7376337,-0.074309394,-1.0367432,-0.017761644,-2.8060758,-0.027765233,-1.933013,-0.038460955,0.0024675727,0.05131741,0.055308796,-0.040598445
-1.0543932,0.21954358,-2.3125687,0.04802611,-1.0357816,-0.05177299,-0.7660878,-0.21380295,-2.3504345,-0.13798216,-1.5241644,-0.038153354,-1.0973835,-0.05210506,-2.3405824,-0.033927504,-0.438779,0.08458875,-0.7244606,-0.02128699,-2.0002072,0.04973228,-1.341454,-0.04489435,-0.00652577,-0.009945527,-0.03902389,-0.00080788136
-1.0540464,-0.0797269,-2.0434194,-0.023952257,-0.56798375,-0.007952996,-0.90954757,0.04706334,-2.6293309,0.07150762,-1.3150086,0.017377343,-0.9317585,0.055456344,-2.4328432,-0.011350043,-0.7449226,-0.06514439,-1.0529284,-0.017853688,-2.8078244,-0.01362272,-1.9075036,-0.034194663,0.01235275,0.045563996,0.05011199,-0.044739835
-1.0684327,-0.05800627,-2.0923607,-0.018794257,-0.6322086,-0.021926306,-0.91398257,0.05122207,-2.6056836,0.053775817,-1.2284222,0.027426604,-0.9365567,0.041931573,-2.4206252,-0.013177499,-0.7641602,-0.050963517,-1.0646306,-0.02013791,-2.7772315,-0.002766993,-1.8369315,-0.032132864,0.016830668,0.04123567,0.036116607,-0.039803438
-1.086091,-0.0406058,-2.2197137,-0.0130137205,-0.6803699,0.02792267,-0.93512607,0.05621611,-2.7256587,-0.018714003,-1.3041598,0.04881512,-0.97022057,0.00034968578,-2.457417,0.019113883,-0.7724499,-0.021243393,-1.0953819,-0.013667192,-2.77825,-0.031742044,-1.7490032,-0.022253223,0.030930847,0.017822862,0.026268631,0.03886813
-1.1339281,-0.024609374,-2.1850886,-0.02677571,-0.7137039,-0.024656005,-0.94159096,0.0536901,-2.7517002,0.008599535,-1.2070427,0.05407651,-1.005182,0.030399688,-2.5159793,-0.0024338067,-0.77429867,-0.039101366,-1.1225594,-0.0116750635,-2.895591,-0.006812323,-1.8615056,-0.03405194,0.020535007,0.039028227,0.044402823,-0.036058605
-1.0209922,0.0034419885,-2.3280509,0.005889546,-0.8186805,0.04242738,-0.9949338,-0.03446161,-2.442309,-0.025108159,-0.77919644,0.021496188,-1.0206618,-0.00528049,-2.3230033,0.053730126,-0.8248457,-0.013069253,-1.0323023,0.009509023,-2.494654,0.012672987,-1.4582394,0.020251159,0.08573626,-0.053704277,-0.025620729,0.04620627
-1.0746851,-0.046098173,-2.413617,0.041271027,-0.7205948,0.016583972,-0.85472816,-0.10048298,-2.3022544,0.0055204034,-0.9654772,-0.065335795,-1.1637018,0.020456482,-2.620436,-0.085401535,-0.54867154,0.024171803,-1.0991808,0.060355615,-2.7155533,0.041472893,-1.8660276,0.07309133,-0.13819882,0.08057202,0.080132075,-0.04685799
-1.0322317,-0.00796308,-2.3609502,-0.003523495,-0.8444687,0.07128333,-1.0507069,-0.111975126,-2.2650096,-0.011400469,-0.81790775,-0.030254897,-1.0820862,0.039042182,-2.4081087,0.048602667,-0.8927551,-0.014634546,-0.93570614,0.0072537027,-2.6300447,-0.00048586726,-1.5011189,0.04644644,0.056186505,-0.007592872,0.040957116,0.032339796
-1.0104378,-0.003953574,-2.389641,0.006857237,-0.8676995,0.0399642,-1.0295184,-0.05245918,-2.2847354,-0.028804086,-0.61931705,-0.016464632,-1.0444614,0.0018042268,-2.330191,0.035286307,-0.90925443,0.008984044,-0.99846745,-0.0050577484,-2.5055287,0.0077954344,-1.4473573,0.019182574,0.05121944,-0.039709702,-0.023880612,0.054541323
