FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.9571476,0.021843158,-2.201613,0.022075541,-0.77182513,-0.00869447,-0.82103026,-0.0010517463,-2.5144708,-0.00019647181,-1.3096803,-0.0073526427,-0.92146283,-0.03148292,-2.1858017,-0.005755089,-0.66193295,0.004937038,-1.0305811,0.025349788,-2.509483,0.011292033,-1.5963732,0.005988665,0.012465149,-0.017170012,-0.012241192,-0.018544491
-0.97129536,-0.020989627,-2.1474736,-0.014471289,-0.79642725,0.0063022524,-0.8638797,0.02000437,-2.5492456,0.016178504,-1.3809751,-0.0008389503,-0.94575167,-0.045734644,-2.301564,-0.02299881,-0.7933425,-0.029140681,-1.0330513,-0.0046306252,-2.4708056,-0.005283043,-1.3881127,0.0024937838,0.006294921,-0.0007924065,-0.00093488395,-0.021863285
-0.96122444,0.015116274,-2.216519,0.020768672,-0.7737191,-0.020237245,-0.8211415,-0.0033830032,-2.50962,0.0006272048,-1.2971331,-0.0033612624,-0.93762213,-0.018479332,-2.2126582,-0.008269317,-0.67172015,0.00727199,-1.0361193,0.028637879,-2.5241754,0.014591921,-1.5698787,0.0044531897,0.010667428,-0.017491862,-0.011126928,-0.01961137
-0.9627538,0.04789277,-2.1036909,-0.026012868,-0.6323626,-0.0068994462,-0.94488835,-0.00017686188,-2.3633907,-0.05149524,-1.0969723,-0.032894634,-0.94127643,-0.023299754,-2.4941282,0.004528247,-1.0115196,-0.026642889,-0.9241491,-0.009026557,-2.3426096,-0.042200033,-1.3069066,-0.012607612,-0.021916196,0.0453279,-0.0043645725,0.031185668
-0.94821197,0.017869592,-2.1496937,-0.026977465,-0.824796,0.018392563,-0.8710222,0.00018394738,-2.354634,0.014925249,-0.9937217,-0.007211484,-0.9141997,-0.029746696,-2.1843166,-0.00457127,-0.7574184,0.010082677,-0.98825663,0.005939156,-2.4233162,-0.015274327,-1.4912163,0.016206272,0.02378881,-0.0031147897,-0.016215563,0.0038980208
-0.95402825,0.027091293,-2.2259932,0.0025870353,-0.81920177,0.007494271,-0.89038014,0.004865043,-2.3968701,0.0013941377,-0.9588562,-0.014781125,-0.9199116,-0.031546816,-2.2167647,0.0055724606,-0.76075065,0.006211087,-1.0001353,0.023179501,-2.4564939,-0.0008386858,-1.5032641,0.005756296,0.012957126,-0.0022014454,-0.016227238,0.0020069964
-0.9518679,0.026277144,-2.195883,0.0057055205,-0.7979162,-0.003829345,-0.8755003,0.0038217679,-2.342753,-0.0023249239,-0.92169595,-0.0065403953,-0.9218305,-0.026667103,-2.175865,0.011071965,-0.7544663,0.0043938756,-0.9823798,0.036327653,-2.4611359,0.0066696517,-1.5077481,-0.0024130866,0.010118946,0.011179671,-0.016272642,-0.0041389875
-0.9537812,0.01805938,-2.1762648,-0.019704435,-0.89932585,0.011194207,-0.88489413,0.011310201,-2.2472415,0.012108892,-0.83057374,0.00871899,-0.9286436,-0.016178444,-2.1909256,-0.005744908,-0.8049862,0.005595103,-0.97252136,0.023232065,-2.4214997,-0.009958662,-1.412969,0.0036189035,0.020268679,0.01645961,-0.017219305,0.0031751506
-1.0120628,0.03817082,-2.3651433,-0.00698065,-1.0498183,0.030060008,-0.98208034,-0.0009875111,-2.362448,-0.012610227,-0.71082157,-0.0126790255,-0.95939064,0.00042509288,-2.3665903,0.05908104,-0.873008,0.002751097,-0.9934253,0.025190718,-2.5726626,-0.013151858,-1.3983479,-0.0068602785,0.0062389374,0.012201726,0.013027087,0.024068804
-0.9917423,0.03576932,-2.1615732,0.022043906,-0.85827637,0.03405787,-0.92890084,-0.0016581193,-2.2252529,-0.02967289,-0.70526874,0.012084611,-0.99330217,0.02555272,-2.3026931,-0.0005996898,-0.9083778,0.062106982,-0.9395004,0.025798269,-2.4273245,0.0018102229,-1.3761321,-0.029607087,-0.012985393,0.059317514,0.040019512,0.023348399
