FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.8887297,0.08148713,-2.396402,-0.04619749,-1.2839171,-0.03815054,-0.7394354,0.070494324,-2.706582,0.12101672,-1.4396564,0.05651002,-0.9076181,0.058254134,-2.623324,-0.042020515,-1.5734137,-0.039776232,-0.99196076,0.024763972,-2.3478165,0.024144284,-1.2751973,-0.10874906,-0.025877476,0.019181788,0.0103007555,0.033241242
-0.9365259,0.1011993,-2.5984144,0.10969365,-1.0510255,-0.034380548,-0.79897904,0.01634878,-2.4591708,-0.5054954,-1.747536,0.30638862,-0.59714556,0.3535174,-2.5238738,0.053647146,-1.5040169,0.041462746,-1.0679612,0.053581342,-2.9121292,-0.2621708,-0.950495,0.2385239,0.13935596,0.036034226,-0.00026869774,-0.38888085
-0.89362127,0.011067368,-2.368874,-0.007854044,-1.3024037,-0.010699652,-0.75456524,0.059397995,-2.6277058,0.06380614,-1.5106641,0.028919209,-0.81628436,0.033186227,-2.626433,0.006528116,-1.5938452,0.025147032,-0.98105913,-0.006578356,-2.3576024,0.040206447,-1.2944155,-0.08897787,-0.027169168,-0.01673901,0.027935207,0.049734414
-0.861029,0.01170487,-2.2539601,0.0037076324,-1.2092936,-0.015820183,-0.84319735,0.07475984,-2.5077164,0.09047873,-1.3189275,-0.07757229,-0.8800272,0.038929388,-2.5259624,-0.0008206377,-1.333334,0.012624945,-0.9568459,-0.06712095,-2.2465749,0.06494997,-1.2306927,-0.12735724,-0.003228128,0.052701652,0.034971178,0.061012447
-0.9127438,-0.0054917485,-2.3849263,-0.03281843,-1.3157835,-0.015403196,-0.75922596,0.031693876,-2.6680605,0.10670867,-1.1625432,0.012748513,-0.8395996,0.043827377,-2.5702713,0.01553054,-1.1500019,-0.02075149,-0.9613396,0.030989245,-2.399586,0.030497642,-1.3920509,-0.086856425,-0.059740305,0.024140239,0.009676933,0.015552372
-0.91377044,-0.03652768,-2.3983243,-0.024322137,-1.2675943,-0.0113749355,-0.7925899,0.019878864,-2.6055264,0.06247823,-1.024006,-0.007993363,-0.7953011,0.039949507,-2.6106398,-0.0071003893,-1.0461557,0.012554783,-0.9330517,0.02886191,-2.3741703,0.027222427,-1.3213531,-0.029309452,-0.027136445,-0.02068144,-0.011566162,0.00058317184
-0.95131326,-0.022066005,-2.2699776,0.02051707,-1.1844256,0.01789309,-0.7815918,0.037898168,-2.4247012,0.077136725,-1.0271207,-0.0059985854,-0.81601644,0.0033595636,-2.366684,0.031877864,-0.98631686,-0.03303523,-0.95500845,-0.012628943,-2.3612018,0.06497316,-1.2644614,-0.104610905,-0.030021608,0.018832147,0.009512305,0.012024611
-0.975727,-0.06242551,-2.3679368,0.010518473,-1.2107942,-0.00366351,-0.82303405,0.024195865,-2.3317757,0.00483031,-0.8098813,-0.012642112,-0.7372966,0.07847065,-2.4446626,0.03103869,-0.81845975,0.07730011,-0.99453247,0.038380146,-2.2813897,0.04828798,-1.1479981,0.033714756,0.0015667677,-0.04781562,-0.043455184,-0.04059899
-0.97506833,-0.030906238,-2.1977587,0.06167696,-1.01938,0.059817433,-0.753079,0.068445206,-2.2148895,0.061500788,-0.9147819,-0.08189389,-0.80814564,-0.05280461,-2.2171116,0.022713367,-0.8333347,-0.0434772,-0.9400068,-0.064495265,-2.3625653,0.099378236,-1.1694537,-0.12724283,0.0018024445,0.034508467,0.005156994,0.011835158
-1.0394752,-0.10907243,-2.4385042,0.032885518,-0.9874592,-0.020860568,-0.8824727,-0.0031237975,-2.3269606,-0.064250685,-0.4682783,0.047446784,-0.647048,0.082552,-2.3719423,0.06309239,-0.48134017,0.06732036,-1.0357009,0.045427516,-2.394805,0.026720598,-1.040846,0.07721022,-0.042315245,-0.09677982,-0.1252783,-0.15619767
-0.97383,-0.066208825,-2.3073297,0.034983095,-1.0675159,0.02978748,-0.74393785,0.02382192,-2.1245832,0.02364335,-0.6554886,-0.040127106,-0.70996994,0.027737036,-2.2006183,0.044669498,-0.5478163,0.008872981,-0.9793242,-0.0233391,-2.368943,0.047744058,-1.1407995,-0.03688799,-0.021550536,-0.0021824837,-0.05103594,-0.051623344
-0.9736587,-0.07845314,-2.3249679,0.044692468,-0.9991155,0.045275744,-0.7308396,0.027744919,-2.1000803,0.029672137,-0.68874156,-0.03927624,-0.685698,-0.0019934177,-2.067936,0.052869257,-0.5765209,-0.02109373,-0.9598893,0.004008442,-2.4096532,0.07676892,-1.1316748,-0.053615004,-0.047719,0.017302036,-0.042378604,-0.059019446
-1.0384678,-0.09047648,-2.3351378,0.05540331,-0.99026597,0.010353185,-0.75695866,-0.016600952,-2.0590062,-0.021377778,-0.6332092,0.011753734,-0.6189653,-0.01756744,-2.086362,0.079433374,-0.5648923,0.018411212,-1.0106955,-0.01513648,-2.3814406,0.047256485,-1.060896,0.012186065,-0.04606241,-0.055470586,-0.099482715,-0.08737826
-0.6140039,0.110035434,-3.774992,-0.7165786,-2.4175894,-0.40383342,-1.3273702,-0.41386768,-1.763499,0.5866866,-0.2284044,-0.34766886,-0.90880823,-0.30597666,-1.8816749,-0.5058274,-0.6431885,0.087039106,-0.6355706,0.2735998,-2.272697,-0.3462386,-2.0211692,0.35547668,-0.52141535,-0.10714662,0.44768885,0.90940166
-1.0249206,-0.07027815,-2.3139527,0.051644053,-1.0409771,0.0136148855,-0.68834805,-0.028824612,-1.8828881,0.020881755,-0.7514956,-0.028900139,-0.614664,-0.07506964,-1.9041345,0.07287697,-0.67530346,-0.0023405966,-0.98492163,-0.04989005,-2.363122,0.05631782,-1.1047364,-0.023299605,-0.048856735,-0.039086103,-0.08298361,-0.026377082
