FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.958713,0.018766142,-2.1319585,0.04681784,-1.2138747,0.04459575,-0.8832162,0.06246524,-2.482608,-0.01676523,-1.528942,-0.05782834,-0.85246783,0.016199209,-2.070588,0.023795148,-0.78545237,0.067288674,-0.95728266,-0.06392062,-2.5080197,-0.06359174,-1.7199805,-0.034197643,-0.020382822,-0.025022268,0.06291902,-0.025453806
-1.0072824,0.05423329,-2.183596,0.020883497,-0.7990916,-0.0010920763,-0.95948756,0.047200114,-2.5948071,0.015720055,-1.2816434,0.012058023,-0.9531364,0.0041258708,-2.2215118,-0.04722096,-0.79838955,0.00840345,-0.9805801,-0.029219482,-2.2387688,0.0010287389,-1.2046874,0.009346679,0.08397713,0.033275634,0.022253633,-0.041409016
-0.9763229,0.01650685,-2.2338147,0.047666743,-1.072748,0.026620224,-0.8956449,0.020664468,-2.5584483,-0.008349784,-1.4133298,-0.047090687,-0.8859049,-0.011915043,-2.1885328,0.0077498276,-0.80811036,0.011925198,-0.947097,-0.03012164,-2.596315,-0.06030052,-1.5841237,-0.033644304,0.0071175694,-0.013910174,0.011302412,-0.026437998
-0.9830707,0.017027132,-2.190146,0.031751193,-1.1938401,0.041831046,-0.8960562,0.053472266,-2.4234324,-0.016615592,-1.3690026,-0.044560555,-0.8695078,0.011462875,-2.1488452,0.0181872,-0.83226645,0.06318616,-0.9833196,-0.05543642,-2.5398517,-0.049137883,-1.5897231,-0.031159118,-0.006891489,-0.020132601,0.05868876,-0.024551034
-0.83732605,-0.10739,-1.8859811,-0.15124317,0.86541176,0.061306953,-0.86999524,-0.10067284,-2.9266417,-0.037186842,-2.1735206,0.30129397,-0.8686817,0.07449624,-2.663724,0.06407811,-0.39088988,-0.27856916,-0.9989054,0.33176526,-2.859113,0.07087303,-2.6218064,0.08848425,0.20490527,0.011119992,0.0937143,0.1659146
-0.9801353,0.010923594,-2.2732143,-0.0007609399,-0.8111768,0.0015403181,-0.9353212,0.05891381,-2.5481641,-0.023538921,-0.9101155,0.004000351,-0.9452358,0.006708503,-2.255042,-0.051099688,-0.7516154,0.03437557,-0.962166,-0.042964097,-2.3912451,-0.02014865,-1.1906133,0.048240226,-0.034587026,-0.0025526285,-0.002709806,-0.057231307
-0.9910866,-0.004337907,-2.3446755,0.012642833,-0.81222355,0.0037672967,-0.9138459,0.064166956,-2.6295938,0.0035634413,-0.7857169,0.026289705,-0.9486195,-0.011752233,-2.364632,-0.046300963,-0.71630085,0.021658443,-0.961064,-0.03230999,-2.519996,-0.012744464,-1.0913345,0.065164976,-0.03313172,-0.021441638,-0.044430494,-0.08317685
-1.029146,0.025013298,-2.4122102,0.022374434,-1.113529,0.0005289614,-0.938848,0.046060376,-2.5042167,-0.0005851537,-0.5891515,-0.01862567,-0.9809071,-0.019082487,-2.293498,0.00080149807,-0.74746275,0.06052924,-1.0243325,-0.01958333,-2.6408665,0.015653864,-1.5789369,-0.055709526,-0.04816544,-0.0389508,0.024299324,-0.08371949
-1.0099362,-0.011789858,-2.3748233,0.008130829,-0.8657502,-0.0007548183,-0.91726,0.057065822,-2.5407996,0.012278892,-0.6495936,0.03991696,-0.9691545,-0.019221097,-2.4219575,-0.041226402,-0.7669151,0.019332044,-0.9864931,-0.02231028,-2.5405223,-0.00037863106,-1.0239986,0.05431132,-0.027510524,-0.014626026,-0.041960716,-0.06188786
-0.9084358,-0.08903918,-2.0448983,-0.07107876,-0.18774939,-0.011275485,-0.9117148,-0.05831328,-2.4558177,-0.0101738125,-1.2557862,0.19303697,-0.9179409,-0.009595253,-2.583468,0.0039118137,-0.72680426,-0.14633423,-1.0342811,0.17466076,-2.6806638,0.029136501,-1.8403308,0.068943195,0.09873715,0.07937765,0.03982413,0.111294866
