FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.87924707,-0.15355483,-2.41789,0.12853295,-1.831269,-0.14714974,-0.670419,0.08645018,-1.8514664,-0.090198465,-0.54363406,-0.030218579,-0.7765974,-0.06136042,-2.4561834,-0.041406162,-1.5396326,-0.24391863,-1.1736307,0.111813284,-2.785405,0.1444948,-1.5291406,-0.072798476,0.104994,-0.06300092,-0.0037679672,0.12737343
-1.4554935,0.07453604,-2.7105393,-0.009673163,-1.9382213,0.07670591,-0.57134616,-0.124608666,-1.6920142,0.06875079,-0.22119236,0.05418452,-0.8846799,0.060361624,-2.366272,0.017415904,-2.2271512,0.056336522,-1.2444527,-0.21805537,-2.9623554,-0.1766201,-1.540515,0.011558667,-0.0839411,0.28943473,-0.23051113,0.02809304
-1.0538841,-0.021909073,-2.622108,-0.025749419,-1.5099409,-0.024112027,-0.66447014,0.011598282,-2.2388842,-0.03741155,-1.2817686,-0.0024593845,-0.6973126,-0.045830578,-2.593504,-0.059573203,-1.5339952,0.08082987,-1.0542214,-0.038135484,-2.8652847,0.081373304,-0.48783043,-0.04105781,0.011308819,-0.0883857,0.010877907,-0.09582245
-1.0329819,-0.049860746,-2.616993,-0.027841654,-1.4946995,-0.042623363,-0.7194379,0.03513792,-2.2710726,-0.021140002,-1.3022676,0.009707242,-0.7229506,-0.067695886,-2.6143384,0.008938655,-1.4940802,0.05775945,-1.1026231,-0.007416278,-2.8310993,0.10665111,-0.19819283,-0.04106477,0.015719175,-0.074355364,0.0072431862,-0.051496863
-1.0427046,-0.28275698,-2.702207,0.19947948,-0.9891366,-0.033918187,-0.6174376,0.1508483,-2.6081328,0.22554582,-0.5242516,-0.0335323,-0.9705874,-0.07701805,-2.7638707,0.11435355,-1.3603785,-0.39701372,-1.5105908,0.29356962,-2.7079678,0.3383441,-1.2270651,-0.2202034,-0.18133104,0.10810614,-0.12312162,0.096274704
-1.064832,-0.13702399,-2.7027879,0.017071523,-1.395777,0.022522805,-0.81642115,0.07753952,-2.3864124,0.043266863,-1.1015911,-0.057552844,-0.80070096,-0.08161399,-2.5952911,0.23534296,-1.3832812,-0.16278557,-0.7220712,0.14703758,-2.0926888,0.15838443,0.09191087,-0.039967656,-0.02963686,-0.0761745,0.02695316,0.10725397
-1.0192397,-0.16991094,-2.7268057,-0.038448516,-1.3795893,0.01579473,-0.8256308,0.068768546,-2.342431,0.05415278,-1.150137,-0.07097023,-0.76590955,-0.04846911,-2.6477556,0.1966958,-1.361148,-0.18456642,-0.79526836,0.13042063,-2.2838762,0.171869,0.0058208443,-0.059577093,-0.02134478,-0.03779757,0.030054808,0.03069657
-1.1072247,-0.105390765,-2.8076754,-0.011858564,-1.4337472,0.029780433,-0.72948134,0.066676326,-2.2485082,0.019696832,-1.2120812,-0.040267754,-0.7558487,-0.07565257,-2.659769,0.110471465,-1.4651613,-0.052377723,-0.8146064,0.058224835,-2.4974349,0.1399907,-0.09156357,-0.053884543,-0.03683257,-0.0735842,0.016201586,-0.007519543
-1.0305378,0.021676984,-2.467322,-0.024414796,-1.4658887,-0.018340336,-0.6557206,0.024065183,-2.1557543,0.01054953,-1.3845572,0.018309444,-0.6708578,-0.012126178,-2.4278765,-0.02374681,-1.5260538,0.04720451,-0.86074257,0.011587448,-2.2742996,0.008081824,0.17474918,-0.026431993,-0.0039123297,0.014479578,-0.0073872805,-0.029792547
-1.0608971,0.0044234693,-2.6567054,0.004812982,-1.435847,-0.0034599965,-0.7413796,0.023126906,-2.2034817,-0.05651986,-1.2080407,0.035324804,-0.74518615,-0.021457225,-2.6488333,-0.03785485,-1.524822,0.09546007,-0.7471214,0.0016629696,-2.2636783,0.07647605,0.34215784,0.001709953,0.015178561,-0.097175956,-0.0078241825,-0.06575638
-1.0283222,-0.09699238,-2.564662,-0.0027755722,-1.3441044,-0.0682112,-0.87043047,0.078041695,-2.3971906,0.027706936,-1.2524352,0.034009226,-0.7923964,0.022491202,-2.5999393,0.13952398,-1.5242031,-0.13255617,-0.58744997,0.11034227,-1.4380739,0.06617311,0.36991763,-0.017991677,0.060308993,-0.03099227,0.0753158,0.09675011
-0.96970856,-0.08353139,-2.6208706,0.012033429,-1.2304287,-0.084605716,-0.8347392,0.093101926,-2.4348528,0.06628398,-1.2776446,0.05821597,-0.8148775,0.03614667,-2.7014356,0.07583217,-1.4538264,-0.13918678,-0.6354525,0.116037436,-1.5291469,0.06897101,0.22455467,-0.018804356,0.029105306,-0.022128284,0.040766507,0.07146916
-1.1182617,0.04283804,-2.5270526,0.023937207,-1.2516624,-0.0074375845,-0.70488775,0.021059826,-2.1530054,-0.026163407,-1.3079696,0.02673658,-0.7232057,0.0075295866,-2.4859443,-0.022695333,-1.537817,0.0818598,-0.55131555,0.007682644,-1.6107483,0.03347811,0.22441123,-0.015132159,0.0012402534,-0.052316427,-0.0033819675,-0.0057142377
-0.91734743,-0.034052797,-2.6968398,0.05795913,-0.97212756,-0.03504519,-0.71627855,0.020259388,-2.4336839,0.036235787,-1.3447245,0.08910432,-0.77647644,-0.015477121,-2.7597375,-0.07119982,-1.3124022,-0.012899242,-0.6946288,0.054705948,-1.9640815,0.06811114,-0.23160736,0.016396016,-0.05487436,-0.11095369,-0.03458619,-0.08315337
-1.1210546,0.05951534,-2.628479,0.026342206,-1.2787385,-0.01923708,-0.7135762,0.019064918,-2.2360072,-0.039722048,-1.2647192,0.020428322,-0.71879274,-0.006081462,-2.5766945,-0.022923335,-1.5658948,0.09758945,-0.5599133,0.0015507787,-1.6589258,0.050988242,-0.6041234,-0.02372931,-0.03822273,-0.09504449,-0.023018897,-0.042489767
-1.0850977,0.058380235,-2.501112,0.024353644,-1.3849815,-0.014280098,-0.74285233,0.038572334,-2.1239102,-0.04748518,-1.316051,0.031321876,-0.68132544,0.0065870434,-2.4543028,0.033010416,-1.6699203,0.095308125,-0.525761,0.007006176,-1.4466782,0.044539258,-0.7653666,-0.037058413,-0.012934148,-0.14563519,0.012348771,-0.011733174
