FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.3755786,-0.045662507,-3.1101758,0.14254044,-1.9716071,0.3473995,-0.53051585,-0.04926914,-2.3722506,0.042695552,-1.2583075,-0.018994585,-0.61541486,-0.2235602,-2.4489517,-0.07942337,-1.6623902,0.08271325,-1.3548135,0.07263776,-2.712603,0.09476794,-2.042841,-0.14726798,-0.078338146,0.13208836,-0.09438735,0.026459098
-1.2040505,-0.07109044,-3.1779363,-0.002379045,-1.6352865,-0.06487181,-0.60907537,0.057133853,-2.2879453,0.058647886,-1.5504739,0.09726153,-0.6444042,-0.019954845,-2.3673618,0.06264876,-1.6981694,-0.08371377,-1.2136226,0.07786026,-3.0883107,-0.14949892,-1.8560617,0.047102112,-0.006134689,0.07060465,-0.03312838,-0.013237953
-1.1263093,0.00531172,-2.25665,-0.082402945,-1.033116,-0.05170942,-0.7023423,-0.028933458,-2.2883613,-0.05017551,-1.7869816,0.020045932,-0.7311908,0.105235696,-2.3431997,0.07551568,-1.6702697,-0.06120542,-1.1377665,0.0071355626,-2.2027278,0.026503995,-0.5428,0.0001931116,0.12037432,0.13571969,0.06802085,0.03381884
-0.9910525,-0.056784905,-2.5960097,-0.013238385,-0.8042469,-0.07256954,-0.6578772,-0.04200933,-2.3412256,0.06270025,-1.3275952,0.078161,-0.70868576,0.014428109,-2.210179,0.102301374,-1.5983896,-0.09105016,-1.0291632,0.03095188,-2.5761821,-0.060353488,-0.75757563,-0.06527391,0.014936596,0.047077566,-0.033558846,0.0114840865
-0.9008659,-0.032653205,-2.4575205,0.013236746,-0.29810536,-0.048702747,-0.6748882,-0.067105666,-2.4261684,0.022950461,-1.1674789,0.053611644,-0.69245625,-0.010715701,-2.244716,0.10276905,-1.3852019,-0.024560664,-0.9678779,0.0075132996,-2.4330418,-0.034850284,-0.17840901,-0.08035451,0.004698068,-0.028927684,-0.050492406,0.051297486
-0.7226238,-0.017936543,-1.9186529,0.03512138,0.5104759,-0.004280098,-0.73509884,-0.056776233,-2.2024262,-0.03629021,-1.439921,-0.03891126,-0.67509204,-0.0057061464,-2.1962628,-0.020086296,-1.5035257,0.013121545,-0.76319003,0.053487036,-1.9400395,-0.012307823,0.7769731,0.026595041,0.055865347,0.05239588,0.04319194,0.069330335
-0.6906184,0.0110376645,-2.232749,-0.014392495,0.6840687,0.025073744,-0.7015118,-0.026449531,-2.5329118,-0.037152544,-1.1866007,-0.0087479465,-0.7080808,-0.007819176,-2.3346834,-0.0260567,-1.1900582,0.0035976022,-0.7321848,-0.007842399,-2.2457762,-0.0108753145,0.7524574,-0.021535307,-0.010575891,-0.029929698,-0.045897663,-0.031003118
-0.6683017,0.034629256,-2.2561588,-0.041981786,0.49044752,0.029771566,-0.70499,0.0108552575,-2.5337737,-0.041452862,-1.2548413,0.0022535329,-0.6642943,0.02525837,-2.4002285,0.023073293,-1.2857153,0.020979248,-0.69579685,-0.038956173,-2.286896,0.017790124,0.43115303,-0.03134347,0.0032544434,-0.1053046,-0.08209485,-0.042665005
-0.6715815,0.059781924,-1.9037873,0.0905665,0.832618,-0.03653411,-0.7411746,0.043430902,-2.4692457,0.017598368,-1.0601902,-0.06480626,-0.6346268,-0.013857484,-2.4838057,-0.11045566,-1.2556467,-0.025924373,-0.61030984,0.06190519,-2.0297728,-0.06693214,0.7923584,-0.0006324947,0.03279364,-0.0039412975,0.028938025,0.00056535006
-0.29621315,0.042758122,-1.044931,-0.042375118,0.519366,-0.15874498,-0.78868914,0.060476147,-2.3237722,-0.0014604386,-1.5013502,0.031414844,-0.6276205,0.08632079,-2.2681713,-0.011865869,-1.4970503,-0.011282317,-0.22545737,-0.033864625,-1.0205909,-0.0631772,0.72148466,0.014908448,0.09550914,-0.023828506,0.079680055,0.007259786
-0.46285123,0.07805657,-1.769686,0.015488684,0.4346485,0.062111862,-0.640478,0.019684926,-2.4417596,0.013675844,-1.2811713,0.026855508,-0.6282047,0.017953746,-2.298996,0.08036838,-1.3678373,0.11485389,-0.5246808,-0.101699315,-1.8300354,0.0693918,0.46544233,-0.08496335,0.014735103,-0.103042126,-0.048493087,0.075160444
-0.46754566,0.08411489,-1.7582203,0.019708857,0.45220613,0.06257004,-0.6496016,0.014565442,-2.418258,0.0059930626,-1.3279189,0.024339149,-0.62247485,0.012167744,-2.2931485,0.0638176,-1.3883297,0.11073576,-0.5128347,-0.09742432,-1.8035326,0.060990706,0.48762557,-0.07816817,0.020080507,-0.090735435,-0.035592914,0.075908035
-0.54900444,0.07546783,-1.6822062,0.0044692606,0.074198246,0.034903564,-0.68888646,-0.029081494,-2.3861291,-0.01737999,-1.4574426,0.007555802,-0.6269114,0.0032506287,-2.2924438,-0.006956242,-1.4034101,0.063269734,-0.5411137,-0.06663454,-1.7009307,0.03270237,0.096505105,-0.036424458,0.0218454,-0.023582816,0.00010898709,0.037761033
