FLH_1,FLH_2,FLK_1,FLK_2,FLA_1,FLA_2,FRH_1,FRH_2,FRK_1,FRK_2,FRA_1,FRA_2,RLH_1,RLH_2,RLK_1,RLK_2,RLA_1,RLA_2,RRH_1,RRH_2,RRK_1,RRK_2,RRA_1,RRA_2,FS_1,FS_2,RS_1,RS_2,FLT,FRT,RLT,RRT
-1.047197551,0,-2.443460953,0,-1.047197551,0,-1.047197551,0,-2.443460953,0,-1.047197551,0,-1.047197551,0,-2.443460953,0,-1.047197551,0,-1.047197551,0,-2.443460953,0,-1.047197551,0,0,0,0,0,1,1,1,1
-1.044192652,0,-2.464216657,0,-1.022565072,0,-1.036432472,0,-2.487013422,0,-1.032779653,0,-1.036432472,0,-2.487013422,0,-1.032779653,0,-1.044192652,0,-2.464216657,0,-1.022565072,0,0,0,0,0,1,1,1,1
-1.043851205,0,-2.448627113,0,-1.046119433,0,-1.032093047,0,-2.465127312,0,-0.953757334,0,-1.032157493,0,-2.463526185,0,-1.047244018,0,-1.043851205,0,-2.448627113,0,-1.046119433,0,0,0,0,0,1,1,1,1
-1.04378238,0,-2.44478558,0,-1.053011013,0,-1.030102687,0,-2.455610868,0,-0.861676536,0,-1.030266679,0,-2.452888458,0,-1.054903444,0,-1.04378238,0,-2.44478558,0,-1.053011013,0,0,0,0,0,1,1,1,1
-1.043765621,0,-2.443792878,0,-1.054843077,0,-1.028194559,0,-2.446870777,0,-0.765753772,0,-1.029388377,0,-2.447888723,0,-1.058719669,0,-1.043765621,0,-2.443792878,0,-1.054843077,0,0,0,0,0,1,0,1,1
-1.043761309,0,-2.44353328,0,-1.055325418,0,-1.025111805,0,-2.433105554,0,-0.670402791,0,-1.028970852,0,-2.44549824,0,-1.060591053,0,-1.043761309,0,-2.44353328,0,-1.055325418,0,0,0,0,0,1,0,1,1
-1.043760183,0,-2.443465183,0,-1.055452162,0,-1.020381177,0,-2.412160331,0,-0.576358701,0,-1.028770158,0,-2.444345965,0,-1.061503694,0,-1.043760183,0,-2.443465183,0,-1.055452162,0,0,0,0,0,1,0,1,1
-1.043759887,0,-2.443447305,0,-1.055485452,0,-1.013980017,0,-2.383625508,0,-0.483000365,0,-1.028673173,0,-2.443788363,0,-1.06194778,0,-1.043759887,0,-2.443447305,0,-1.055485452,0,0,0,0,0,1,0,1,1
-1.04375981,0,-2.443442611,0,-1.055494194,0,-1.00606925,0,-2.347614229,0,-0.389671044,0,-1.028626183,0,-2.443518023,0,-1.062163658,0,-1.04375981,0,-2.443442611,0,-1.055494194,0,0,0,0,0,1,0,1,1
-1.043759789,0,-2.443441378,0,-1.05549649,0,-0.996879798,0,-2.30429875,0,-0.295980907,0,-1.028603387,0,-2.443386834,0,-1.062268551,0,-1.043759789,0,-2.443441378,0,-1.05549649,0,0,0,0,0,1,0,1,1
-1.043759784,0,-2.443441054,0,-1.055497092,0,-0.982762372,0,-2.237974431,0,-0.310072759,0,-1.028592322,0,-2.443323144,0,-1.062319507,0,-1.043759784,0,-2.443441054,0,-1.055497092,0,0,0,0,0,1,0,1,1
-1.043759783,0,-2.443440969,0,-1.055497251,0,-0.968825954,0,-2.173256875,0,-0.31865274,0,-1.02858695,0,-2.443292217,0,-1.062344258,0,-1.043759783,0,-2.443440969,0,-1.055497251,0,0,0,0,0,1,0,1,1
-1.043759782,0,-2.443440947,0,-1.055497292,0,-0.955056798,0,-2.110188088,0,-0.332579232,0,-1.02858434,0,-2.443277197,0,-1.06235628,0,-1.043759782,0,-2.443440947,0,-1.055497292,0,0,0,0,0,1,0,1,1
-1.043759782,0,-2.443440941,0,-1.055497303,0,-0.941380058,0,-2.048417512,0,-0.351502427,0,-1.028583073,0,-2.443269903,0,-1.062362119,0,-1.043759782,0,-2.443440941,0,-1.055497303,0,0,0,0,0,1,0,1,1
-1.043759782,0,-2.44344094,0,-1.055497306,0,-0.927741665,0,-1.987614037,0,-0.374969374,0,-1.028582458,0,-2.44326636,0,-1.062364955,0,-1.043759782,0,-2.44344094,0,-1.055497306,0,0,0,0,0,1,0,1,1
-1.043759782,0,-2.443440939,0,-1.055497307,0,-0.914110387,0,-1.927487262,0,-0.402572414,0,-1.028582159,0,-2.443264639,0,-1.062366332,0,-1.043759782,0,-2.443440939,0,-1.055497307,0,0,0,0,0,1,1,1,1
-1.043759782,0,-2.443440939,0,-1.055497307,0,-0.900478174,0,-1.867792215,0,-0.433936257,0,-1.028582014,0,-2.443263804,0,-1.062367001,0,-1.043759782,0,-2.443440939,0,-1.055497307,0,0,0,0,0,1,1,1,1
-1.043759782,0,-2.443440939,0,-1.055497307,0,-0.886862271,0,-1.808335542,0,-0.468693566,0,-1.028581943,0,-2.443263398,0,-1.062367326,0,-1.043759782,0,-2.443440939,0,-1.055497307,0,0,0,0,0,1,1,1,1
-1.043759782,0,-2.443440939,0,-1.055497307,0,-0.886402258,0,-1.806233877,0,-0.529357196,0,-1.028581909,0,-2.443263201,0,-1.062367484,0,-1.04395189,0,-2.446629071,0,-0.86879102,0,0,0,0,0,1,1,1,1
