FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.93667346,-0.07588143,-0.99687266,0.02773083,-0.99692607,0.05586556,-0.63468957,0.0056208787,-0.99527466,-0.018033456,-0.71813804,0.0018933021,-0.7018043,-0.03270839,-0.99702054,-0.028915858,-0.99466777,-0.011738566,-0.993886,-0.030289106,-0.99937177,0.026266478,-0.9956254,-0.024876215,0.013458676,0.01401761,0.055021975,-0.050188843
-0.979132,-0.21609442,-0.98456126,-0.25985414,-0.99619,-0.22157066,-0.731922,0.22035776,-0.9810533,0.416944,-0.23930234,0.13076586,-0.96585196,-0.055583723,-0.99194145,0.07929107,-0.99859524,0.11552809,-0.99950916,0.17669639,-0.9999864,0.26463473,-0.9980588,-0.1230693,0.01373309,0.034274627,-0.115145154,-0.28290272
-0.9664594,-0.06700101,-0.9961845,-0.045633193,-0.9980195,-0.009608096,-0.7103483,0.015397203,-0.9962582,-0.09257275,-0.72429895,-0.05421815,-0.7802825,0.0026895376,-0.9967827,0.045189798,-0.998448,0.037772886,-0.9912523,0.16780967,-0.99942905,-0.0018031279,-0.95352644,0.007615014,0.011902276,0.0025726352,0.024140732,0.041242994
-0.9780724,-0.05069796,-0.9930276,-0.016325003,-0.9924786,0.0004332596,-0.6077572,0.07405246,-0.99558365,-0.07483137,-0.81893647,0.013134343,-0.7651395,0.10557165,-0.99406904,0.0041779038,-0.9980438,0.019872455,-0.97894573,0.059681777,-0.99928594,0.057088003,-0.69570357,0.0066232802,0.01369343,0.043809824,-0.070397474,0.03215601
-0.9757458,0.05093471,-0.9928724,0.028055951,-0.99127674,0.00033906568,-0.6915468,-0.014845111,-0.992098,-0.021415908,-0.9505214,-0.008470153,-0.7199141,0.015530302,-0.9927351,0.0057180272,-0.9951644,-0.004236144,-0.9325505,0.01680972,-0.99680364,0.0018410364,0.09614218,0.01727627,0.04454747,-0.01804617,0.014949779,0.0006451382
-0.9780942,0.1115341,-0.9865511,0.030843396,-0.9773374,0.0022927315,-0.6694708,-0.02398438,-0.9864584,0.016418353,-0.97193456,0.008786802,-0.700127,0.01905231,-0.9871319,0.008158674,-0.99188715,-0.01900456,-0.802418,-0.04079684,-0.99203545,0.0016607478,0.8319996,0.035179976,0.03459287,-0.034299966,-0.029557772,0.007618421
-0.98124826,0.030210664,-0.9922575,0.009954001,-0.97670627,0.009274435,-0.61775845,0.07681009,-0.99378973,-0.056071565,-0.95825505,0.024679193,-0.72072035,0.08611269,-0.9906287,0.023983821,-0.9947753,-0.034883413,-0.8807096,-0.039200474,-0.99758637,0.064471625,0.43066958,-0.020071695,0.022571826,0.011232105,-0.043857783,-0.01960294
-0.9644532,0.061245017,-0.98989606,0.049795464,-0.9809145,0.00858171,-0.6974563,-0.100199856,-0.99045485,0.0037914333,-0.97007,-0.0029531557,-0.6825279,0.013451484,-0.98845935,-0.033752244,-0.9874042,-0.024565956,-0.8136056,0.04271092,-0.99268496,-0.051713146,0.36693954,0.002801683,0.038980067,0.036944687,0.01652017,-0.0017207173
-0.97667116,0.071772225,-0.9831857,0.007942774,-0.97231376,0.031305443,-0.52967405,0.062154204,-0.9889351,-0.01758287,-0.9327903,0.042902514,-0.63867533,0.118422344,-0.9787366,0.035314213,-0.99098974,-0.06675837,-0.78044474,-0.07307823,-0.9922996,0.032931663,0.3828066,-0.02553094,-0.007904119,0.03202392,-0.0700553,0.009458729
-0.9727571,0.10504185,-0.9777553,0.027873212,-0.9615803,0.018933846,-0.63252723,-0.07352061,-0.9844652,0.034788527,-0.9687556,0.023637421,-0.64162385,0.033147175,-0.9773856,-0.026028207,-0.98580384,-0.037750088,-0.62575924,-0.035369612,-0.98388934,-0.052630816,0.7307885,0.022590332,0.022295475,0.021668298,-0.061252847,0.029859373
-0.9771845,0.10352138,-0.9800833,0.07099075,-0.9510405,-1.4700927e-05,-0.72658646,-0.16844937,-0.9885626,0.040680297,-0.9865988,0.0070362645,-0.6547393,0.003059441,-0.9825844,-0.1022153,-0.98357606,-0.0012064272,-0.48257145,0.0071414127,-0.98430663,-0.09589812,0.8147621,0.024071539,0.08438833,0.060812682,-0.032447476,0.032139406
-0.9674788,0.11919667,-0.97518814,0.12378011,-0.9320458,-0.01153958,-0.7175259,-0.22916946,-0.9869662,0.06463189,-0.9845023,0.023163786,-0.6507785,0.034504164,-0.9791495,-0.15607291,-0.97270304,0.028400812,-0.34724575,-0.0018977798,-0.9751237,-0.08569402,0.7516658,0.008217767,0.11892931,0.081689484,-0.023686009,0.04208312
-0.98367983,0.050318617,-0.98232466,0.0056044767,-0.95989376,0.036115214,-0.5428156,0.0872544,-0.9901364,-0.04720015,-0.9336849,0.025335945,-0.57786626,0.12605505,-0.97985804,0.026842061,-0.9898165,-0.06598402,-0.74596876,-0.08340058,-0.9904724,0.010423402,-0.054348387,-0.05538443,-0.025394924,0.067148976,-0.061765052,0.016307898
-0.9689122,0.08882771,-0.9589224,0.056192495,-0.9558685,0.040874936,-0.4900374,-0.05336953,-0.98024356,0.07304138,-0.92592686,0.070385985,-0.56928897,0.089504495,-0.9645532,-0.051757045,-0.9823747,-0.024435073,-0.599238,-0.10855493,-0.9669605,-0.010546919,-0.29291832,0.010407459,0.014279066,0.049057797,-0.102131866,0.054159626
-0.9655975,0.038859617,-0.9764095,0.08878321,-0.97379273,0.048020355,-0.55545026,-0.103315435,-0.9883807,0.07288207,-0.9349141,0.055592813,-0.5812082,0.06904335,-0.98044413,-0.07734669,-0.9828806,0.00026778877,-0.7165694,-0.0497663,-0.9770352,-0.008773996,-0.82981294,-0.010346923,0.039018095,0.08761923,-0.042508606,0.042779405
-0.95871323,0.03387337,-0.9828249,0.12657309,-0.9828131,0.03955352,-0.5919948,-0.14687042,-0.9910033,0.06364358,-0.92707413,0.043298174,-0.5927213,0.083008006,-0.9856123,-0.087663546,-0.9811364,0.020560518,-0.7636912,-0.005085253,-0.9790319,-0.0016719386,-0.91707057,-0.033300873,0.06726477,0.11460155,0.0050110044,0.037337635
-0.9644425,0.08994425,-0.98152465,0.021335563,-0.89023185,0.092275664,-0.45553416,0.076072305,-0.9885177,-0.014259519,-0.8396323,0.032758046,-0.55471146,0.13705115,-0.9818228,0.068683416,-0.9682827,-0.09161181,-0.8235819,-0.12658598,-0.9826186,0.007940498,-0.9407979,-0.05123958,-0.046486564,0.056326743,-0.055864338,0.023885816
-0.9600798,0.10517887,-0.9827951,0.041122064,-0.88946,0.091595165,-0.44143984,0.06207081,-0.9879372,-0.015115526,-0.7996864,0.037655756,-0.5465241,0.15564676,-0.98160505,0.05944595,-0.9624416,-0.092117846,-0.84738475,-0.13233888,-0.9804579,0.0003661513,-0.9475699,-0.049973905,-0.034942985,0.059853528,-0.05424441,0.02147235
-0.9276557,0.035291143,-0.9905314,0.0829162,-0.85193944,0.021991484,-0.7396683,-0.10439968,-0.9943295,-0.039446335,-0.9664802,-0.050386585,-0.655917,-0.028335059,-0.99401134,-0.043925777,-0.9394692,0.0149362,-0.8642735,0.06787345,-0.99318045,-0.077397004,-0.965826,-0.013963566,0.037979938,0.055258803,0.07280126,0.011383973
-0.8967352,0.06476727,-0.9951522,0.04761234,-0.4600973,0.02635524,-0.7874122,-0.033973694,-0.9966334,-0.07979135,-0.98304456,-0.08314145,-0.7103427,-0.034255035,-0.99702895,0.03149139,-0.85021305,-0.012415535,-0.8794824,0.08363423,-0.9962364,-0.05026991,-0.9671555,-0.009754969,0.01740487,0.018049685,0.080061786,-0.014038915
-0.79102033,0.048851456,-0.98778665,0.03734966,0.1819447,0.007331209,-0.63914835,0.07881455,-0.9913849,-0.061663404,-0.93906444,-0.0073188725,-0.654853,-0.014453347,-0.9867115,0.036455583,-0.59907466,-0.023301346,-0.8631739,-0.07267959,-0.9951367,0.019659266,-0.98308223,0.004732605,-0.029904803,-0.055915266,-0.010463304,-0.036756244
-0.6344927,0.01975759,-0.9283772,-0.025749238,0.90306383,0.014304217,-0.63142824,-0.023129953,-0.9462375,-0.06239669,-0.89553064,-0.03388373,-0.58701855,-0.04974897,-0.91499525,0.052794147,0.029058738,0.019870646,-0.86964744,0.02822442,-0.98994017,-0.05404771,-0.94953585,0.016205601,0.018957533,-0.021411533,0.08423019,0.06190467
