FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.9142947,0.10868874,-0.98265636,0.34525573,-0.8564415,0.07645307,-0.46838954,0.11150846,-0.8836408,-0.14782579,-0.97859657,0.015379714,-0.6763264,-0.27380052,-0.963132,-0.24351843,-0.97999465,-0.30280864,-0.9669631,0.113019235,-0.9853446,0.24870774,-0.8597822,-0.016357368,0.40601647,-0.00515326,-0.08785203,-0.22969201
-0.7895369,0.05915663,-0.9427916,0.28867456,-0.9449754,-0.07649982,-0.46543202,0.07499111,-0.7292591,-0.22322594,-0.97198343,-0.15453683,-0.6682411,-0.29832375,-0.84664536,-0.27678388,-0.9452613,-0.44039625,-0.95889187,0.10551807,-0.91342705,0.41051883,-0.83572274,0.04791996,0.47881415,0.20228054,0.024325399,-0.23311505
-0.8060643,0.033945255,-0.9296835,0.22130963,-0.93193424,-0.090708084,-0.4239432,0.015542641,-0.79509526,-0.23180288,-0.97449046,-0.15701286,-0.61223936,-0.2860731,-0.8583852,-0.24961582,-0.9646909,-0.42214993,-0.95408434,0.09230819,-0.898268,0.368129,-0.73752487,0.05870434,0.425751,0.19040562,0.02449526,-0.23863283
-0.96424943,0.20885734,-0.99991274,0.1425239,-0.73757356,-0.15206629,-0.8034405,0.06449234,-0.99948686,0.052037694,-0.99849945,0.06885399,-0.7579691,0.16301447,-0.9991869,0.21831393,-0.99586916,0.31162474,-0.95122504,0.020983648,-0.99994063,-0.246151,-0.95824385,-0.061748616,0.09045363,-0.11312227,-0.1615123,0.12822078
-0.92364424,0.09852816,-0.99937737,-0.13236092,-0.90346456,-0.13652538,-0.7247124,0.06206908,-0.998812,-0.035934854,-0.99446696,0.015236748,-0.594366,0.11307686,-0.9971843,0.04927439,-0.99088496,0.16114032,-0.911243,0.044397198,-0.99952227,-0.112320215,-0.95381397,-0.013247732,0.006494237,0.03568903,-0.008654483,0.09458072
-0.9109458,-0.02458212,-0.9987845,-0.24804592,-0.9691991,-0.156179,-0.62833583,-0.05790905,-0.9986773,-0.098562755,-0.9763427,-0.047763024,-0.4978756,0.053361606,-0.9959474,0.012304303,-0.9792549,0.011186223,-0.9013645,0.03615052,-0.9985415,-0.03688905,-0.9434032,0.036332015,-0.041268814,0.11576038,0.07548036,0.03166036
-0.9749119,0.107757516,-0.9996732,0.06460602,-0.69039774,-0.19409479,-0.8364676,-0.004424379,-0.9993384,0.14709435,-0.9993749,0.047464885,-0.7672113,0.14272985,-0.9996187,0.25111026,-0.99827147,0.29170242,-0.9520909,-0.050352257,-0.99968725,-0.22819003,-0.9421514,0.0141289625,-0.014123272,-0.18014866,-0.12277551,0.12489492
-0.9014202,-0.09175478,-0.99809223,-0.25139043,-0.9678339,-0.15182279,-0.59617615,-0.10326393,-0.9986933,-0.092253685,-0.97198874,-0.06400813,-0.4886892,0.03138006,-0.9960876,-0.000728242,-0.9779312,-0.0374859,-0.88992786,0.02166564,-0.99726707,0.006723444,-0.92560387,0.048287254,-0.066851854,0.09435135,0.13299613,0.0029520008
-0.90277404,0.034329597,-0.996725,0.08778749,-0.18908902,-0.08084549,-0.7445319,-0.0942004,-0.99789065,0.12742807,-0.9942009,0.08594394,-0.72641534,0.14320844,-0.9991205,0.19757347,-0.98972094,0.2079176,-0.78894883,-0.049627278,-0.99784696,-0.17959742,-0.78795403,-0.0046956753,-0.07756312,-0.17942156,-0.06613253,0.081244074
-0.4484241,-0.25970343,-0.75715035,-0.23990172,-0.21951018,-0.07084296,-0.50655013,-0.13955934,-0.988677,-0.010777,0.80307585,-0.022622364,-0.46708015,-0.018073244,-0.98708475,-0.06257619,0.59762806,-0.073219985,-0.22445248,-0.061683636,-0.73437196,0.088764004,0.057631366,0.0735207,-0.25728884,-0.17171939,0.33116823,-0.118108265
-0.15803395,-0.006778464,-0.59684384,0.04053098,-0.36936328,0.52181095,-0.7670599,-0.2632595,-0.9753748,0.2852033,0.89125216,0.12597321,-0.7927456,0.23925656,-0.998723,0.29696113,0.15887444,0.29206502,-0.013855137,-0.19623452,-0.6040063,-0.08372372,0.012904716,-0.07750536,-0.41014326,-0.0046650874,-0.17408408,0.13571668
-0.37457237,-0.20915669,-0.9339085,-0.23738723,-0.5280455,0.07991308,-0.5418985,0.05553895,-0.9891411,0.082472414,0.98987526,-0.023037428,-0.51009744,-0.054022543,-0.97926074,-0.0492324,0.95661527,-0.019126184,-0.3003526,-0.073988475,-0.9261135,-0.091374174,0.07155981,0.0321416,-0.31950057,-0.09095638,0.11315536,-0.016537039
-0.70217854,-0.039150603,-0.99504226,-0.080277406,-0.6803983,0.3651282,-0.6329631,0.27745524,-0.9974373,0.13495943,0.9164383,0.12157197,-0.71977127,0.059038132,-0.9984686,-0.15469173,0.78848445,0.054485086,-0.58802736,0.0048672543,-0.9981979,-0.1680405,-0.7041802,-0.14007501,-0.25685567,0.10015104,-0.08297235,0.23985302
