FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.92544174,-0.07502383,-0.99488926,0.04433804,-0.70361185,-0.03517276,-0.73944986,0.06359451,-0.9918209,0.1974269,-0.9580295,-0.15304771,-0.8042533,0.22490844,-0.9958961,0.1088041,-0.9870967,0.08341199,-0.9594292,0.0052381908,-0.98893595,-0.06630581,-0.7270903,-0.23448355,0.011774227,-0.12394232,0.04170257,0.11152232
-0.9865339,0.06486292,-0.9991473,-0.058676817,-0.9929183,0.05137557,-0.81794107,-0.090565056,-0.998726,-0.064267494,-0.9085101,-0.06414344,-0.7048442,0.06358784,-0.99822223,0.05575408,-0.93553436,-0.16876596,-0.9718571,0.07231503,-0.99791783,0.03662866,-0.99245614,-0.07562186,-0.0026812004,-0.077239744,-0.043449115,0.07731213
-0.95885193,-0.051253036,-0.9961438,0.078268565,-0.9013868,-0.06183111,-0.79068375,0.036684595,-0.99416435,0.11986649,-0.9694895,-0.061726835,-0.8030396,0.06183627,-0.9949908,0.06789525,-0.9748939,0.04628341,-0.9593438,0.005371411,-0.9916501,-0.08423916,-0.9189146,-0.066712,0.055857327,0.117121845,0.012307231,0.102270626
-0.89249784,0.044100776,-0.98885196,-0.032112982,-0.7106947,0.20986879,-0.5051385,-0.18743254,-0.99567705,-0.1820433,-0.988735,-0.21793972,-0.53123474,-0.046833195,-0.99381596,0.04533444,-0.9911336,0.16807215,-0.8357604,0.013209402,-0.9941877,0.17552632,-0.7111587,-0.12743425,0.19011259,-0.33193138,-0.15012741,-0.079473466
-0.976903,0.08611046,-0.9988923,-0.035768196,-0.9950037,-0.013120547,-0.8473314,0.0075567416,-0.99769336,-0.11012715,-0.9286855,0.070094265,-0.65000534,-0.008454837,-0.99549645,0.0419994,-0.92285144,-0.18593289,-0.9647497,0.030090604,-0.9952385,0.093336605,-0.9962293,0.028734218,-0.084107056,-0.0072807856,0.03535106,-0.062796004
-0.9566333,0.0036144545,-0.99566174,0.082600586,-0.9805975,-0.07218886,-0.7998244,0.061389435,-0.99465364,-0.02143534,-0.9685786,0.096387506,-0.7327281,-0.0032668891,-0.99090856,0.021518331,-0.9278624,0.0057445774,-0.94292134,0.025403256,-0.98944837,-0.012349122,-0.9886424,0.026856076,-0.04070631,0.16742946,0.054340154,-0.055146176
-0.8644108,0.066641994,-0.9812684,-0.035686538,-0.6653574,0.20159471,-0.4937745,-0.16777132,-0.9940988,-0.21034183,-0.9878693,-0.17822538,-0.44414476,-0.13159508,-0.98987603,-0.0045725536,-0.9903174,0.19785245,-0.75550395,-0.017960684,-0.9916333,0.20541446,-0.6865323,-0.06537845,0.17694224,-0.3488933,-0.13623433,-0.1203649
-0.95279557,0.056427125,-0.9968924,0.009695271,-0.98152786,-0.12086624,-0.81231195,0.07153872,-0.9946489,-0.06270044,-0.9431964,0.15796465,-0.66545534,-0.038006727,-0.99022526,0.053569317,-0.9117607,-0.11222443,-0.94526464,0.006723984,-0.98791605,0.06075922,-0.98720264,0.0636028,-0.103757896,0.04913075,0.09317012,-0.122718394
-0.95679736,0.07461972,-0.99784124,-0.043378055,-0.97461635,-0.07616289,-0.7746242,0.034941796,-0.9970963,-0.04608693,-0.8863961,0.13916539,-0.6203848,0.012553725,-0.99380285,-0.0012776696,-0.88987756,-0.1372842,-0.9562403,-0.021152165,-0.9912252,0.060474318,-0.97861564,0.05662696,-0.17242025,0.0027809164,0.113562696,-0.07548315
-0.9643026,-0.1672357,-0.994436,0.06250248,-0.2216452,-0.027674777,-0.52563363,0.02717601,-0.99551696,0.003984532,-0.78913075,0.03036347,-0.74666506,-0.124210075,-0.9949791,-0.05412654,-0.71640295,-0.00968508,-0.9624501,-0.023538927,-0.99491584,-0.18467367,-0.1817655,0.14725412,0.14985405,0.225499,-0.130407,0.03804901
-0.9625518,-0.08122145,-0.98676354,-0.084735,0.15219367,0.020208629,-0.5369401,-0.08915213,-0.99300915,-0.045994364,-0.2877126,-0.020728286,-0.7013617,-0.11210285,-0.9861869,-0.11068882,-0.5682926,0.0662313,-0.9480031,-0.08122999,-0.993937,-0.067566074,0.45628113,0.12026316,0.115483485,0.17019598,-0.10589076,-0.07345887
-0.87479794,-0.1521845,-0.9917827,0.0019596715,0.7277646,-0.12879965,-0.674622,0.14815794,-0.99427503,0.30561808,-0.98810965,0.13589665,-0.8480732,0.18869999,-0.99687916,-0.091509454,-0.9743431,-0.05219383,-0.9607713,0.07977192,-0.9897619,-0.20334555,0.7558903,0.042737696,-0.1490848,0.26209667,0.17570412,0.07526541
-0.9581181,0.13117628,-0.99578834,0.014883187,0.098529465,0.04831488,-0.71141726,0.09359587,-0.9946148,0.10859554,-0.6878776,0.07202021,-0.66685534,-0.09605452,-0.9971262,-0.12626572,-0.8507139,0.10549037,-0.95648235,-0.090225205,-0.99426335,-0.0108531555,0.38826522,0.09087779,-0.1462112,-0.09514169,0.032460902,0.18134223
