FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.9827085,0.026759017,-0.99934685,0.03245916,-0.98795354,-0.06405921,-0.9076767,-0.03872153,-0.99889076,-0.068883345,-0.99748003,0.036283676,-0.96534926,0.039861105,-0.9990598,0.0094988495,-0.9673941,-0.014129614,-0.9798078,-0.040512107,-0.99866045,0.025572091,-0.8759276,0.05220477,-0.03099622,-0.02905156,0.01147801,0.052417707
-0.95637083,-0.086755455,-0.99805814,-0.027421026,-0.8587375,0.00745777,-0.83119804,-0.08270583,-0.9973761,-0.061642095,-0.98668474,-0.0077869175,-0.9712374,-0.0973696,-0.9962139,0.06932429,-0.95670485,-0.025785154,-0.95772415,-0.03993062,-0.9965484,0.054851502,-0.6021533,0.024627915,-0.067978986,0.17157039,-0.027471386,0.120305724
-0.9384649,-0.16959779,-0.99797267,-0.0684927,-0.45118088,0.064152874,-0.8223282,-0.14254911,-0.9968708,-0.09909887,-0.95736504,-0.0486988,-0.98747,-0.1374299,-0.9970616,0.09794752,-0.93587047,-0.080977224,-0.9850031,-0.09008108,-0.99785274,0.07789378,-0.90722644,0.02868756,-0.090606585,0.2957471,-0.027420307,0.096145906
-0.99179995,0.08183936,-0.9996973,0.005161103,-0.94529027,-0.051375065,-0.93874866,0.0061401697,-0.9996147,0.046501957,-0.99762714,0.044907406,-0.98012686,-0.03007126,-0.99987555,0.07198817,-0.9441102,-0.007299979,-0.99144113,0.036225002,-0.99964947,-0.002462398,-0.9881879,0.026991066,-0.08187504,-0.04740892,-0.049073394,-0.022424823
-0.9553661,0.0077885976,-0.99720746,-0.024194911,-0.90622234,-0.090120696,-0.8316176,-0.09686598,-0.99796957,-0.01784508,-0.98883957,-0.007085156,-0.93799514,-0.04256447,-0.99738175,0.004842104,-0.8157448,0.017980158,-0.9591642,-0.051584017,-0.99713594,0.044614036,-0.9809532,-0.012427903,-0.028668594,0.062909074,-0.03202563,-0.010532314
-0.99137294,0.07096868,-0.9994625,0.02420043,-0.96108073,-0.088268906,-0.93473756,0.019743856,-0.99934274,0.029726762,-0.99143153,0.035168707,-0.97543734,0.0027099904,-0.99963295,0.0019405897,-0.9659632,0.021976728,-0.98385686,0.020693079,-0.99922633,-0.027770339,-0.97557294,0.03961013,-0.016117834,-0.079162225,0.0003092885,-0.010400337
-0.92649484,-0.08386849,-0.9957397,-0.13652518,-0.736611,0.100789025,-0.8388798,-0.17356755,-0.99552906,-0.05950632,-0.89634556,-0.006703686,-0.9707733,-0.113696374,-0.99576384,0.03532764,-0.8238957,-0.06176149,-0.9892811,-0.11840487,-0.99683404,0.12509625,-0.9910977,-0.080284774,-0.048352193,0.16416031,-0.040585414,0.032852136
-0.9892772,0.047038246,-0.99891996,0.036464497,-0.95490915,-0.07255763,-0.92373294,0.024003878,-0.9985718,0.0042854324,-0.97155195,0.015439672,-0.97282815,0.03721756,-0.9989815,-0.027756197,-0.97727835,0.036596395,-0.9744817,0.012607078,-0.99861526,-0.029487101,-0.9249409,0.028001102,0.016223073,-0.071678974,0.02192458,-0.020797022
-0.9986384,0.19237667,-0.9999443,0.14799866,-0.97180545,-0.16417943,-0.9761619,0.08629461,-0.9997373,0.07699851,-0.99482906,0.018970009,-0.9938525,0.12393116,-0.9999531,-0.05861991,-0.99574673,0.070646875,-0.99637413,0.048851874,-0.99991536,-0.13047771,-0.94601136,0.010201313,0.041839294,-0.18571426,0.07035321,-0.102110535
-0.98418075,0.04268494,-0.99706495,0.050452553,-0.92102325,-0.00054993475,-0.9294702,0.041930493,-0.9969488,0.014801233,-0.8239211,-0.027708992,-0.9754608,0.09034043,-0.9957603,-0.041509874,-0.978805,0.024354648,-0.95614505,0.03415248,-0.9969723,-0.03562762,-0.7978061,-0.013960429,0.04747452,-0.036417793,0.026452411,-0.052766964
-0.9728589,-0.008324997,-0.99568266,0.014248012,-0.8687644,0.052444175,-0.9223891,-0.014626473,-0.99420017,-0.05302976,-0.31308228,-0.019739535,-0.98526216,0.063925885,-0.9921444,-0.047675803,-0.9592546,0.016977347,-0.9786998,-0.030950366,-0.9972097,0.028670046,-0.9093908,0.00983154,0.0064151087,0.037227638,0.0066925627,-0.0068670735
-0.9928152,0.08544806,-0.9986122,0.09147881,-0.9241187,0.017851908,-0.9654154,0.090739906,-0.997742,0.04115402,-0.6128248,-0.019288074,-0.98778284,0.13275078,-0.99768734,-0.051487762,-0.9918384,0.028898554,-0.9695625,0.08003335,-0.99878716,-0.061617676,-0.62392277,-0.0058684386,0.05905742,-0.08560237,0.045253705,-0.051744066
-0.98516715,0.051033076,-0.99674636,0.101994246,-0.92100996,0.04565411,-0.9514791,0.09130358,-0.993747,-0.010741942,-0.0060029575,-0.03177246,-0.98807526,0.15506221,-0.99196875,-0.07336225,-0.9825569,0.06964773,-0.9674812,0.035085857,-0.99794525,-0.06357226,-0.6274072,0.024184484,0.033124384,-0.042642813,0.041158188,-0.086267665
-0.9907454,0.08189827,-0.99816227,0.094101444,-0.92028415,0.019302063,-0.96029836,0.08911351,-0.99688864,0.032522235,-0.49684915,-0.022001544,-0.9870175,0.13449055,-0.9965265,-0.05918618,-0.9897787,0.043577038,-0.9672488,0.0715363,-0.9985435,-0.059858426,-0.5895631,-0.012168285,0.05461508,-0.07707,0.042892773,-0.06277257
-0.9740011,0.01257921,-0.99357647,0.06616032,-0.86464226,0.007845609,-0.9120692,0.026374733,-0.99175435,-0.058077417,-0.36140698,-0.022621443,-0.98105955,0.10085845,-0.9880024,-0.048437387,-0.96736896,0.043953486,-0.9535004,0.011908836,-0.99575984,-0.00066444004,-0.74959606,0.021299355,0.010666952,0.0052360375,0.015852882,-0.046056632
-0.99404377,0.06560976,-0.99927914,0.070449,-0.9462357,-0.076358005,-0.9444323,0.05317399,-0.9986566,0.011069963,-0.95113534,0.0002542995,-0.984972,0.0786381,-0.9992616,-0.05096857,-0.9922348,0.040437985,-0.98308104,0.02798105,-0.9991737,-0.049816146,-0.8006832,0.022912605,0.040272444,-0.08883121,0.035388995,-0.035725445
-0.9510457,-0.15400252,-0.9942518,-0.11740595,-0.7469227,0.1182728,-0.80282086,0.09195675,-0.9933013,0.11360852,-0.99119633,-0.015057424,-0.93298125,-0.14447615,-0.99556476,0.023556307,-0.379544,-0.03588186,-0.96449983,0.009955716,-0.99074215,-0.0476337,-0.96823454,-0.041303866,0.066439725,-0.029681936,-0.030064758,0.04508845
-0.9193511,-0.06246273,-0.9939796,-0.1729785,-0.639934,0.12449055,-0.8063572,-0.060281932,-0.99458814,0.0011561695,-0.99403733,0.022833196,-0.9441049,-0.10935966,-0.99435174,0.048087902,-0.5045762,-0.12740564,-0.9760937,-0.011571487,-0.9927437,0.15133911,-0.9892884,-0.097760566,0.042764977,0.019134324,-0.019754834,0.0752087
-0.9144753,-0.17128828,-0.9916816,-0.15547895,-0.77229446,0.10644763,-0.74956983,0.05406566,-0.9939725,0.090331696,-0.9958508,0.03151699,-0.88110775,-0.22154851,-0.9950975,0.06855688,0.08420301,-0.06987612,-0.9524872,0.015188347,-0.98645866,-0.018410914,-0.98855466,-0.03670641,0.009579052,-0.021087272,-0.057502527,0.076888405
-0.9478481,-0.027019516,-0.9941312,-0.034517333,-0.9223945,-0.043569043,-0.7979331,-0.061045956,-0.997243,-0.032427568,-0.9842547,0.021986825,-0.90791154,-0.048606686,-0.99603605,0.024244504,-0.8419536,0.01403475,-0.9275372,-0.018144751,-0.9937708,0.03224906,-0.95768034,0.008957521,-0.056655135,0.029485647,-0.038391717,0.0053180177
