FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.9473126,-0.0028942444,-0.99999124,-0.0045200353,-0.9518947,-0.0025489796,-0.7116329,-0.0045296387,-0.99999046,0.013176718,-0.9941809,-0.0048513105,-0.71301615,0.011123366,-0.9999765,-2.3521483e-05,-0.9810693,0.011391827,-0.87542915,0.03144505,-0.9999945,0.0047004027,-0.9491598,0.00033307076,-0.011444337,0.018309923,0.0023650688,-0.010809708
-0.97372365,0.015474634,-0.9999986,0.023746012,-0.9801673,-0.005127378,-0.7541669,-0.018787378,-0.99999857,-0.01979954,-0.99701303,0.012244678,-0.7747806,-0.023343088,-0.9999957,0.027236793,-0.99270916,0.010902019,-0.91718936,0.02247691,-0.9999992,-0.013269018,-0.96873534,0.01934993,0.0016787185,0.026892852,-0.011010926,-0.00089328736
-0.9857793,0.002577694,-0.9999693,0.020051258,-0.9635135,0.0071506845,-0.6926975,-0.000444442,-0.99997383,0.0023047994,-0.9981917,0.011326417,-0.7565374,-0.004680432,-0.9999608,0.003817428,-0.9973647,0.0052997214,-0.79239553,0.021198636,-0.9999801,-0.005669429,-0.31391254,0.0061042444,0.0019532044,0.009539218,-0.009027514,-0.00069042307
-0.9913418,-0.0047765905,-0.9999883,0.009594347,-0.95840436,-0.006683138,-0.71182173,-0.002314176,-0.9999868,0.012596474,-0.9991437,0.0018797718,-0.7620213,-0.007841437,-0.9999865,0.0059632175,-0.9977391,0.0057001556,-0.74349296,0.034227837,-0.9999916,-0.014502298,-0.07017573,0.008761569,-0.002081421,0.022973666,-0.017172953,0.005703663
-0.99402684,-0.0021368158,-0.99998486,0.0049348595,-0.94638896,-0.008907954,-0.71054405,-0.005753007,-0.99998176,0.017205115,-0.99943423,-0.0024856054,-0.74399304,-0.010659719,-0.99998605,-0.0067596375,-0.99813694,0.0068246126,-0.6454205,0.025920559,-0.99998885,-0.0009677854,0.4137928,0.002364184,0.005548517,0.017205164,-0.0219324,0.0028001964
-0.99384904,-0.0039823665,-0.99991304,0.010921156,-0.9281711,0.0039405692,-0.669839,-0.010197137,-0.9999111,0.010927522,-0.9993873,0.015315877,-0.72563106,0.014103599,-0.9999451,0.0027301467,-0.99842143,-0.0034624778,-0.5147621,0.0066719404,-0.9999354,0.00428449,0.78510165,0.001908896,-0.0052937074,0.0064394777,-0.008540104,0.0017747933
-0.99135745,0.0025321862,-0.9997296,0.01488852,-0.9197791,0.015802179,-0.64533037,-0.022092562,-0.99978364,-0.006174519,-0.9990625,0.039702598,-0.7069008,0.0332189,-0.9998349,0.0034108104,-0.9980162,-0.009371555,-0.4968705,-0.013577782,-0.99982077,0.03552778,0.7888282,-0.0014981318,-0.0014417236,-0.015908426,0.005103773,-0.00235011
-0.98954,0.0030568594,-0.99968135,0.01729248,-0.90720737,0.036193356,-0.64653635,-0.021369705,-0.9997617,-0.008641363,-0.99895644,0.05169526,-0.69987696,0.03967072,-0.99980277,-0.0009618473,-0.99737686,-0.017930662,-0.48904517,-0.027533336,-0.99980193,0.021637036,0.7230056,0.017791562,0.0034905828,-0.015006734,-0.00016398448,0.003461856
-0.9924583,-0.002707974,-0.99995595,-0.008731926,-0.8829589,-0.0063213087,-0.6894165,0.015537054,-0.9999457,0.024892831,-0.99950135,-0.019929847,-0.7108492,-0.0037821464,-0.9999671,-0.013423463,-0.9970791,0.003248831,-0.47409517,0.003434257,-0.9999669,-0.0070629288,0.6331139,-0.007825214,0.0067353197,0.007377625,-0.011613005,0.0013201599
-0.9917459,0.002705709,-0.9998571,-0.00068277854,-0.87133825,0.0041899807,-0.6613853,-0.008690258,-0.9998505,-0.003769324,-0.9994121,0.00841597,-0.6902252,0.023296481,-0.9999136,0.0061555547,-0.9971898,-0.0037437335,-0.39504635,-0.01550393,-0.9998987,0.010327255,0.7837284,-0.0016268776,-0.0047545223,-0.004444689,0.00887027,-0.0054282537
