FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.86372083,-2.532867e-05,-0.9981469,-9.477802e-05,-0.98258656,-3.5541976e-05,-0.6842469,1.2059238e-05,-0.9891642,-4.417813e-05,-0.4786693,-2.357758e-05,-0.6598592,1.2520977e-05,-0.9974309,-4.3593755e-05,-0.9693341,3.13388e-05,-0.93391526,-5.7588564e-05,-0.9974382,3.142917e-05,-0.98343754,9.3063645e-06,-1.1333614e-05,0.00010738592,-2.2089553e-06,-6.103527e-05
-0.70196044,-5.7274985e-05,-0.99861735,-0.00022147375,-0.9985918,-7.042597e-05,-0.6415621,2.2479486e-05,-0.9728458,-0.00011143068,0.85207015,-4.8887814e-05,-0.57827455,2.3924877e-05,-0.9944635,-0.00011120719,-0.9926128,7.600305e-05,-0.9688331,-0.000110403984,-0.9985531,7.155401e-05,-0.9968281,2.0839463e-05,-2.7571106e-05,0.0002651033,-5.310161e-06,-0.00014243321
-0.9436581,-7.190691e-05,-0.9997679,-0.00032344612,-0.99695903,-9.134394e-05,-0.74184513,2.9341369e-05,-0.9966215,-0.00011974873,-0.8870121,-5.5240016e-05,-0.7490853,3.4197976e-05,-0.99946237,-0.00016671076,-0.9968334,0.00011842826,-0.92395246,-0.00011503376,-0.9995166,9.079705e-05,-0.8832375,2.8616618e-05,-3.7665726e-05,0.0003788471,-6.5298227e-06,-0.00016168907
-0.9713025,-0.0001282417,-0.99979293,-0.0005785992,-0.9958689,-0.00017249913,-0.79373,6.086767e-05,-0.9993695,-0.00023575252,-0.96266776,-0.00010417237,-0.8070907,5.8903956e-05,-0.9995976,-0.000291479,-0.9972265,0.00019532256,-0.9617566,-0.00023068296,-0.99969643,0.00018210214,-0.9900247,5.13376e-05,-6.887749e-05,0.00065305724,-1.1439235e-05,-0.00031025667
-0.8001466,0.00016515149,-0.96413475,0.0007303159,-0.946545,0.00021224118,-0.52208793,-7.460885e-05,-0.87920773,0.00029697607,-0.7433562,0.00012675987,-0.5391416,-7.155554e-05,-0.9603297,0.0003733654,-0.9668451,-0.0002518011,-0.5558309,0.00028340833,-0.90869576,-0.00022924246,0.021634242,-6.52257e-05,9.135169e-05,-0.00084804214,1.4276873e-05,0.00040474994
-0.9115595,8.475481e-05,-0.9847412,0.00036587738,-0.7956585,0.0001105986,-0.67463756,-4.4745007e-05,-0.9870428,0.0001582779,-0.9701434,6.610887e-05,-0.67421466,-4.0772167e-05,-0.9893557,0.00020142214,-0.9261216,-0.00012556718,-0.42589077,0.0001479275,-0.9671832,-0.00012601005,0.58481264,-3.3335178e-05,4.6087123e-05,-0.00043183353,7.1066643e-06,0.00020774035
-0.9588979,6.1614555e-06,-0.9977274,4.1248277e-05,-0.98215455,7.203431e-06,-0.71325415,-7.329407e-06,-0.9948485,1.7040904e-05,-0.9814343,2.7267233e-06,-0.7456527,-7.399518e-06,-0.9959223,2.5308982e-05,-0.99033505,-9.481999e-06,-0.70244753,7.773546e-06,-0.9902207,-1.7253915e-05,-0.017921824,-3.2793396e-06,3.7925638e-06,-2.9845745e-05,4.8452785e-07,1.1645316e-05
-0.9368294,8.25632e-07,-0.9967958,2.0722859e-05,-0.99145526,4.24101e-06,-0.7113208,-6.7363e-07,-0.9905246,1.1903758e-06,-0.8880049,2.5556656e-06,-0.7187731,3.0008596e-06,-0.99614376,2.9769726e-06,-0.9931539,-5.28316e-06,-0.87781173,1.0597287e-06,-0.9967793,6.809423e-06,-0.8386494,5.1209645e-07,2.1208252e-06,-2.0210864e-06,4.321737e-08,5.6129065e-06
-0.89845693,0.00010051708,-0.97341776,0.00048311448,-0.9832741,0.00014513364,-0.53990775,-5.269797e-05,-0.90457517,0.00020912357,-0.77897036,8.886527e-05,-0.5921309,-4.6993293e-05,-0.9182484,0.00024999684,-0.9934456,-0.00016259651,-0.5526414,0.00018010476,-0.90098864,-0.00014211368,0.50915015,-4.284126e-05,5.9178208e-05,-0.0005624458,1.01236765e-05,0.00026453388
-0.9866183,-8.367786e-05,-0.9998533,-0.00041709616,-0.9611254,-0.00012036966,-0.8153736,3.9730956e-05,-0.9996291,-0.00017740307,-0.9973655,-7.586942e-05,-0.79028803,3.9912367e-05,-0.9998249,-0.000198795,-0.9930299,0.00013446639,-0.7001047,-0.00014524156,-0.99960357,0.000113422924,-0.24349315,3.539391e-05,-4.6564324e-05,0.00045171622,-8.354302e-06,-0.00021018408
