FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.96947235,0.0061510727,-2.5300295,0.0163517,-0.8661494,0.0007139407,-0.74797606,0.0072518047,-2.361515,-0.01005213,-1.1343749,0.004839197,-0.76929617,0.027151272,-2.5371895,0.00352066,-1.0512694,0.0006188899,-0.82791436,-0.04132308,-2.2185984,-0.012312092,-0.75915694,-0.003285557,-0.031064995,-0.005334206,0.01122164,-0.011423506
-1.0062635,0.026079766,-2.3622603,0.019144498,-1.0122353,0.00393901,-0.790782,-0.014069412,-2.5177078,-0.019649506,-1.1050068,-0.007235855,-0.7418967,0.0027104095,-2.3124788,0.015845284,-1.2598441,-0.022142097,-0.8033022,0.022313401,-2.2996511,0.018236611,-0.85745966,-0.009062275,-0.026765816,-0.018791318,0.0010173917,-0.03125883
-1.0654564,0.016020723,-2.6047616,0.009313911,-0.9173506,0.01169211,-0.7391753,-0.0019195676,-2.3291585,-0.0012858063,-1.1357198,-0.01255291,-0.74612546,-0.005918145,-2.5404193,0.007952578,-1.219633,-0.011137545,-0.72879016,0.00047260523,-2.1023026,0.01889762,-0.21076325,-0.010548621,-0.003241904,-0.0012253225,0.0075695887,-0.009337798
-1.0991381,0.017453752,-2.544891,-0.011621222,-0.9384027,0.004685413,-0.7494309,-0.021593183,-2.3489063,-0.0013241768,-1.1995027,-0.004703194,-0.730244,-0.007279113,-2.521546,0.011835337,-1.3219175,-0.0030726492,-0.6602845,0.00011488795,-2.0227964,0.010524828,-0.020137899,-0.009996489,-0.021719009,-0.0028651878,0.004721351,-0.012282334
-1.1278437,0.015221231,-2.5182705,-0.022759609,-0.91619027,0.000491865,-0.7436923,-0.028553355,-2.331465,8.717179e-05,-1.2651924,3.2048672e-05,-0.7156508,-0.010418907,-2.5184762,0.015952647,-1.3724128,0.0023511946,-0.5861701,-0.0017086416,-1.8999326,0.0065313093,0.22758129,-0.007607579,-0.025630638,0.00019367784,0.005372748,-0.011603825
-1.1576927,0.0062313303,-2.6155329,-0.010588951,-0.8268455,0.004673969,-0.70135725,-0.005797483,-2.223306,0.0049939826,-1.3147404,-0.0042662546,-0.70913184,-0.018507048,-2.5882878,0.017841801,-1.3233521,-0.00054032356,-0.5178272,-0.0065590665,-1.7144705,0.014726233,0.6104969,-0.0039880574,0.005604759,0.015450064,0.014982805,-0.0022048652
-1.1667784,0.0060727224,-2.5651796,-0.016105168,-0.85842466,0.00043949112,-0.71240294,-0.011559915,-2.2733166,0.0035987198,-1.3341266,-0.0026286207,-0.70454353,-0.012991235,-2.556063,0.010056049,-1.3646802,0.0029055849,-0.5145004,-0.0034062266,-1.7216144,0.006600756,0.54778194,-0.004157558,-0.0016505346,0.011398822,0.008378103,-0.00035734475
-1.1540226,0.0030107275,-2.5779412,-0.0029183328,-0.8161749,0.0027016066,-0.7002207,0.0041568037,-2.2590032,0.003892906,-1.3327733,-0.008855008,-0.7053702,-0.011043653,-2.549512,0.0056995824,-1.295525,0.00070313364,-0.5262362,-0.0026201904,-1.6988496,0.0085630305,0.5002217,-0.001743406,0.015129633,0.014358163,0.008826867,0.0069892183
-1.1607432,0.0028185323,-2.5171356,-0.010057963,-0.82167697,-0.0018783994,-0.70815253,-0.002516348,-2.2930818,0.0029273778,-1.3667278,-0.006493274,-0.6966344,-0.0076899827,-2.5107353,0.0030489564,-1.3275243,0.005396113,-0.5029571,-0.0008355528,-1.668473,0.0013240762,0.49860653,-0.00025872886,0.0076796934,0.011419028,0.004061103,0.008352853
-1.1622088,-0.012330048,-2.5525203,0.0021427795,-0.774239,-5.3096563e-05,-0.6789988,0.015432991,-2.2493272,0.0069745705,-1.3864647,-0.00011696294,-0.70292085,-0.0086466,-2.536356,-0.0025383458,-1.2905855,0.00056701154,-0.46691316,-0.0044254363,-1.5703528,0.0041960254,0.66942114,0.00224635,0.025430448,0.016928583,0.007166147,0.006668575
-1.1632062,-0.03810858,-2.4690163,0.004917741,-0.83342636,-0.0116818845,-0.6762816,0.01928914,-2.316419,0.008916542,-1.4176415,0.022360362,-0.7151531,0.0013121814,-2.497634,-0.025589406,-1.3595473,-0.0034814626,-0.42518246,0.002271533,-1.5293182,-0.008104943,0.6735532,0.0060653538,0.021685667,0.0055752546,-0.004690677,-0.007542439
-1.1591996,-0.027958594,-2.5136945,0.017379925,-0.7508462,-0.006310083,-0.66629213,0.03206365,-2.2517276,0.011768177,-1.4134903,-0.0010689273,-0.69964665,-0.007154584,-2.5008304,-0.01581639,-1.2601997,-0.0040013194,-0.42849737,0.010363489,-1.479556,0.00372513,0.7169609,0.009544641,0.045406587,0.009013236,-0.0006084591,0.008733533
-1.1425625,-0.01036346,-2.4994962,0.006018199,-0.70586735,-0.0011562221,-0.6766159,0.02075275,-2.2448578,0.0058759004,-1.4147369,-0.0063163564,-0.6913242,-0.0076316223,-2.4841762,0.002058059,-1.2257838,0.004180908,-0.4525892,-0.0035681576,-1.513821,0.0030215234,0.6297045,0.007479191,0.032014765,0.017615769,0.006852314,0.014238887
-1.1143017,-0.0011228994,-2.373411,-0.0050908476,-0.7592011,-0.0069719907,-0.7154962,0.0016286559,-2.3516169,0.0005829483,-1.3978453,-0.0059615374,-0.68786675,0.0015632212,-2.3885813,-3.093481e-05,-1.25386,0.010196857,-0.49936777,0.0023013502,-1.6397626,-0.0077247582,0.27497375,0.0069661736,0.0064249337,0.0039954856,-0.0038718805,0.011784874
-1.0853372,-0.0014904067,-2.3448224,0.0028716251,-0.7486299,-0.0062472913,-0.7195718,0.0074654575,-2.376605,-0.0007740706,-1.3744488,-0.008516077,-0.6926207,0.006013803,-2.3533967,-0.0033318996,-1.2020557,0.008752525,-0.53574586,0.0041750073,-1.6903118,-0.008296009,0.08283054,0.008102715,0.009195834,0.0004800409,-0.006520197,0.012931876
-1.0633489,-0.000610359,-2.2906492,0.0038824007,-0.75308317,-0.007887736,-0.7305416,0.0057351217,-2.417817,-0.00261797,-1.3642316,-0.008552298,-0.693555,0.010933489,-2.3065646,-0.0059577674,-1.1839371,0.009832665,-0.5597315,0.0064724237,-1.7364972,-0.012056291,-0.09299282,0.009015575,0.003959425,-0.004924439,-0.010953784,0.012502484
-1.0408995,-0.0025009587,-2.2895508,0.014017321,-0.7254755,-0.0058619976,-0.72558403,0.01570345,-2.415457,-0.0028095543,-1.3474305,-0.011734232,-0.6978203,0.012856014,-2.2920191,-0.0077098534,-1.123489,0.0074080154,-0.5826857,0.006909758,-1.752284,-0.009987563,-0.19556567,0.010559507,0.012722388,-0.005009912,-0.010811344,0.014710657
-1.0156113,-0.004123457,-2.277533,0.023077294,-0.69763094,-0.004313808,-0.72265494,0.024102233,-2.417947,-0.0032179356,-1.331442,-0.014240615,-0.7015958,0.015047476,-2.269814,-0.0087509975,-1.0640659,0.0054819956,-0.6051538,0.007399872,-1.770798,-0.008501556,-0.31137618,0.0123227015,0.01937677,-0.0059818476,-0.011089131,0.01613935
-0.92834723,-0.0050072894,-2.1498194,0.012158059,-0.33468068,-0.023031235,-0.7656294,0.009759225,-2.6047778,-0.013811216,-1.5738887,0.0034769028,-0.70875406,0.030771181,-2.2407405,0.003365919,-0.7292694,0.0070521683,-0.556809,-0.029840924,-1.7070638,-0.031058285,-0.59904766,0.021380834,-0.021169305,-0.013620131,0.0046468973,0.0039934367
-0.85631305,-0.0021006092,-2.162529,0.009658143,-0.03755895,-0.020733498,-0.7659366,0.0057995114,-2.6004915,-0.013512701,-1.598561,0.0030571297,-0.7028689,0.029539794,-2.2511268,-0.0003479421,-0.43806,0.0063368455,-0.53151,-0.02460067,-1.6777221,-0.028596617,-0.56225616,0.016186595,-0.022694752,-0.013188481,0.0012757108,0.003280513
-0.73505694,-0.00051576644,-2.1268315,0.037990987,0.26137403,-0.011458864,-0.74154234,0.027011339,-2.5584242,-0.022277787,-1.5804952,-0.0018513426,-0.69450116,0.022761814,-2.159425,0.0043962225,-0.07253279,-0.011037201,-0.5463496,-0.003208086,-1.6736931,-0.008112144,-0.76093835,0.013344772,0.005036384,-0.0046468377,0.004268728,-0.0036086142
-0.650896,0.010544367,-2.0012705,0.009439111,0.48381227,-0.014945187,-0.7660147,-0.0053176023,-2.5995169,-0.024300098,-1.5902418,0.0026655532,-0.671137,0.024614736,-2.07337,-0.00021485239,0.13148393,-0.00074239075,-0.52289766,0.0073400587,-1.7002727,-0.017639633,-0.88117456,0.0069630444,-0.024374612,-0.012316719,-0.01016213,-0.005484067
-0.6036766,0.007886849,-1.8999913,-0.0006008446,0.4970262,-0.012031905,-0.76044476,-0.013085131,-2.5761518,-0.015028417,-1.5304931,0.0034915283,-0.65899765,0.017175004,-1.9745535,-0.0010954216,0.17574543,0.002074957,-0.5326812,0.009616271,-1.7303413,-0.014989857,-1.0139993,0.0031286776,-0.02680295,-0.01340121,-0.011469021,-0.00667987
-0.5257154,0.0045905635,-1.8256598,-0.0008869022,0.6249541,-0.0052330084,-0.73929906,-0.008264717,-2.5052543,-0.005820602,-1.4501078,-0.0005894825,-0.6439897,0.0063902363,-1.878441,-3.3184886e-05,0.34993184,0.0014129132,-0.5389166,0.010855317,-1.7218071,-0.005697567,-1.1062318,0.0011140853,-0.012902722,-0.008100525,-0.008000337,-0.0035274997
-0.42514446,0.00034043938,-1.6876509,-0.024288997,0.8020484,-0.003183946,-0.73322177,-0.021981612,-2.4521184,0.0077574253,-1.396465,0.0018807836,-0.6287612,-0.009022668,-1.752833,0.00089269876,0.5447595,0.009222053,-0.50779366,0.013773784,-1.7094471,0.00056378916,-1.1649312,-0.005289316,-0.011549808,-0.0020859465,-0.008962475,-0.0024610981
-0.28349987,-0.003370501,-1.5397894,-0.025751323,1.0044633,0.0053690076,-0.7085831,-0.014631327,-2.3699327,0.015875757,-1.2684869,-0.00033505633,-0.6161549,-0.02151081,-1.5793792,0.0052545145,0.8208045,0.011058882,-0.5253897,0.011904314,-1.7153305,0.0118153505,-1.3991868,-0.0029608607,0.0066386387,0.00567466,-0.00425297,0.000117883086
-0.30653113,0.0023535416,-1.5594784,-0.03851804,1.0009953,0.005054407,-0.71637726,-0.023475852,-2.3726892,0.0098134205,-1.2825015,-0.0006387383,-0.60914004,-0.01771243,-1.6056981,0.002386123,0.77296233,0.016347297,-0.5035527,0.012907028,-1.6919504,0.006485734,-1.2654246,-0.005370319,0.0034739748,0.012252115,-0.011701435,0.010957301
-0.34803703,-0.00041595846,-1.58355,-0.013577007,0.83820635,0.008374419,-0.69746494,-0.0061937757,-2.361606,0.008922599,-1.2208035,-0.0045676827,-0.59921473,-0.010886103,-1.601161,-0.0059584156,0.66491425,0.006193444,-0.56654394,0.014013186,-1.7422154,0.005206626,-1.398472,-0.005990699,0.010051437,0.00801035,-0.00811325,0.008049749
-0.4228982,-0.00088558346,-1.6129026,-0.010893099,0.5701316,0.008695185,-0.69737434,-0.0039733015,-2.355946,0.009245999,-1.1785086,-0.005180523,-0.6045036,-0.01257211,-1.621751,-0.0010106862,0.39802012,0.00354255,-0.5938385,0.008898228,-1.7843481,0.006813761,-1.3727314,-0.004157722,0.010882989,0.008530371,-0.0024120212,0.0068501085
-0.4696477,-0.002177611,-1.4814025,-0.02092094,0.20016536,0.004691623,-0.7167498,-0.016728092,-2.4221067,0.011086293,-1.1128433,-0.00079374015,-0.60437495,-0.007572517,-1.514901,-0.0033838004,0.06162393,0.008576989,-0.6557232,0.008520633,-1.916405,-0.002800569,-1.6784433,-0.0035823882,-0.0072878227,-0.0014437735,-0.008356035,0.003691785
-0.49853203,-0.010284215,-1.4937987,-0.0011116117,0.0063587055,0.011018619,-0.69282806,0.006781731,-2.3732536,0.015665151,-1.0255554,-0.006616816,-0.6087361,-0.010797352,-1.4876366,-0.0019816235,-0.077989504,0.0014335737,-0.70535284,0.0024208128,-1.9420902,0.0054003224,-1.7578785,-0.0003528595,0.016962163,0.004544191,0.00049784034,0.008413665
-0.537149,-0.0111697465,-1.4264387,-0.00983537,-0.23387441,0.010282911,-0.69533587,-0.0009063706,-2.375226,0.01783152,-0.969759,-0.0038047582,-0.6029177,-0.011182979,-1.4299175,-0.0011998639,-0.3098448,0.0049589872,-0.7306663,0.00031115115,-1.9952774,0.0014511682,-1.8445517,-0.00041106343,0.009224348,0.0031569228,-0.00077964365,0.00820329
-0.5653888,-0.011636943,-1.3606795,-0.016616188,-0.44215596,0.009764031,-0.6984557,-0.007020194,-2.3791158,0.01913935,-0.91204435,-0.0016088039,-0.5978183,-0.010927938,-1.3713717,-0.00045239925,-0.50540876,0.007906988,-0.7584139,-0.0016127527,-2.0503829,-0.002038058,-1.9475548,-0.0001668334,0.0026892945,0.0017885938,-0.0020527616,0.008212633
-0.59429854,-0.013981417,-1.2965839,-0.019889101,-0.6659888,0.010712035,-0.691929,-0.0067969747,-2.3543427,0.020701192,-0.8352371,-0.00051020086,-0.5909949,-0.011662193,-1.3056754,0.0013483912,-0.7114384,0.010668308,-0.7863771,-0.005616933,-2.0865188,-0.0039087944,-2.0254903,0.0018016547,0.004067369,0.004377082,-0.0012845024,0.011189379
-0.5924054,-0.013624437,-1.3667532,0.0047404096,-0.7029394,0.012814105,-0.681399,0.018374074,-2.3003404,0.014869131,-0.70663565,-0.0074908286,-0.5956073,-0.012817942,-1.3311313,0.0070542395,-0.6965779,-0.0005426407,-0.83614963,-0.014626235,-2.1306033,0.0056244656,-2.0410144,0.0076799244,0.027236037,0.012454152,0.014077008,0.012209244
-0.54566205,-0.012431107,-1.3545758,0.0018733665,-0.7314133,0.011179619,-0.7008245,0.011497861,-2.2468266,0.01021646,-0.37203768,-0.0019265264,-0.5724525,-0.003523551,-1.307471,-0.01021263,-0.67448807,-0.003629893,-0.9122115,-0.010084301,-2.3305984,0.00081800297,-2.0587692,-0.0060867667,0.017250113,0.013621151,0.0043581426,0.010648392
