FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.9624076,-0.0061441213,-2.605107,0.032100752,-0.9923745,0.029049892,-0.74212396,-0.022882588,-2.4010227,-0.034853585,-1.3311508,0.01416079,-0.7809888,0.030263275,-2.440381,-0.059486095,-1.0826062,0.0044385567,-0.92437214,-0.020991042,-2.442221,-0.013429344,-0.7833231,0.017895492,-0.02256161,0.011150554,-0.00413201,-0.023905434
-1.0741644,0.04247096,-2.5413194,-0.038466066,-1.1076035,0.025156695,-0.7310003,-0.018787779,-2.2458756,-0.04761871,-1.3132536,-0.027578317,-0.70468944,0.03407231,-2.4564612,-0.012444366,-1.2628181,0.013055377,-0.88255936,0.023579635,-2.277305,0.02538886,-0.6055107,0.0022398029,0.020653814,0.026079036,-0.00085214525,-0.011357702
-1.0919087,0.016568184,-2.618753,0.0020838603,-1.0937436,0.02003945,-0.7811947,-0.022940017,-2.360579,-0.024089687,-1.3318275,0.0058307797,-0.73103094,0.020655721,-2.4703674,-0.011803485,-1.2701726,-0.0072599724,-0.8038483,-0.016262263,-2.3251207,0.013144039,-0.072230056,0.01619588,0.003124603,0.0064574927,-0.00557255,-0.01041276
-1.1024013,0.008764312,-2.5582144,0.0026978925,-1.0619329,0.016819227,-0.76194906,-0.016343586,-2.3824933,-0.0125137195,-1.3408796,0.0058216676,-0.7228777,0.020414054,-2.4307077,-0.0015105382,-1.297732,-0.00086466223,-0.7232961,-0.011863753,-2.213859,0.002633512,0.17168902,0.011724347,0.0014211396,-4.336238e-06,-0.0067967996,-0.0032495782
-1.0864862,-0.016582042,-2.4501154,0.0042339526,-0.940538,0.0065830974,-0.7344316,-0.028964989,-2.329943,-0.016136132,-1.2933638,-0.029289749,-0.7215109,0.031753298,-2.4493222,0.013903614,-1.2342573,0.0043056384,-0.60571337,-0.0061426163,-1.9717989,0.0017972067,0.7889445,0.026597956,0.013187219,-0.0077623054,0.01937534,-0.00834959
-1.1417781,0.0003823936,-2.478385,-0.015145622,-1.0529454,-0.0007043537,-0.7235464,0.0080001205,-2.4154341,0.011332937,-1.4116935,0.01323159,-0.7258125,0.0019759536,-2.3947208,-0.0037848204,-1.3887928,0.009962156,-0.54581463,-0.0008723065,-2.0000935,-0.0038959756,0.627253,-0.0135492515,0.007889234,0.0040915906,-0.01833152,0.014912784
-1.110027,0.0050347447,-2.4844897,0.0044876114,-1.0101537,0.006216877,-0.7253325,0.013930596,-2.4978213,0.016775228,-1.3869772,0.007480718,-0.7206231,-0.007557273,-2.3961744,0.016273547,-1.349027,0.0060621127,-0.54787177,0.014350288,-2.0308523,-0.0135228485,0.5860874,-0.014168723,-0.0067697456,-0.00048787892,-0.011364646,0.0042320937
-1.1195302,-0.009676427,-2.4664426,-0.0037453547,-1.0273548,0.0041109873,-0.71791315,0.016538873,-2.386709,0.011712454,-1.387542,-0.0053637996,-0.7213583,0.0071985126,-2.4200807,0.011605162,-1.367429,0.0013265312,-0.5403938,0.012891382,-1.9658588,-0.00019474328,0.51478386,-0.009504406,0.0058493735,0.009169571,-0.0012051538,0.0078847855
-1.071728,-0.0076106936,-2.4473085,0.017141096,-0.88767654,0.011325532,-0.7347319,-0.012219336,-2.3355694,-0.010607138,-1.2569579,-0.02002775,-0.69329715,0.0076244324,-2.467443,0.025867868,-1.2434195,-0.0012666062,-0.5454705,0.0021024942,-1.9044087,0.00014900416,0.8497721,0.011646377,-0.008172101,-0.009237811,0.0076094866,-0.0083317235
-1.0953376,-0.023448065,-2.4136472,0.013010632,-0.8902659,-0.0024009189,-0.7169324,0.0005596094,-2.3782842,0.015965909,-1.3016509,-0.0024726242,-0.71525854,-0.003451176,-2.444941,0.011613268,-1.30696,-0.0067083314,-0.4660567,-0.0059079677,-1.7812985,0.0017150417,0.9098339,-0.0007656235,-0.0029981798,-0.002826646,0.00760825,0.0020979121
-1.1061424,0.025738403,-2.4504673,-0.00090988725,-0.8000415,0.0013914304,-0.7172797,0.009972997,-2.4138181,-0.000726521,-1.3048905,0.015019424,-0.6819959,-0.017315097,-2.454639,-0.011146616,-1.2634059,0.007123694,-0.44668233,0.0031058416,-1.7358619,-0.0031021833,0.87694716,-0.016356463,-0.017083943,-0.0008613542,-0.016308017,-0.0019160211
-1.1602225,-0.003015101,-2.3879595,-0.020086788,-0.81045836,-0.0254337,-0.712397,0.0067626424,-2.4297717,0.0031665042,-1.3482003,0.027208574,-0.70236534,-0.04656461,-2.406194,-0.01708518,-1.3206521,0.0123817995,-0.3981652,-0.0048748553,-1.6087701,-0.0049567968,0.47644407,-0.02565649,-0.0096927015,-0.0051354803,-0.014643833,0.010318726
-1.105254,0.019325957,-2.4017498,0.00022514537,-0.7385455,-0.004059108,-0.7066376,0.002112303,-2.3438544,-0.0145232305,-1.2558271,0.00031282753,-0.6688334,-0.015161537,-2.466886,-0.003998164,-1.2386959,0.0052858815,-0.44443554,0.006784804,-1.5848659,-0.0013757423,0.63585347,-0.008465299,-0.010579704,-0.004917614,0.0014547333,-0.005702369
-1.1427982,-0.013536811,-2.3771734,-0.009391699,-0.72356147,-0.015160918,-0.69650996,0.0037723854,-2.3129303,-0.001297392,-1.3008639,-0.009705506,-0.70240486,-0.010225795,-2.4875424,-0.0049398392,-1.2701324,0.0005058348,-0.43508387,0.0015634298,-1.443087,0.010522507,0.19308989,-0.0048354175,0.0062206658,0.0031202808,0.012790166,0.0025083646
-1.144618,-0.009243265,-2.3714495,-0.010595474,-0.67032754,-0.014518651,-0.6873293,0.0062766746,-2.2738361,-0.0089478865,-1.2855511,-0.021342374,-0.6972061,-0.0031303912,-2.5183065,-0.004153244,-1.2460479,0.0015292391,-0.43915844,0.007811941,-1.3471466,0.013620533,-0.055755936,-0.0028733667,0.0062846886,0.00520654,0.020396613,-0.0022334382
-1.1426338,0.0007452965,-2.3945274,0.0062147602,-0.59938246,-0.007047219,-0.69898486,0.0031442419,-2.3137674,-0.007684849,-1.2604806,-0.012421317,-0.686353,-0.00934159,-2.529731,-0.002706211,-1.2270027,-0.0011657849,-0.46585768,0.0005413294,-1.3098303,0.008735493,-0.31798077,-0.0014863964,-0.012458901,-0.003315799,0.015264906,-0.009370215
-1.1414475,0.0048196316,-2.3943346,0.0076076053,-0.54264617,-0.008533418,-0.7005255,-0.00068676844,-2.3025804,-0.012250803,-1.2368349,-0.011243023,-0.6825117,-0.012367338,-2.547566,-0.007276673,-1.1966318,-0.0031815246,-0.4734729,-0.0030263439,-1.2421718,0.011303127,-0.48668253,0.0005898718,-0.0142435795,-0.004515402,0.017275065,-0.01270429
-1.1574475,0.020656675,-2.4378445,0.004948318,-0.50268215,-0.01133447,-0.71908414,-0.0036443248,-2.3457308,-0.010085009,-1.2253765,-0.0018727854,-0.6931452,-0.020497985,-2.5966513,-0.012780953,-1.1679457,-0.009343512,-0.50357157,-0.005982831,-1.2132442,0.01506193,-0.6864484,0.0005610604,-0.010794505,-0.0058392473,0.016058266,-0.016194321
-1.0402118,-0.025034651,-2.3993607,-0.006607387,-0.10900272,-0.0056738015,-0.705189,0.00793498,-2.4549894,0.028035738,-1.2625955,0.023132034,-0.7589583,0.004459493,-2.5678012,-0.009998616,-0.7474697,-0.014246352,-0.5344658,-0.004135534,-1.2720008,0.0042842925,-0.89314514,-0.008425353,-0.0008483967,0.0036499798,0.005805157,0.014074802
-0.9640583,-0.036305986,-2.2774382,-0.0037497394,0.19042107,0.00016730186,-0.71519053,-0.0003981702,-2.4562268,0.017311595,-1.314974,0.01072032,-0.7293427,0.006104663,-2.4491904,-0.008105505,-0.48978686,-0.008538209,-0.48245376,-0.0056204125,-1.1985037,0.0047379807,-0.86510646,-0.004628891,-0.008822574,-0.00030723214,0.00048668683,0.0136792585
-0.8521861,0.00739412,-2.2360835,0.011511203,0.5227632,0.017529007,-0.6672815,0.005080033,-2.4721203,0.0023586825,-1.3069073,-0.0077212974,-0.7052967,0.015859686,-2.4416192,0.0047810934,-0.18111178,0.0057211816,-0.46640378,0.005671419,-1.2349637,-0.002408877,-1.0767403,0.0019111428,-0.004319194,0.0033737868,0.0071254,-0.0074938163
-0.78349257,0.019127384,-2.2345862,0.028199255,0.6814606,0.029575225,-0.69775915,-0.0025579743,-2.511767,4.8033893e-05,-1.3411932,0.0032234564,-0.7033537,0.022655345,-2.41405,0.0022487082,0.0064054206,0.00065359473,-0.4855268,-0.010277338,-1.383821,-0.0006533414,-1.1048446,0.010164531,-0.016842406,-0.0010264479,0.011780493,-0.022438519
-0.6109867,-0.020519644,-1.9781902,-0.011342455,0.723702,-0.0034349943,-0.7386638,-0.0042289793,-2.432911,-0.011970811,-1.3555698,-8.53166e-05,-0.65410686,0.00013838708,-2.0286298,-0.0034105666,0.3250417,-0.007675387,-0.5597033,0.019892879,-1.5292429,-0.0030868873,-1.0857759,-0.010127036,-0.0046138195,0.0033454746,0.0039380565,0.011901893
-0.51501846,0.0021344274,-1.8870296,0.009921119,0.830379,0.007202289,-0.70700014,0.0016705133,-2.3352149,0.007869989,-1.3752247,0.008043446,-0.6308609,0.0025837496,-1.950252,-0.011193339,0.45167154,0.0032038689,-0.5211265,-0.0042545795,-1.5801417,-0.0013287812,-1.1023805,-0.003577577,-0.017021261,-0.0038695335,-5.19529e-05,-0.0017166212
-0.35449523,-0.0028942823,-1.7209183,-0.025211401,0.9612654,-0.01955491,-0.748924,0.0060511045,-2.4134855,-0.0018850863,-1.429308,-0.0145021975,-0.6231589,-0.026321933,-1.6829286,0.01924126,0.8751021,0.009142347,-0.5962744,0.033376947,-1.8109572,-0.009657003,-1.0534077,-0.019457685,0.008959834,-0.0069984384,-0.01732739,0.018989801
-0.3109513,0.024456322,-1.624204,-0.05187818,1.0264214,-0.019178364,-0.7730417,0.0031850673,-2.4975674,0.003030464,-1.4049548,0.0036993623,-0.6045296,-0.03533554,-1.5475817,0.025112223,0.9911422,0.013951547,-0.61560756,0.022962876,-1.9096056,0.0021153837,-1.2172213,-0.013853526,0.02516929,-0.00049895793,-0.03472341,0.016869731
-0.2897347,0.0062651187,-1.5839429,0.008119948,0.9238946,-0.0045121796,-0.7459196,-0.006932657,-2.4426672,0.0034338795,-1.4125824,-0.004592277,-0.608016,-0.008384049,-1.5159004,0.007556457,0.8586998,0.0029588416,-0.5991731,-0.0048093647,-1.9922211,-0.006965466,-1.1322417,-0.0027883798,-0.0014388962,-0.016184576,-0.015528761,0.009186484
-0.32213998,0.0013559759,-1.5514138,0.006948158,0.6376705,0.0061376924,-0.7537669,0.00090785325,-2.494232,0.0039874837,-1.3546809,0.0062161013,-0.611802,0.008252375,-1.4929671,0.013101723,0.59491193,-0.0027294084,-0.6397336,-0.001774855,-2.0792325,-0.0056723803,-1.3233316,0.0060009267,-0.00048069376,-0.0040427335,0.0048466995,-0.0044001564
-0.33171418,-0.008531898,-1.4819987,-0.00026693568,0.36115462,0.006612719,-0.7207879,0.006972857,-2.434336,0.0043139234,-1.3170817,0.0010513142,-0.5914241,0.0080529675,-1.4006791,0.011992915,0.3696403,0.0021265969,-0.6573545,0.011369124,-2.1243029,-0.006659314,-1.2746093,-0.0038518626,-0.003491356,0.0013020113,0.0032077506,0.0036094934
-0.36879495,-0.018794417,-1.385312,-0.0066533647,0.048967235,-0.007659572,-0.72871006,0.0024638027,-2.4356306,0.006445825,-1.2544756,-0.005083896,-0.5960243,-0.006173514,-1.3204904,0.014840953,0.112710945,0.00045488775,-0.6964905,0.0077607706,-2.1407282,-0.0012528524,-1.5447884,-0.004637813,0.0003709318,-0.0029358044,-0.0014449283,0.010304414
-0.36239114,-0.011009797,-1.2923443,0.014476787,-0.15349671,-0.0035194922,-0.6996492,0.0035423525,-2.3333766,0.014135562,-1.2334787,0.000753589,-0.5764299,-0.0048091337,-1.2573848,-0.006713625,-0.1065694,0.002290018,-0.664636,-0.014366895,-2.1303232,0.0034156889,-1.6507325,-0.00048333965,-0.013856414,-0.0053415745,0.0056628734,-0.0035501644
-0.47383144,-0.023843974,-1.3381848,-0.023174599,-0.5226748,-0.022470582,-0.78470826,-8.5018575e-05,-2.6252925,-0.0046838,-1.1702626,-0.008303113,-0.63370204,-0.016905658,-1.2422242,0.021603782,-0.33563218,-0.015349574,-0.8202274,0.015340075,-2.3448038,0.008808523,-1.850598,-0.012057824,0.020123094,0.0033402592,0.0013083592,0.017576203
-0.42678592,0.008615375,-1.337205,0.026563548,-0.6133705,-0.002630162,-0.7316853,0.008104656,-2.4267423,0.0033789352,-1.1057744,0.016522057,-0.6022256,-0.03158299,-1.3094945,-0.015781738,-0.5098963,-0.0110241845,-0.7127923,-0.010065459,-2.3812451,0.0034588277,-1.8858782,-0.011273844,-0.017006781,-3.97861e-06,-0.0024019554,-0.011397816
-0.4716498,-0.023686498,-1.1451415,0.0035838038,-0.902685,0.0011181841,-0.7286148,0.009290338,-2.5198984,0.008983873,-1.1260833,-0.0019870996,-0.57408035,-0.013121851,-1.0541282,0.00744145,-0.7558591,-0.0064782724,-0.7496769,0.0025478452,-2.3294659,0.0071795434,-1.8876257,-0.0118105095,-0.020192549,-0.0014246516,-0.004781328,0.004263878
-0.47904637,-0.029007763,-1.0783571,-0.00044368207,-0.959477,0.0033466127,-0.7111187,0.01018481,-2.481416,0.012794517,-1.0091721,0.0005195141,-0.5516082,-0.008346967,-0.99069697,0.0062704533,-0.82740027,0.00029350072,-0.74227965,0.0031282306,-2.2776399,0.002659753,-1.8756549,-0.011565795,-0.028546378,-0.0056381896,-0.0062970743,0.0074769557
-0.5079932,-0.010045782,-1.2022871,0.0018486008,-0.9072953,0.015954342,-0.7399765,0.0060557276,-2.4337664,0.005160205,-0.49577478,0.0033267885,-0.5537397,0.021718293,-1.1556611,0.0017509721,-0.78450996,-0.0052526966,-0.8823444,0.0030973852,-2.3888988,0.0108223185,-2.1099324,0.009999925,-0.009891964,0.004080251,0.008889042,0.0042217225
-0.5446054,0.01471974,-1.3263576,-0.011789642,-0.9177769,0.006412509,-0.7071663,-0.013709657,-2.4122589,-0.024675153,-0.19897258,-0.0142199695,-0.57015324,0.026494082,-1.2696686,0.0031061284,-0.7874749,0.014329344,-0.9919564,0.012122177,-2.431718,-0.011775963,-2.1419508,0.010449441,0.01993943,0.0061098784,0.012161739,-0.007236369
-0.53804576,0.013470963,-1.3538333,-0.0056908354,-0.9535852,0.0019849082,-0.7059437,-0.013008371,-2.2943883,-0.0130652115,0.03477475,-0.010471344,-0.5759649,0.020483933,-1.3409331,0.0038230084,-0.78163755,0.00843557,-1.0235579,0.0081444755,-2.4828055,-0.010638677,-2.2245011,0.012901509,0.022505775,-0.000893794,0.010634504,-0.0002208054
-0.5455525,0.020731986,-1.4588835,-0.001883395,-0.95642966,0.0016889824,-0.68908536,-0.015131868,-2.2245533,-0.01831583,0.15682602,-0.008188307,-0.58624077,0.023652911,-1.4338646,0.0017588101,-0.7616772,0.01809007,-1.0909847,0.00039312243,-2.5151126,-0.021012276,-2.2570584,0.010539027,0.01778397,-0.005799189,0.009936355,-0.007190205
-0.5407511,0.011940062,-1.5403376,0.006112151,-1.0594373,-0.008507421,-0.6990166,-0.0068774372,-1.9010441,0.014549993,0.52659285,-0.0016882345,-0.6008109,0.008904681,-1.6269531,-0.004157763,-0.78281146,-0.0070343986,-1.1194929,-0.0034548715,-2.602698,-0.002259761,-2.3588963,0.008747259,0.024892539,-0.010859493,0.009425886,0.0114378035
-0.49700204,0.010581791,-1.6630825,0.006922215,-1.0415366,-0.011399555,-0.6642952,-0.0006881431,-1.6357535,-0.004642494,0.82402575,-0.0045741946,-0.57265073,-0.010020785,-1.7531841,-0.0063875876,-0.6981427,0.002945155,-1.1608994,0.004437268,-2.6754413,-0.005991608,-2.292289,-0.006097583,-6.548129e-06,-0.009446714,0.006381817,0.004920341
