FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.5033805,0.0005810334,-1.5348577,0.00095325056,-0.7681315,0.00051606435,-0.60682386,0.0035977121,-1.5554247,-0.0010950156,-0.44102138,-0.0015368639,-0.5746925,-0.0031518117,-1.6229715,0.002514461,-0.58096594,8.510426e-06,-0.8835835,-0.0042503867,-1.9859931,-0.003507914,-1.7343447,-0.00037253555,-0.0016108239,0.0030195448,-0.0019279113,-0.0036422908
-0.7639602,-0.00070877897,-1.8807619,4.5663794e-05,-1.800818,-3.0294876e-05,-0.5231938,0.0012080206,-0.96179384,-0.00051017525,-0.39892796,-0.00509255,-0.5844927,0.0007529026,-1.9448652,0.0031413725,-1.5686817,-0.0009921528,-0.9354335,-0.007935885,-1.9348061,-0.006802568,-1.0421646,0.0024872785,0.00014314102,0.003470886,-0.008069883,-0.0028948812
-0.7951109,0.0013932702,-2.1135216,-0.00033891795,-1.1149604,-0.00055324927,-0.72600615,-0.0035177101,-2.344481,-0.0015178928,-0.7844024,0.002669732,-0.67677844,-0.0012520272,-2.110529,-0.0018106299,-1.0612584,-0.00127583,-0.94349647,0.0028934777,-2.6369128,0.0020412393,-1.3114427,0.00020564534,0.0007154653,-0.0020254115,0.00034271367,0.0031509306
-0.85981745,0.00093999086,-2.083423,3.6948943e-05,-0.9233982,0.00023974641,-0.63040674,0.0014329299,-1.8862188,-0.0015194518,-1.0797052,-0.0012796195,-0.63220173,0.0064138426,-2.0782995,0.0019025672,-1.0647142,0.00022185128,-0.70985943,-0.005182041,-1.7506713,-0.0050340462,-0.6514263,0.0025148643,0.0008835142,0.0027073221,0.0014841575,-0.0031273216
-1.0010538,-0.0007070903,-2.2992656,0.0007005903,-1.7316549,0.00043450575,-0.6130148,0.0007234985,-1.7150714,0.00040915748,-0.8727604,7.770676e-05,-0.6697673,3.40268e-05,-2.3962126,0.0010988209,-1.6664035,-0.0044150837,-0.79243547,-0.0032401122,-2.0638533,0.00096983835,-0.49023214,0.0009200601,-0.00092237163,0.001820236,0.0024673725,-0.0042472454
-0.92704165,-0.0004253273,-1.9970982,-0.00021259428,-1.5788642,-0.001051426,-0.58252794,-0.0008758041,-1.5083482,0.0022048885,-0.70441365,-0.003488306,-0.6007682,-0.0017534792,-2.0052238,0.003437249,-1.575316,0.0058709593,-0.6734279,-0.0038748868,-1.6656414,-0.0027826633,-0.4802901,0.0035641268,0.0011094951,-0.0011384506,-0.008837363,-0.008916194
-0.6264599,5.4926088e-05,-1.5358634,0.0005150984,-1.0029519,0.000358921,-0.4917549,0.001040503,-0.9953341,0.0029620328,-0.675252,-0.0059209755,-0.46601203,0.012659543,-1.402283,0.007571485,-0.9964428,0.004469646,-0.48995823,-0.01586736,-1.0667107,-0.01666776,-0.17146224,0.006343207,0.00086917717,0.0075508114,-0.0061828643,-0.0033613015
-0.67258257,0.00019839621,-1.6311765,0.0011799901,-0.82388717,0.0015113502,-0.52666664,-0.00064272666,-1.3687408,0.00021516345,-0.755918,-0.0043460983,-0.52479976,0.0003248658,-1.7523768,0.006283777,-0.8480407,0.0048768558,-0.5344544,-0.009910116,-1.2577754,-0.008597493,-0.5884632,0.0075855614,-0.00044035236,0.0032533575,-0.0054230327,-0.010811269
-0.7782909,-0.0026855245,-1.7271619,-3.489788e-05,-0.78991777,-0.0003089219,-0.5555538,-0.0015101583,-1.4738247,0.0050939727,-0.9031518,-0.0056115263,-0.51761585,0.00034650508,-1.6884643,0.006384227,-1.0072564,0.009636227,-0.40705004,-0.007870819,-1.1475586,-0.008357646,0.08336073,0.006011391,0.0015382626,0.0015368788,-0.012825953,-0.008632909
-1.142561,-0.00063655956,-2.655488,-0.00019469822,-0.83456945,-0.00022330985,-0.7224171,0.00030673895,-2.4104362,0.0024545612,-1.3648224,0.0015576258,-0.7488981,0.003073819,-2.7192264,-0.0013869852,-1.2637608,-0.006197596,-0.6170872,-7.6182187e-07,-1.9173706,0.0015382767,0.05352798,-0.0028104624,-0.0017610649,0.0023121769,0.0067781387,0.0045875814
