FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.9328543,0.30908743,-2.9563675,0.1011572,-1.7993488,0.011372488,-0.5623985,0.028436402,-2.2824209,0.14292099,-0.51683366,-0.049629055,-0.75368,0.04343482,-2.829469,0.18432447,-1.4666026,0.025274143,-1.6293939,-0.25822923,-3.1336336,0.15461712,-1.470217,-0.21722795,0.10877399,0.13393632,0.20121744,0.032801107
-1.0121604,0.15649462,-3.0359097,0.05789852,-2.0046349,-0.035068575,-0.7549619,-0.0025974344,-2.0611196,0.14000481,-0.31942368,-0.11892414,-0.664716,0.09092818,-2.7870147,0.016336516,-1.5904177,0.16873571,-1.4991056,-0.12751035,-3.3176665,0.085039526,-1.4770619,-0.18982574,0.050359614,0.18741137,0.2123582,-0.03201648
-1.0202702,0.16630667,-2.3636942,-0.031012595,-1.9461854,0.068494126,-0.5183194,0.06048143,-1.7013785,0.037966788,-0.6335815,-0.061110202,-0.79391986,0.037666097,-2.3986588,-0.033885404,-1.6275599,0.018515863,-1.1322485,-0.02496291,-2.2820103,0.053915504,-0.9049073,-0.07702841,0.013568759,0.022817846,0.09739799,0.015532434
-1.0673305,0.033991393,-2.3159897,0.021742411,-1.7497365,-0.0049476065,-0.54714835,0.077927426,-1.762781,0.020922886,-0.8524554,0.03745569,-0.68835056,0.012170027,-2.3481526,0.036521368,-1.5861638,-0.014419679,-1.042615,-0.06608361,-2.5038857,0.030565273,-0.28656828,-0.06571022,0.015738115,0.013491277,0.0114369765,0.08299418
-1.0826553,-0.037309084,-2.4183016,0.044532657,-1.4600737,-0.02404992,-0.5179489,0.097117044,-1.9906024,-0.0871972,-1.0165533,0.014469758,-0.7928718,-0.06216266,-2.4841242,-0.03255856,-1.4287721,0.010592319,-0.9227565,-0.051014557,-2.309453,-0.059420068,0.27153546,-0.006619642,-0.047641434,0.0036013164,0.0065162107,-0.033708915
-1.714007,-0.1869192,-3.1332102,0.054221764,-1.7561686,0.15387411,-1.2255818,-0.194595,-2.555178,0.04859571,-1.5328885,0.16356446,-0.76846087,-0.14874694,-3.0657034,-0.05261872,-1.9656049,-0.031129375,-1.3556539,-0.004307069,-2.7182777,-0.06659551,0.44151884,0.12044911,0.023083784,-0.20089924,-0.10274902,0.09762463
-1.0874597,-0.05150162,-2.5594845,0.06709078,-1.5569355,-0.0691974,-0.4489149,0.10675008,-2.1068752,-0.1361614,-1.1958414,-0.011146177,-0.82832086,-0.060471304,-2.5437946,-0.05809428,-1.4620429,0.030909859,-0.8031592,-0.07033109,-2.2122438,-0.09087129,0.46220434,-0.019305566,-0.11984338,0.03329182,0.01785507,-0.099562034
-1.1316901,-0.065083146,-2.5752392,0.08568701,-1.7386801,-0.06596136,-0.5037947,0.10754699,-2.0901725,-0.06851658,-1.1002389,0.026454564,-0.79290515,-0.0373962,-2.4851043,0.016622975,-1.5700123,0.008580111,-0.8131551,-0.0585495,-2.268938,-0.044773128,0.05345349,-0.033747874,-0.063656494,0.030149106,-0.03737758,-0.0006939694
-1.0565485,-0.0651461,-2.7229602,0.05987017,-1.7637913,-0.02745239,-0.49960816,0.076644436,-2.1169446,-0.110676095,-1.2349329,0.007766675,-0.8673793,-0.058089793,-2.587616,-0.053338498,-1.575825,-0.0116712,-0.71115816,-0.06421688,-2.0544536,-0.050564054,-0.14362039,-0.016214423,-0.113472626,-0.0027921088,-0.00024493784,-0.056653976
-1.4255337,-0.13839236,-2.7166266,0.11240353,-1.6402321,0.0641312,-0.9286477,-0.2134976,-2.381556,0.06719808,-1.1144232,0.19378562,-0.670655,-0.10031581,-2.6812959,0.102680795,-1.8825246,-0.13608302,-0.87459064,0.008771814,-2.4370294,-0.013095561,0.25034583,0.13545214,0.052588068,-0.18479013,-0.21168095,0.08969704
-0.83520055,-0.0700009,-2.2926562,0.032327592,-1.34371,-0.022351231,-0.55003643,-0.043300465,-1.9431791,-0.15590732,-1.127829,-0.0523193,-0.5894288,-0.100623325,-2.2491045,0.09255778,-1.4457215,0.049110606,-0.5706921,-0.08629571,-2.0378625,-0.023488749,0.54030293,-0.03809033,0.053820617,0.028269555,0.04931181,0.043327026
-1.0891528,-0.08597152,-2.7568436,0.12021676,-1.3336787,-0.023930471,-0.52856994,0.1220701,-2.3226798,-0.12369318,-1.3440711,0.052588638,-0.8717117,-0.069345,-2.6386948,-0.06962241,-1.4376463,-0.051362142,-0.53275824,-0.025853448,-1.7786269,-0.066408694,0.18246774,-0.016326645,-0.14478411,-0.006936606,-0.029025994,-0.10203548
-1.1162454,-0.14052583,-2.6480937,0.07169238,-1.3988669,-0.04557084,-0.5847645,0.09055209,-2.2403338,-0.09898715,-1.2003211,-0.0073232763,-0.85662276,-0.097553805,-2.5453482,-0.11380129,-1.4161543,-0.021493755,-0.49828503,-0.01785265,-1.678231,-0.09187482,-0.05162306,0.020900505,-0.10916427,-0.018169764,-0.06035032,-0.06597054
