FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.92281806,-0.0012014367,-0.9999994,-0.004476233,-0.981716,-0.00096945436,-0.5880331,-0.0049865814,-0.9999996,-0.0019092979,-0.99987644,0.0017767982,-0.5873432,-0.007922558,-0.99999905,-0.004511731,-0.9872871,-0.0007610077,-0.8797757,-0.0025215691,-0.99999994,0.0014259508,-0.99998266,-0.0061259354,-0.008406897,-0.0012743461,0.0039868676,0.0022817494
-0.9925514,-0.00061097316,-0.9999942,-0.00013744389,-0.99975234,0.0042924793,-0.60150844,0.0025039818,-0.9999935,0.00067967037,-0.9997174,-0.0012617331,-0.6571196,0.002762184,-0.9999994,-0.0002155389,-0.99995637,-0.008042106,-0.98236996,-0.0010313686,-0.9999996,-0.0011789261,-0.99925715,0.0013818559,-0.009563174,0.00075583794,0.0020512855,-0.0013338564
-0.8649086,-0.019741446,-0.9916693,0.0023459306,-0.9668474,0.009949849,-0.50407696,-0.00066247967,-0.9978884,-5.8730482e-05,-0.8797369,0.013294734,-0.52523965,-0.0013960025,-0.99697596,-0.0072970074,-0.99696356,-0.0043174317,-0.72697437,2.793735e-06,-0.98883986,-0.013839836,-0.94799656,0.0012766996,-0.00460288,0.0012999782,0.00475499,-0.010770619
-0.949802,-0.00096335605,-0.99999136,-0.006811374,-0.9880355,-0.0021584653,-0.6241154,-0.006216469,-0.99994516,-0.0013525445,-0.99487656,0.0004471106,-0.6297328,-0.0059386957,-0.999981,-0.002570363,-0.99728334,-0.0010144614,-0.8733831,-0.003295188,-0.9999034,0.0008897984,-0.9984661,-0.006586262,-0.010001339,-0.00031991093,0.0029304102,0.0035109303
-0.9946375,-0.0005939677,-0.99999905,-4.1270396e-05,-0.9984624,0.00088710454,-0.75884557,0.00044654505,-1.0,-0.0002472849,-0.99999106,-0.00094896933,-0.7433289,0.0011345097,-1.0,0.00028734165,-0.9978674,0.0013277001,-0.9037956,-0.0024625214,-0.9999997,0.0008365497,-0.9999288,-0.00042163333,-0.0006135329,-0.00050550466,0.0004797198,-0.0004333488
-0.44038698,0.0038258855,-0.99781203,-0.003639106,-0.4407483,0.0030404562,-0.4778393,-0.0036714661,-0.9992767,-0.0019381745,-0.9970065,0.0026629686,-0.43616912,-0.0067230295,-0.99912256,-0.003166596,-0.42968392,-0.010267983,-0.56205606,0.0002985492,-0.9993788,0.0021903734,-0.99700963,-0.004072384,-0.012660035,-0.0017943147,0.00221065,0.0026901218
-0.9941135,-0.0008125373,-1.0,0.0010046054,-0.9997369,0.0056843855,-0.63177717,0.003880471,-1.0,-0.0006160837,-0.99999964,-0.0013529337,-0.69760334,-0.0014476654,-1.0,-0.0019789468,-0.9999218,-0.004269017,-0.9838708,-0.00419653,-1.0,-9.306683e-05,-0.9999982,-0.002416104,-0.0063523813,-0.00061296666,0.0030724506,-0.0012305515
-0.9976502,-0.0021138182,-1.0,-0.00040386265,-0.9999762,0.0008976038,-0.68949014,0.0023580783,-1.0,0.0015687416,-0.9999374,-0.0024557833,-0.75578564,0.0025556372,-1.0,-4.5479508e-05,-0.9999973,-0.00029538758,-0.99280983,-0.0049942764,-1.0,-0.0018458635,-0.99998045,0.0010699313,-0.003924646,0.0017362226,0.002562254,-0.0010360264
-0.9816496,-0.0007479013,-0.9999577,-0.0031185022,-0.9991612,0.0008566764,-0.63198674,-0.00073483435,-0.9999987,-0.00029710087,-0.99984294,-0.0017343941,-0.6224149,-0.0012257755,-0.9999927,-0.00018425263,-0.9998712,-0.0045616645,-0.9653412,-0.0026508349,-0.9999937,0.00049793586,-0.99976665,-0.0013989988,-0.008573672,0.00017347635,0.0018158813,0.002379316
-0.9698889,-0.0041663093,-0.99999994,-0.0021409576,-0.9919167,-0.007844128,-0.83008724,-0.004106499,-1.0,0.00019371731,-0.9999999,0.0041942573,-0.8452963,8.5215084e-05,-1.0,-0.0020810605,-0.99393046,0.008041345,-0.98944527,-0.003653441,-1.0,1.9914354e-05,-0.9999915,-0.0022622228,0.0046463907,-0.0004693913,0.001265523,-0.0005483515
