FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.8949581,-0.01375882,-0.99999756,-0.015427919,-0.8850834,0.005547392,-0.70170635,-0.011511428,-0.9999988,-0.008665352,-0.98641,0.010869574,-0.7172739,0.036274813,-0.9999986,-0.009843296,-0.9857651,0.018356757,-0.89012337,0.013265025,-0.9999968,0.024849372,-0.88457966,-0.019145325,0.0022230037,0.02766281,0.012780183,0.004548064
-0.9388762,-0.023614144,-0.9999988,-0.016845006,-0.9714868,-0.0056549455,-0.7069396,-0.013038776,-0.9999992,9.637326e-05,-0.98804224,-0.00070966023,-0.72462,0.026735207,-0.99999946,-0.002507141,-0.98688865,0.041127604,-0.93503565,0.0062925727,-0.99999845,0.04456794,-0.9689411,-0.033378445,-0.0045422413,0.030295776,0.004589626,-0.007696961
-0.8770071,-0.010044192,-0.9999955,-0.030086022,-0.35029325,-0.011365579,-0.68816453,-0.013144913,-0.9999987,-0.0051040878,-0.9969432,-0.009741892,-0.691046,0.024620548,-0.9999976,0.001765551,-0.9965,0.029239252,-0.86902493,0.014430907,-0.9999937,0.021857155,-0.33902532,-0.009762886,-0.00782323,0.023821816,-0.009624337,-0.0014673834
-0.83210975,0.00273756,-0.99997777,-0.0121851275,0.31299028,-0.008480599,-0.6763631,0.0073789954,-0.99999523,0.00079273415,-0.99818426,0.0033211736,-0.6650338,0.018481206,-0.99998873,-0.0027222529,-0.99769807,-0.0008346213,-0.83535063,-0.0015118413,-0.9999695,0.019128365,0.30079642,-0.002954102,-0.010661988,-0.00088954694,0.0073560937,-0.0056755305
-0.73789656,0.0066193715,-0.9999454,-0.007279693,0.6638083,-0.015822237,-0.69623464,0.013056803,-0.9999901,0.0012742497,-0.9981227,-0.003814746,-0.69051874,0.011735154,-0.9999688,0.0015244957,-0.99756795,-0.0073840916,-0.74432707,0.00029177917,-0.99992025,0.022360912,0.63952565,-0.0009293255,-0.012146836,-0.010055836,0.0057781553,-0.010423678
-0.5646942,0.0017337335,-0.9997673,0.006668211,0.85419005,-0.0008527783,-0.7285995,0.011281518,-0.9999625,0.0045981007,-0.9979044,0.0016758129,-0.726231,0.004111401,-0.9998523,-0.0016098418,-0.99694675,-0.01204679,-0.584998,0.0042403974,-0.99963737,0.024418617,0.840009,-0.0056539173,-0.00010436773,-0.013451577,0.0030196032,-0.013315837
-0.5464444,-0.0019161231,-0.99996984,-0.010115265,0.95053077,-0.010924396,-0.7064426,-0.0049687065,-0.9999962,-0.0050002295,-0.9987612,-0.016588228,-0.70396584,0.0008706746,-0.9999742,0.0027710167,-0.99829507,-0.0027515967,-0.53476995,0.008823717,-0.9999506,-0.0023882417,0.9452084,0.0027064914,-0.0038979228,0.0147535745,-0.013795637,0.0009106619
-0.48355946,0.0011572684,-0.99959964,0.007922729,0.71330833,0.0071058716,-0.7434264,0.011054333,-0.9999119,0.00092913926,-0.9955449,0.005140781,-0.74214107,0.0055975476,-0.9997321,-0.0050082942,-0.993878,-0.008483474,-0.50777507,0.0028810864,-0.9993606,0.021083403,0.70162934,-0.006964243,0.0049124784,-0.0052915392,0.00031971931,-0.015583006
-0.43708974,-0.007144106,-0.9999586,-0.011939544,0.960214,-0.0096961055,-0.70798904,0.00028175116,-0.9999946,-0.014064912,-0.99833304,-0.012489247,-0.70689005,0.0023628876,-0.9999595,0.0008466577,-0.99768984,-0.0028241128,-0.40887946,-0.0034063032,-0.99993074,-0.003323483,0.9585562,0.002884857,-0.005644675,0.025471354,-0.02105166,-0.0038113485
-0.17716055,-0.008892987,-0.9988036,0.020670826,0.8576479,0.019180851,-0.76037186,0.003077244,-0.9997356,0.0016679376,-0.99343276,0.007929249,-0.7603361,-0.005233374,-0.9989953,-0.0026787864,-0.9897917,-0.0013293839,-0.20875491,0.011042712,-0.9980403,0.0065138163,0.86229473,-0.01820947,0.014066566,0.0047281105,-0.010076575,-0.00820777
