FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.89729923,4.435038e-05,-0.98612607,1.4606936e-05,-0.9828808,0.00025297015,-0.62750655,-0.0003860178,-0.98292536,9.42052e-05,-0.98528814,-0.0002222521,-0.60662824,3.8073194e-05,-0.9262202,9.601987e-06,-0.9699111,0.0003968122,-0.9313709,-4.245194e-05,-0.98536724,6.973097e-05,-0.9643915,0.00019492948,-0.0001249488,7.045054e-05,-6.6428445e-05,0.00015112926
-0.7860498,6.8364185e-05,-0.9877844,2.8084603e-05,-0.8608939,0.0004899082,-0.5466561,-0.00068187003,-0.97268504,0.0001672172,-0.8903843,-0.00038890218,-0.58808553,7.32613e-05,-0.9586716,2.8000431e-05,-0.8084957,0.00064070965,-0.749268,-7.911613e-05,-0.9810919,0.00013884937,-0.841881,0.00032584218,-0.00024141528,0.00012078558,-0.00010835631,0.00025713642
-0.7688618,2.88359e-05,-0.99037516,1.1105818e-05,-0.42010823,0.0001778861,-0.5792027,-0.0002887575,-0.9919001,6.9459114e-05,-0.96401083,-0.0001592784,-0.6189906,2.8602517e-05,-0.98381656,1.3259807e-05,-0.95742446,0.00029353227,-0.805344,-2.772687e-05,-0.99541414,5.1512994e-05,-0.50556123,0.00013828481,-7.441314e-05,4.509429e-05,-3.1475356e-05,9.030127e-05
-0.84242207,-3.3100412e-05,-0.99666286,-1.3991979e-05,-0.6035037,-0.0002579413,-0.6394218,0.00030568684,-0.9944058,-8.571992e-05,-0.9732735,0.00014750054,-0.6669121,-3.991119e-05,-0.9921459,-1.6406753e-05,-0.9905437,-0.0002894071,-0.827629,4.104404e-05,-0.9985453,-7.045371e-05,-0.5244386,-0.0001546701,0.0001255779,-5.0240138e-05,5.1320472e-05,-0.0001182775
-0.7667403,2.8498078e-05,-0.9871674,8.286821e-06,0.009522925,0.00021105318,-0.6631634,-0.00028883934,-0.995903,7.253961e-05,-0.9359278,-0.00017631194,-0.6308533,2.9857867e-05,-0.9818927,6.566581e-06,-0.9438957,0.00028639426,-0.58607507,-3.1492746e-05,-0.98638636,5.481168e-05,-0.017615136,0.00013618683,-9.079423e-05,5.025373e-05,-3.60384e-05,0.00010045018
-0.8764241,-7.991346e-05,-0.9994773,-2.7605194e-05,0.99222237,-0.0005269625,-0.9582666,0.0006797047,-0.9998471,-0.00018033432,-0.9942439,0.00036636842,-0.7987252,-7.475866e-05,-0.9998849,-2.5241861e-05,-0.9957005,-0.000635493,-0.7489229,8.3366336e-05,-0.99977607,-0.00014918981,0.99717134,-0.0003373247,0.00026289467,-0.000120108045,0.000107360305,-0.0002773262
-0.8534414,-1.8620936e-05,-0.9843396,-6.1069586e-06,0.93929464,-0.00016808615,-0.9269763,0.00021593133,-0.9986002,-6.3075684e-05,-0.9954323,7.201941e-05,-0.7704992,-1.8996507e-05,-0.99872524,-3.2365133e-06,-0.9966485,-0.00017467141,-0.53299415,2.8727649e-05,-0.99541056,-3.4171593e-05,0.9931418,-8.410681e-05,8.029281e-05,-3.2595475e-05,3.2302603e-05,-7.7341916e-05
-0.7923411,3.3765333e-05,-0.98475546,1.0700431e-05,0.2132177,0.00018555822,-0.6043604,-0.00032594253,-0.98160845,7.3831645e-05,-0.98944277,-0.0001762847,-0.6292429,2.4846944e-05,-0.986022,7.490162e-06,-0.9942931,0.00025776657,-0.7595813,-2.9621908e-05,-0.9973797,6.313439e-05,-0.17186046,0.00014890294,-9.4424584e-05,5.81246e-05,-3.3078308e-05,0.00012931472
-0.97207034,-0.0001769832,-0.9999816,-7.311788e-05,0.9571204,-0.0012466465,-0.95527637,0.0017775488,-0.99997985,-0.00044567158,-0.996665,0.0009812529,-0.8851502,-0.00019044045,-0.9999684,-7.235106e-05,-0.99923354,-0.001731387,-0.9263219,0.0001961944,-0.9999965,-0.0003602454,0.9277025,-0.000864706,0.000625974,-0.00028968108,0.00027894945,-0.00063513726
-0.6877145,3.85491e-05,-0.99340636,1.3791541e-05,-0.26534727,0.00025282276,-0.67382765,-0.00040731646,-0.99369043,9.504947e-05,-0.4080084,-0.00025255245,-0.6472642,4.0540705e-05,-0.984924,1.5830577e-05,-0.21184799,0.0004246237,-0.5661849,-4.832525e-05,-0.9922955,7.595145e-05,-0.11079839,0.00019179628,-0.00012059865,6.352627e-05,-6.3094165e-05,0.00014122785
