FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.0240914,0.085569724,-2.2460823,0.006458401,-1.0541527,-0.0446393,-0.65523297,0.00012785941,-2.5223598,-0.022166852,-1.2218287,0.020870551,-0.6466555,0.021406457,-2.4740107,0.0076025575,-1.1928223,0.017016757,-1.0455948,0.008620903,-2.259749,0.010936148,-1.012565,-0.033535644,-0.021090105,0.0010165237,0.039264664,0.021479286
-0.98142856,-0.02100724,-2.361232,0.009539649,-0.67523515,0.006426256,-0.6206815,-0.005618036,-2.4799616,-0.0032708496,-1.3989596,-0.0049586147,-0.6518771,-0.006205812,-2.4481492,-0.019478336,-1.4270806,0.006064918,-1.0811592,0.008311972,-2.4037626,-0.018683456,-0.6978229,-0.037906647,0.008250557,0.0016952716,0.015323773,-0.016075112
-0.9544802,0.06473398,-2.381048,-0.0012887125,-0.14578602,-0.005466737,-0.6674402,-0.012256391,-2.7044888,-0.014376387,-1.334593,0.004169598,-0.6807548,0.032027736,-2.6316466,0.015556321,-1.3790008,-0.006919045,-0.9908601,0.034745634,-2.4374793,-0.021876551,-0.19292481,-0.029205203,-0.045587666,0.012081262,0.036931954,-0.0204527
-0.82419837,0.02651903,-2.2962186,-0.0076579456,0.3211499,-0.0062788613,-0.677433,0.0053726733,-2.5835927,-0.012449104,-1.2846081,-0.0024376959,-0.68731594,0.021559656,-2.5177696,0.019693896,-1.3347837,-0.009066854,-0.8321092,0.015391186,-2.2859676,-0.008953907,0.29950434,0.0080836415,-0.028757669,0.01458713,0.012644708,-0.018790804
-0.6977456,0.03356588,-2.0862913,-0.010261089,0.65827566,-0.005871229,-0.68090826,0.008584589,-2.5495117,-0.016156457,-1.2328686,-0.0056568533,-0.6745666,0.01986894,-2.476539,0.035462826,-1.2938838,-0.004672114,-0.6844375,0.0077677816,-2.0638428,0.00048644096,0.64230126,0.017706096,-0.021459647,0.013596203,0.007640861,-0.022324659
-0.69618857,0.013098925,-2.1361294,-0.01696986,0.8718854,0.014202114,-0.76744366,0.0640345,-2.6653764,-0.008364577,-1.2405633,0.0021918118,-0.7525803,-0.012147903,-2.5598602,-0.013400331,-1.3561975,-0.014856089,-0.6471096,0.059608623,-2.0845413,-0.026446618,0.8225612,0.040036112,-0.031185098,-0.03366864,-0.05905573,0.016132958
-0.49619204,0.0063295513,-1.8332897,-0.010427967,1.113156,0.0075790696,-0.67149156,-0.004410103,-2.5105562,-0.004839804,-1.1484278,-0.014848277,-0.67712307,0.0012320131,-2.4189017,0.011151195,-1.2347956,-0.003497634,-0.50189817,-0.004734531,-1.8119419,-0.0055795237,1.1035951,-0.0026060045,-0.007822014,0.0025228225,-0.0032545328,-0.0129614845
-0.45976955,0.0027457774,-1.7001022,-0.0045866375,0.92271996,0.015940785,-0.667282,-8.367002e-06,-2.5165496,0.0020203367,-1.1471193,-0.021229133,-0.6561196,-0.0050591826,-2.3937545,0.0051596314,-1.2425075,0.0018035434,-0.48315004,-0.0003376603,-1.6907377,-0.013115786,0.912954,-0.006608784,-0.0023986474,-0.004220102,-0.009494159,-0.010844953
-0.3827711,-0.0015376359,-1.6024554,-0.0028517847,1.1413062,0.026631892,-0.6633069,-0.0028131157,-2.4974003,0.0010494553,-1.1407617,-0.020588532,-0.64999783,-0.00310494,-2.3748188,-0.008558691,-1.2604557,0.005266454,-0.40392557,0.0028195828,-1.5986688,-0.010154359,1.1277856,-0.015188009,-0.0017140284,-0.005372409,-0.021218006,-0.013015024
-0.4022774,-0.012121126,-1.5704423,-0.0094880015,0.9984926,0.057107873,-0.7104237,-6.0245395e-05,-2.7279255,-0.0040581003,-1.1308511,0.002197072,-0.72902954,-0.010562971,-2.579602,-0.038073465,-1.3223393,0.023437303,-0.4318972,0.0356784,-1.5764409,4.6767294e-05,0.93445176,-0.016098678,-0.003316708,-0.03259814,-0.06434979,-0.0219016
-0.3278248,0.010829285,-1.3333708,-0.0010191952,0.9274893,0.045130417,-0.68403417,-0.008266836,-2.6324253,-0.008066077,-1.1470519,0.0014587194,-0.6787038,-0.0008869916,-2.474206,-0.028877556,-1.3024421,0.012975495,-0.3232713,0.021633998,-1.3489267,0.018540837,0.8850496,-0.0056703985,0.008844577,-0.005426381,-0.024354257,-0.029418908
-0.31626984,0.00632526,-1.3399235,-0.0008126055,0.9482132,0.017821167,-0.6832361,-0.008716717,-2.550809,-0.00681255,-1.1707492,-0.010156721,-0.6605919,0.0012081414,-2.4079719,-0.019187436,-1.2765553,-0.00014607981,-0.31716096,0.012180224,-1.3298589,0.009729244,0.9378478,-0.013502061,0.01517453,0.011105504,-0.00040655583,-0.01471249
-0.33941862,0.013051897,-1.2487578,0.004661053,0.5003894,0.0335606,-0.6707896,0.002046734,-2.5483673,-0.004524,-1.1415254,-0.01004608,-0.6423317,-0.0040628165,-2.395328,-0.010104716,-1.269487,0.010800924,-0.35598895,0.015073761,-1.2617986,0.01165878,0.47883806,0.00034883618,0.01524768,-0.006843213,-0.01041555,-0.019535072
-0.34324962,0.007760972,-1.080508,0.005625173,0.02001132,0.013426486,-0.6682035,-0.0003938079,-2.4679809,-0.0028794408,-1.192476,-0.021371052,-0.6243652,-0.003195271,-2.3349931,-0.0014957786,-1.2685534,0.0010448284,-0.35991538,0.007743135,-1.1124963,0.0017357394,0.013785217,0.007902801,0.016330712,0.0047045015,0.005590722,-0.014181264
-0.3757665,0.005757749,-0.9937025,0.0051359604,-0.3430317,0.0061570853,-0.6838852,-0.00012271106,-2.4794607,-0.009343188,-1.2044982,-0.012579948,-0.6390688,-0.0022655874,-2.371653,-0.002716899,-1.2651432,0.00350618,-0.38443786,0.011382446,-1.0471425,0.005220689,-0.3518415,0.016354188,0.013946831,0.007337492,0.0034449175,-0.014674939
-0.39849126,-0.015939042,-1.1243598,-0.0031389152,-0.5787007,0.007029064,-0.69603705,-0.015146807,-2.602542,-0.0055963844,-1.1884248,-0.007889852,-0.69660753,-0.019570157,-2.4571953,0.004570037,-1.2393873,0.016640183,-0.4651318,-0.010686204,-1.1250595,0.005829595,-0.58954364,0.011274099,0.007409714,-0.007315699,-0.009357251,-0.014413081
-0.45486218,-0.006837964,-1.0081973,-0.009915717,-0.7164147,0.0017076619,-0.7140417,0.0060158074,-2.6012974,-0.010532558,-1.1461748,-0.016488835,-0.70761263,0.004145935,-2.5120852,0.0030246526,-1.2082491,-0.0010480992,-0.475845,0.019715413,-1.0294168,-0.010116614,-0.74214906,0.009676367,-0.012753718,-0.0033330955,-0.010201689,-0.00847552
-0.43105474,-0.011648625,-1.0212061,-0.01719015,-0.738332,-0.0039489437,-0.7118454,-0.011723086,-2.6154351,-0.005386211,-1.1534691,-0.021447271,-0.7224798,0.0011282414,-2.505871,0.011996269,-1.1925393,-0.0021383874,-0.46181294,-0.0021574646,-1.016515,-0.008390568,-0.75344735,0.011804894,-0.0170696,0.0014768802,-0.007104121,-0.0111728385
-0.5301261,0.0025301278,-1.0746416,-0.008297667,-0.80134314,-0.015179286,-0.73537076,-0.007906228,-2.6281621,0.0029322505,-0.7022297,0.0031144917,-0.73900557,0.01438649,-2.5624416,0.013650984,-0.75348353,-0.012796674,-0.4918172,-0.008759901,-1.0534987,-0.004207544,-0.78641397,0.015697986,-0.006826371,0.009689461,-0.001565434,0.004918508
-0.55707085,0.002306804,-1.1542419,-0.00075357454,-0.78004473,-0.011995532,-0.72698796,0.0024307594,-2.5803604,0.006925296,-0.48262247,0.011943921,-0.73020965,0.007263109,-2.5189734,0.005391225,-0.5480309,-0.015663896,-0.5099008,-0.007727936,-1.11127,-0.00036082417,-0.76855236,0.01057297,0.0010573193,0.0032748394,-0.00082004815,0.013693295
-0.5579033,0.0053613633,-1.1301645,0.004027247,-0.73680776,-0.006795045,-0.6952343,0.019797698,-2.4254243,0.0046891794,-0.26897007,0.016269788,-0.6881381,-0.004224509,-2.3914266,-0.0051148385,-0.3430062,-0.011448372,-0.48828235,-0.0118082315,-1.0826066,0.011060409,-0.7192433,0.010835946,0.008139506,-0.0009913631,-0.0049277917,0.019541137
-0.5744596,0.008604862,-1.1749783,0.0039319056,-0.7578301,0.00861769,-0.62579244,0.014641941,-2.1570387,-0.007574668,0.16439465,0.026535511,-0.66845286,0.004226327,-2.2137167,-0.012856156,0.037958067,0.0004122816,-0.5306618,-0.010343567,-1.1373258,0.02236949,-0.75294524,-0.02570492,0.006084539,-0.00384574,0.007742159,0.010283984
-0.55523217,0.013844751,-1.3069489,0.00798605,-0.7199198,-0.0041073402,-0.5930908,0.006529838,-1.9495841,-0.022539921,0.4034257,0.018270403,-0.62598395,0.00034570694,-1.9873635,0.011085756,0.30500358,0.012084655,-0.5513425,-0.01650025,-1.2531701,0.024098746,-0.71817887,-0.015114725,0.0092424825,0.010431107,0.025450997,-0.007079661
-0.5803328,-0.00067190826,-1.5677097,0.008491516,-0.7921999,-0.0028591445,-0.58293223,-0.008241169,-1.8430871,-0.016372897,0.62825334,0.0015122443,-0.6336671,0.002665341,-1.8325242,0.017257929,0.5343734,0.013078798,-0.63790476,-0.0046417266,-1.5239897,-0.0059345737,-0.83265764,-0.018804237,-0.00942713,0.006819602,0.029525734,-0.021574669
-0.56098616,-0.011101112,-1.665918,0.010456946,-0.7210962,0.0014106589,-0.5675733,0.008934967,-1.560045,0.0061252266,0.9048938,0.0070430934,-0.5655954,-0.036648408,-1.5451639,0.0022444278,0.79936635,0.020222653,-0.58631563,-0.016608626,-1.6455628,0.015877744,-0.7199326,-0.008082613,0.036394082,-0.017212823,0.010988332,0.007274516
-0.6287059,-0.0415674,-1.9305578,0.011804182,-0.88247114,-0.01768592,-0.61632,0.0045699626,-1.4491215,-0.013036082,1.0028726,0.0099879205,-0.61023545,0.005735919,-1.4500445,-0.021702304,0.89594114,0.0048121065,-0.6300777,0.017444,-1.9198722,0.017552279,-0.86566025,0.010449827,0.020576797,0.0040824637,-0.0064371713,0.011104718
-0.6374634,-0.030746832,-1.9381742,0.005470635,-1.0058967,-0.008923074,-0.6097921,-0.0008712262,-1.4340019,-0.0061477516,0.85838675,0.0057126284,-0.61031646,0.003085658,-1.4453106,-0.009988964,0.746687,0.00026591122,-0.65230596,0.0113443285,-1.9400446,0.0067010373,-0.9902939,0.0066078454,0.011432484,-0.0032494962,-0.0097487345,0.010762341
-0.62392056,0.0034503862,-1.882855,0.001196505,-1.0613252,-0.0044631343,-0.5651349,0.010571718,-1.2719096,0.011643976,0.55732316,-0.0058586597,-0.5229464,-0.029969022,-1.2622159,8.2209706e-05,0.48293346,0.00922725,-0.6179447,-0.0056329817,-1.8833481,0.002807133,-1.0406924,0.009825304,0.025804386,-0.0067977756,-0.0042592734,0.013989009
-0.656059,0.005544707,-1.9705083,-0.003316509,-1.2941312,0.0013419832,-0.56479156,-0.0080713555,-1.2519411,0.014498681,0.323351,-0.0092953,-0.54439557,-0.012154385,-1.2470913,0.0018211454,0.25021994,-0.003696818,-0.6666249,-0.005664557,-1.9901234,-0.0070977174,-1.2740979,0.008566901,0.010049574,-0.0016876422,-0.0038896203,0.0054555163
-0.65335584,0.02335748,-1.9676679,-0.006120304,-1.3609762,0.0012651756,-0.5356502,0.0041052327,-1.1323744,0.0126722865,0.054494403,-0.022355989,-0.49954364,-0.009298608,-1.1184506,0.0063117594,-0.0015216339,0.0038371906,-0.6457844,-0.00030873716,-1.9558884,-0.005666338,-1.3555198,0.010007039,0.0059370026,0.0037481897,-0.0015800819,-0.0007847026
-0.6951118,0.026140798,-2.1058738,-0.0116085,-1.6018113,0.007285565,-0.54197955,-0.010225058,-1.1476012,0.014010429,-0.19810301,-0.026076421,-0.53791445,0.017202154,-1.1246988,0.0075404495,-0.26335448,-0.005330216,-0.69756866,0.012153193,-2.088722,-0.014898822,-1.6208369,0.0021247566,-0.017315052,0.0064326115,0.0026160628,-0.009827472
-0.7051099,-0.032977313,-2.1294813,0.0060006655,-1.7220802,0.016337648,-0.56110394,0.0023486763,-1.1337973,-0.005212147,-0.16370095,-0.0022898018,-0.5835558,0.020876184,-1.1768975,-0.008537367,-0.26045138,-0.007220987,-0.75642455,0.00419876,-2.1556566,-0.0017393045,-1.7140307,0.0025649667,-0.01188311,-0.016770177,-0.032170482,-0.0028195977
-0.72905576,-0.015318736,-2.1774058,0.0035639065,-1.8302088,0.01185303,-0.5395023,-0.0017508939,-1.0291302,-0.00798321,-0.39161828,0.001860097,-0.5506736,0.010510877,-1.0643471,-0.0045398623,-0.45873305,0.000497479,-0.7685752,-0.002108097,-2.206159,0.008683931,-1.8169757,8.6426735e-07,0.0014520064,-0.0058555417,-0.016353883,-0.0086762905
-0.7778245,0.0014390573,-2.3286037,-0.0010339697,-1.9894052,0.0070473,-0.53378105,-0.01161249,-0.98338467,0.0075209066,-0.6292977,0.010376468,-0.53899574,-0.0055912435,-0.9832177,-0.010751158,-0.65471405,0.00046668574,-0.8066515,-0.013364673,-2.361025,0.00941582,-1.9695227,-0.009602144,0.0060925037,0.00041031465,0.00294099,-0.0028636977
-0.8509631,-0.011759676,-2.327993,0.0022739503,-2.0650156,0.0068437597,-0.54714537,-0.003229946,-1.0620053,-0.014826033,-0.6467851,0.0074055046,-0.5650684,0.015868798,-1.1092279,-0.008709356,-0.691333,0.002099011,-0.89190936,0.009308472,-2.3677933,0.0046703294,-2.0602531,-0.011378437,0.0034884661,0.0032714494,-0.006850496,-0.014594711
-0.89771605,-0.0035697818,-2.4509952,0.0014020274,-2.122826,-0.0032077478,-0.5609145,-0.00066193193,-1.0808938,-0.009122677,-0.71662825,0.02012828,-0.5750925,0.009423181,-1.1152018,-0.0068589896,-0.7369145,0.0013227127,-0.9149282,0.0003258288,-2.4805331,0.011397518,-2.1027086,-0.016452521,0.0043336526,0.004926402,0.010448642,0.00023014098
-0.94345766,-0.008659735,-2.528437,0.0022123936,-2.183512,-0.006679194,-0.5760234,0.003153339,-1.1300287,-0.00877521,-0.7432012,0.023394778,-0.5964064,0.014258608,-1.1695948,-0.00968942,-0.7594314,-0.0022950172,-0.959875,0.0040173978,-2.5520492,0.0080464035,-2.1629002,-0.019768715,-0.00038776547,0.0032432787,0.011711501,0.006298557
-1.0404433,0.008368306,-2.4863002,-0.00069184275,-2.1298482,-0.012687024,-0.5561636,0.01638028,-1.1843566,-0.024012089,-0.7582619,-0.0033009946,-0.5275782,-0.026398793,-1.218075,0.015198335,-0.7172312,0.0015229061,-1.0100025,-0.010536477,-2.4971163,-0.0018306524,-2.119534,0.008515239,0.01403065,0.015902456,0.0062736943,-0.004000716
-1.0909703,0.0037999228,-2.5686796,0.00029353006,-2.1622488,-0.018441381,-0.57075834,0.023525462,-1.2416482,-0.025747519,-0.8159503,-0.0011429042,-0.5477978,-0.024157055,-1.2796918,0.015434504,-0.76396185,-0.0032712147,-1.0526395,-0.009284273,-2.5638409,-0.003584765,-2.1516092,0.009730861,0.010479629,0.014734503,0.009145968,0.0026298538
-1.1282785,-0.0048582777,-2.6797433,0.005117051,-2.173955,-0.022404833,-0.5909163,0.028943926,-1.3236825,-0.028300356,-0.8862366,0.00125283,-0.58427495,-0.015039459,-1.3440318,0.01664628,-0.8324309,-0.010436613,-1.0758028,-0.0014099628,-2.6476407,-0.0048955157,-2.1860192,0.014504328,0.0044617206,0.011784982,0.01594279,0.0046577677
-1.0951186,0.017826952,-2.674122,0.013093382,-2.0251791,-0.008418443,-0.5955488,-0.010185257,-1.5863794,-0.008193191,-0.73599726,0.002487108,-0.5724557,0.008630142,-1.522088,0.022956952,-0.7136057,0.0047008544,-1.0492908,-0.0071151704,-2.6522946,0.013315447,-2.0462239,0.013622254,0.013671406,0.022944447,0.028867118,-0.018617876
-1.1856395,0.008417852,-2.8037262,0.004697434,-2.1689737,0.0014502779,-0.6093397,-0.018271565,-1.7381082,0.0011240579,-0.733507,0.0048293024,-0.61728954,0.018970326,-1.6939367,0.012702808,-0.7313326,0.0036342703,-1.166801,-0.0071375966,-2.7787876,0.011783667,-2.1856027,-0.0065409243,0.0023338646,0.012545269,0.017945528,-0.014070697
-1.1798146,-0.0019730031,-2.8779712,0.0101880655,-2.0714195,0.0017377771,-0.6288018,-0.021620236,-1.8687859,0.005020965,-0.80838996,0.009377524,-0.648583,0.02781351,-1.8020853,0.0051582605,-0.8157833,4.7642738e-05,-1.1721845,-0.0023272783,-2.8418748,0.013855003,-2.0946524,-0.005311176,0.00058107823,0.008614104,0.01957307,-0.011271395
-1.3017741,0.0009746477,-2.9547694,-0.0030612727,-2.2500284,0.00029151328,-0.65681064,-0.007281646,-2.03032,0.007017024,-0.87022614,0.009973571,-0.6781716,0.01655437,-1.9989344,0.00096333027,-0.86215025,-0.0029006936,-1.3153663,0.0037341714,-2.9312007,0.00611604,-2.2609494,-0.01110585,-0.010542579,-0.0028938688,0.012276866,0.0032834783
-1.3406793,-0.0033017695,-2.9571984,-0.0076175337,-2.197199,-0.001590278,-0.67743355,0.011389233,-2.1865673,0.008501653,-0.9532196,0.0027509779,-0.69331795,0.006015405,-2.175985,-0.0070741326,-0.93221664,-0.010470379,-1.3822972,0.010859624,-2.9290705,-0.003910832,-2.201803,-0.001902774,-0.019337244,-0.0143486895,0.00047060102,0.015889488
-1.2869815,-0.015033588,-2.8840168,-0.0009876494,-1.7528304,0.00040305778,-0.645884,0.006389752,-2.2249327,0.0034730993,-1.0789031,-0.0007390827,-0.65845096,-0.022802189,-2.2203276,-0.020770594,-1.0479536,-0.0022969581,-1.3362653,-0.003453821,-2.8820405,0.00028338283,-1.7495416,0.008637875,0.0067154914,-0.011136834,-0.002170138,0.009552948
-1.1507939,-0.0065580904,-2.702195,0.0039006989,-1.2574998,0.0030873083,-0.6197736,-0.010795072,-2.2705498,0.011681493,-1.1565785,0.0036551505,-0.61949384,-0.03981071,-2.2352834,-0.025531515,-1.1351118,0.004682433,-1.1837573,-0.021220699,-2.7178183,0.014302202,-1.240238,0.006468326,0.03504107,-0.0023669042,0.009815671,0.005125664
-1.0815336,-0.002482891,-2.7821562,0.013226472,-1.0873126,-0.027444333,-0.6810291,0.0011445805,-2.241608,-0.004033208,-1.3741794,-0.011316359,-0.6653123,0.0109951645,-2.1396518,0.009509534,-1.3285598,-0.03959192,-1.02064,-0.0025540143,-2.7636678,-0.013394527,-1.0755543,0.06591277,-0.014140643,0.023187842,0.025303565,0.011785723
-1.041095,-0.002096042,-2.648389,0.0068643014,-1.0012461,-0.02174475,-0.6895839,-0.0015449077,-2.3577082,0.00067334995,-1.4022266,-0.015371487,-0.67453706,0.021646976,-2.2654746,0.012416393,-1.3846838,-0.035246525,-0.9817393,-0.0051310807,-2.615282,-0.009999178,-0.9752034,0.055938482,-0.016269512,0.019517776,0.009810731,0.0141897425
-1.036278,-0.008228913,-2.327354,-0.0056364615,-0.9040743,0.018714465,-0.59658635,-0.0004875362,-2.2453828,-0.008069232,-1.4981021,-0.010534003,-0.5952431,-0.016680628,-2.2582698,0.0014586449,-1.5559212,0.025356468,-1.0071175,-0.00487718,-2.4066749,0.0024597868,-0.91507834,-0.034025148,0.021373622,-0.0046913065,-0.0107945055,-0.009514965
-1.0496765,-0.018559039,-2.5472417,-0.0038443212,-0.9622583,-0.011810491,-0.6967695,0.009625696,-2.314966,-0.0022993535,-1.8035043,-0.0032155067,-0.7092896,0.0047143996,-2.261428,0.005139306,-1.8220596,-0.028027657,-0.9137579,0.008125618,-2.5741847,-0.019287296,-0.9745822,0.023832262,-0.007864349,0.0006704591,-0.0010746792,0.022896297
-1.1034236,-0.028387755,-2.6235995,-0.006226078,-1.0382947,-0.0072360225,-0.7147709,0.005628124,-2.4442549,-0.0023831725,-1.8920763,0.0055921227,-0.7410704,0.012370989,-2.4038515,0.0028795302,-1.9344893,-0.018584985,-0.966823,0.008896068,-2.6408687,-0.0064909384,-1.0462986,0.0081577,-0.0009567663,-0.0072405078,-0.009428993,0.027581133
-1.2243764,-0.014353916,-2.6346629,-0.00822255,-1.1174507,0.0072928816,-0.7009851,-0.003610909,-2.689798,-0.023189604,-1.8281531,0.02583456,-0.7321611,0.020615682,-2.7052093,0.010858059,-1.9185927,0.02000476,-1.1474738,0.026416957,-2.7097657,0.0214696,-1.1471481,-0.062301874,0.013537653,-0.006507758,0.0112479925,0.0073618665
-1.1964071,-0.033644423,-2.6792116,-0.011516392,-1.131379,0.0013199523,-0.720279,-0.008107103,-2.6626058,-0.012929004,-1.9357126,0.01655294,-0.76345503,0.02641125,-2.655966,0.0029306263,-2.0134468,0.012759622,-1.0924921,0.0126443505,-2.7076747,0.016962595,-1.1337858,-0.02774793,0.010750689,-0.008434061,-0.014958113,0.016943581
-1.1888468,-0.0379387,-2.7158625,-0.010966137,-1.123112,-0.0044892207,-0.7499224,-0.0019599348,-2.6811602,-0.0064803064,-2.034288,0.017982915,-0.79832876,0.029392153,-2.6565886,0.0055216104,-2.1066072,-0.007613886,-1.0449733,0.013619006,-2.7310853,0.0067167357,-1.127997,-0.011667669,0.0012671575,-0.012807641,-0.014805131,0.030719198
-1.245258,0.0018260479,-2.629871,-0.0100111365,-1.1992675,-0.023790348,-0.7190356,0.0005103424,-2.7502067,-0.033722498,-1.8222133,0.040292338,-0.757442,0.045123577,-2.7961457,0.005597174,-1.8581886,0.023737561,-1.2189258,0.028621927,-2.6803424,0.021953322,-1.1827494,-0.061917067,-0.010612436,0.019555088,0.035421297,0.010640003
-1.2769305,0.04086396,-2.644158,-0.008018747,-1.2779543,-0.032523107,-0.7383417,-0.0012419,-2.8619306,-0.05095671,-1.8985649,0.055945486,-0.7726306,0.056097656,-2.884114,0.016460136,-1.9323475,0.03020851,-1.2251385,0.036794797,-2.7063391,0.033749647,-1.2692285,-0.068400085,-0.030111723,0.010398652,0.03347662,0.014545716
-1.2655051,0.044123128,-2.5846076,-0.0071638827,-1.2732449,-0.03446541,-0.73676276,0.0028068945,-2.861489,-0.056581914,-1.888684,0.053480998,-0.75964975,0.05672978,-2.888317,0.024441391,-1.9172409,0.03362858,-1.2144414,0.036629245,-2.6443481,0.03663323,-1.2620167,-0.059057385,-0.028001495,0.016330387,0.035541527,0.008977629
-1.2471855,-0.004744023,-2.6076343,-0.0077514653,-1.1599174,-0.025906518,-0.74267733,-0.0069382116,-2.8505151,-0.035056442,-1.9266989,0.04268132,-0.8010795,0.060034677,-2.8874407,0.016485035,-1.9753854,0.0146780275,-1.1802994,0.028029397,-2.664425,0.012944914,-1.1526778,-0.05647385,-0.017307408,0.021857139,0.03861104,0.009665616
-1.269865,-0.009208739,-2.6650894,-0.008732602,-1.161174,-0.026856266,-0.75753546,-0.012194902,-2.9217007,-0.03362202,-1.9715453,0.04571955,-0.82689506,0.06472577,-2.9528377,0.0128121525,-2.0220811,0.010494482,-1.2007712,0.031010315,-2.7230842,0.0100641325,-1.1572793,-0.058849394,-0.021216385,0.02249607,0.0396562,0.0111856535
-1.2797618,0.038941994,-2.5992532,-0.007818937,-1.1212906,-0.040941257,-0.75455785,-0.013379857,-3.047725,-0.049940504,-1.8642089,0.04965815,-0.8017056,0.05992028,-3.0525377,0.009931549,-1.8732331,0.020793315,-1.2680564,0.049083218,-2.6926603,0.0075640753,-1.1280714,-0.06453535,-0.041682474,0.028639909,0.056465887,0.0012556091
-1.2077957,0.016566753,-2.4818976,-0.009804219,-0.91334236,-0.03699269,-0.73697805,-0.018049777,-2.9870162,-0.032369263,-1.7020903,0.030694097,-0.793586,0.044959784,-2.9949358,-0.003353849,-1.6858355,-0.004883725,-1.2366084,0.042235643,-2.5893404,-0.028782435,-0.92648536,-0.047809392,-0.0481536,0.04688176,0.06708733,-0.010388307
-1.1361358,0.0544094,-2.3068278,-0.0060734157,-0.87025106,-0.045924928,-0.69404185,-0.024473526,-2.8857381,-0.039757274,-1.4799571,0.027916387,-0.7590563,0.035775945,-2.8740225,-0.010690868,-1.4496616,0.011424612,-1.1868079,0.035935238,-2.4207952,-0.028761841,-0.8776723,-0.06006193,-0.05596874,0.026161011,0.057474554,-0.005611442
-1.066778,0.017568499,-2.2861614,-0.010094047,-0.80043054,-0.01870982,-0.66774285,-0.022130683,-2.6300893,-0.008236479,-1.4290508,0.018226609,-0.7169198,0.0171061,-2.6309476,-0.012450054,-1.4230133,-0.002812285,-1.0908753,0.01505062,-2.4008675,-0.036048047,-0.80912894,-0.04848066,-0.035597093,0.036011305,0.050574303,-0.013169102
-0.99866325,0.014808163,-2.2085261,-0.0077740555,-0.78780246,-0.009599578,-0.62791944,-0.021306582,-2.395503,0.00028346106,-1.3422705,0.013214067,-0.66828644,0.002977714,-2.4000745,-0.0146152675,-1.3430886,0.0019145645,-1.0093557,-0.0025540441,-2.312706,-0.030260079,-0.78787476,-0.044899985,-0.020118065,0.029419329,0.037083633,-0.013396494
