FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.1505709,0.0017818552,-2.3317194,-0.004437084,-1.9385619,0.0033445149,-0.84922004,-0.0036067772,-2.3142867,0.0020551395,-1.9507836,0.0014776336,-0.8408869,0.0056437105,-2.2434483,0.0034007234,-1.9448469,0.003975381,-1.1496043,-0.003376157,-2.1834686,0.0012911318,-1.3449209,0.0025498841,0.0387578,0.026802897,0.064962566,0.022565544
-1.1352626,0.0026681176,-2.1639216,-0.0038658201,-1.8578764,0.0019998872,-0.8015145,-0.0050530434,-2.1701956,0.0033694825,-1.7960532,0.0039717807,-0.79992604,0.014153132,-2.0850546,0.006537336,-1.8379238,0.006559538,-1.1441338,-0.005878338,-1.9057612,0.0016537812,-0.9479748,0.0030025467,0.0687817,0.042092144,0.11129424,0.037508935
-0.95397186,0.000898025,-2.097187,-0.00041338662,-1.1846977,-0.00031371717,-0.72415864,0.00048847357,-2.3436491,0.00017856155,-1.3474084,5.2894466e-05,-0.72617435,0.0039989576,-2.3014436,-0.0016332669,-1.3912141,-0.0022908943,-0.9582653,-0.00077379495,-2.024445,-0.0024721036,-0.9476149,0.00084136194,0.02171433,0.009503812,0.031487793,0.008696854
-0.93685186,0.0029440569,-1.7390356,-0.0014461781,-1.0986918,-0.00048962864,-0.7890911,-0.003466837,-2.4981184,0.0026060361,-1.7256187,0.0046227984,-0.789095,0.017712168,-2.3630657,0.004707779,-1.8199877,0.004422366,-0.9519444,-0.006041481,-1.4842668,-0.00036406307,-0.26792777,0.0023562252,0.07049048,0.038958102,0.10955885,0.03533876
-0.7772789,0.0041698073,-1.7765563,-0.003027062,-0.58154917,0.0033199778,-0.6901473,-0.005301242,-1.7596048,0.0022292873,-1.824448,0.005024804,-0.69464034,0.016144374,-1.672225,0.003589759,-1.9220876,0.0030922834,-0.7824539,-0.007753622,-1.5082483,-0.0011708438,0.34402356,0.0003799263,0.07812491,0.04322782,0.11319959,0.038878918
-0.7961768,0.0011834567,-1.7853103,0.00029064575,-0.7428472,-0.0015799676,-0.7588653,0.0020103576,-2.483128,0.00069282204,-1.677278,0.001359324,-0.75174993,0.006378837,-2.3812957,-0.00067304634,-1.7234545,-0.0004365882,-0.8005629,-0.0031431261,-1.631928,-0.0019548596,-0.4843576,0.0010563883,0.028949171,0.011397302,0.04158643,0.011974305
-0.8570771,0.0009928076,-2.186996,-0.0030195552,-0.56742966,0.002741943,-0.66975206,-0.0035570809,-2.240326,0.0009525507,-1.119833,0.002695242,-0.671165,0.0003556721,-2.2321877,0.0007461943,-1.1249728,0.0006754473,-0.8477905,-0.0006151935,-2.247377,0.0013944821,-0.3377987,-0.0037623378,0.0059168935,0.005731523,0.013167858,0.0060002506
-0.85386026,0.0003325753,-2.256238,-0.0015682628,-0.5265484,0.0018752282,-0.68289924,-0.0017972719,-2.0456746,0.0011635218,-1.406383,-0.0001353873,-0.6855205,0.0039942246,-1.9806769,0.0016876366,-1.4907284,0.0007381686,-0.85440993,-0.0028696954,-2.1926007,-2.8325885e-05,-0.2177413,0.000744988,0.023107827,0.016235888,0.036921024,0.012972087
-0.47274053,-0.0017360551,-1.7227075,0.0024966544,0.93645644,-0.0013121075,-0.7286227,0.0027142772,-2.973094,-0.00016772188,-1.1416738,0.00029029604,-0.7194709,8.925796e-06,-2.831393,-0.004197281,-1.1671746,-0.00061011594,-0.45771497,0.007412131,-1.6763928,0.00049164443,0.8153546,-0.0018010195,-0.015217423,-0.005061388,-0.01995331,-0.0083504915
-0.60627675,0.002470539,-1.2020544,-0.0038459436,-0.28030157,0.0018292872,-0.6876651,-0.0025663706,-2.1029682,0.003060121,-1.5302007,0.0061642295,-0.68923676,0.016655805,-1.9850062,0.0070908475,-1.6559488,0.004982313,-0.6142033,-0.008282392,-0.9359316,0.00013901747,0.6423373,0.0016728519,0.075169146,0.04375431,0.11469889,0.038576573
