FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.3390453,0.0046008155,-2.7933207,-0.024078421,-1.7443607,-0.016714327,-0.5076653,-0.02892422,-2.261789,-0.044310052,-1.3858954,0.053172156,-0.6683236,-0.16827017,-2.326436,0.0019007474,-1.0678931,-0.06479849,-1.1629949,-0.050464228,-3.2163618,0.045696966,-1.9936061,0.04870788,-0.07065201,-0.09597504,0.10048509,-0.049817026
-1.4540977,-0.1519177,-2.8816638,-0.100653015,-1.1013432,-0.042532496,-0.84422815,-0.12766343,-2.7329366,0.023830231,-0.99293804,0.002230201,-0.6673925,0.06944789,-2.8375857,-0.11256729,-1.3431199,0.14253612,-1.4165316,0.24383092,-3.1921585,-0.089311354,-1.2327948,0.52921474,0.014526337,-0.2440151,-0.19364959,-0.122786105
-1.244999,0.064568125,-3.0087342,0.056653123,-1.214477,-0.017762326,-0.5384141,0.014816396,-2.1237445,-0.030321684,-1.5490153,0.06511598,-0.58201855,-0.06207396,-2.107131,0.06935846,-1.6055851,-0.11583011,-1.1915157,0.014346333,-2.8614864,0.08868154,-1.216257,-0.08439658,-0.0395177,0.046509683,0.04368046,0.07747483
-1.167494,-0.01343181,-2.710187,-0.059621267,-0.5710342,0.005210746,-0.66329795,0.04609183,-2.0937486,-0.0346351,-1.593539,0.05709716,-0.6355146,-0.07820489,-2.1563482,-0.017052047,-1.7059555,0.0025431588,-1.0413251,-0.013499577,-2.6205308,0.013918381,-0.3917629,-0.011324668,0.05978921,-0.009888589,0.010490835,0.21591622
-0.941035,0.00889755,-2.2159376,0.013739522,-0.229805,0.0046244077,-0.69526553,0.16144764,-2.0349858,-0.06780895,-1.6976717,0.059511304,-0.7285794,-0.1328277,-2.1230536,-0.03586441,-1.4805217,-0.039142013,-0.911375,-0.07603945,-2.173976,-0.025748178,0.17453896,-0.016418964,0.1012736,0.07028437,0.12865421,0.29209667
-0.75396144,-0.026443042,-2.1279502,-0.010324473,0.49753165,0.040667485,-0.67559874,0.09738861,-2.306735,-0.013283536,-1.3638569,0.07024765,-0.7016313,-0.06672602,-2.3328285,-0.02166418,-1.3513105,0.010520443,-0.7448438,0.022172121,-2.1247158,-0.018022843,0.6337394,0.02995037,0.04782325,0.023557365,0.04297653,0.13488418
-0.6693055,-0.028269298,-2.1550684,-0.017433966,0.57851624,0.02711041,-0.68780893,0.054643054,-2.3866553,0.01690045,-1.3043351,0.044823572,-0.71145767,-0.0005003363,-2.3451033,0.017889999,-1.3562016,0.026977181,-0.6323981,-0.012311969,-2.1227987,-0.033263385,0.64219624,-0.010414373,0.016202122,0.0038558245,0.015019566,0.119223475
-0.49872425,-0.04270255,-2.1507373,0.0032984288,0.5216,-0.0057696067,-0.6794323,-0.009962983,-2.5834377,0.032011,-1.1690227,0.012149826,-0.68264306,0.09271458,-2.4541883,0.04036974,-1.3174207,0.04951793,-0.5797417,0.040068857,-2.0503178,-0.06322669,0.4609443,-0.0041625164,-0.06892097,-0.009764791,-0.07567096,-0.01801014
-0.42779136,-0.060479634,-2.0391617,0.003327867,0.79212284,-0.031734042,-0.6781298,-0.03572797,-2.6301827,0.04894523,-1.0900838,0.00951276,-0.65114325,0.073661685,-2.477643,0.030712955,-1.2415993,0.070693165,-0.50102484,0.009270845,-1.9980239,-0.07248787,0.68153423,0.031070266,-0.1238929,-0.022975922,-0.087109506,-0.006793201
-0.4186164,-0.028514974,-1.7212489,0.0032020211,0.74492884,0.029725246,-0.7155007,-0.0010651276,-2.5136037,0.016315863,-1.2215953,0.020750262,-0.70366216,0.070449054,-2.379138,0.067892544,-1.397508,0.03359799,-0.45060122,0.060125858,-1.7627901,-0.040597953,0.76079637,-0.009651069,-0.00018775463,-0.024940014,-0.00882858,0.034717202
