FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.8740915,0.0077370387,-0.99999803,-0.0018477077,-0.88324624,0.0016979995,-0.6932283,-0.001076574,-0.99999803,8.381531e-05,-0.9977265,-0.0045265798,-0.7402206,-0.000102492515,-0.99999976,-0.00065420347,-0.99845773,-0.00040790133,-0.8336517,0.0018710821,-0.99999094,-0.00029616442,-0.8834456,0.002217525,-0.0014474454,0.0012302938,0.00056219747,0.0010218375
-0.9381475,0.017673783,-0.99999744,0.0019042167,-0.99949545,-0.002744766,-0.56946224,-0.0057086977,-0.99999994,-0.005492599,-0.996621,-0.005258833,-0.5693951,0.0003652407,-1.0,-0.0014959741,-0.9937495,-0.00034131994,-0.9814473,-0.0041478523,-1.0,0.0038624303,-0.99937165,-0.005346563,0.0046483516,-0.0024288257,0.0047167405,-0.00581221
-0.921658,0.010364444,-0.99999994,-0.002436767,-0.97916985,0.0020775313,-0.699879,-0.0015774198,-1.0,-0.0019255723,-0.99571884,-0.0057898792,-0.7272706,0.0021288602,-1.0,-0.00087873917,-0.9936311,-0.00083107135,-0.8889394,0.0015474671,-0.99999976,0.00014914235,-0.9685734,0.0020045273,-0.0007615579,0.0014359094,0.0013308345,-0.0015547836
-0.7928393,-0.0006088316,-0.9998532,-0.00040621983,-0.9070597,-0.00011462299,-0.7405291,0.002881032,-0.99999607,0.0016657271,-0.99953747,-0.0013324228,-0.82519746,0.0005775354,-0.9999976,-0.0008537939,-0.99912417,0.001332729,-0.857544,-0.00033783307,-0.9995695,-0.00033324328,-0.8578041,0.00071050494,0.00016664271,-0.00046181653,0.00025484897,0.0026864503
-0.30758095,0.026306288,-0.95985717,-0.00024194385,-0.40256855,0.0011944465,-0.4210914,-0.007652892,-0.94549966,-0.004688766,-0.5052265,-0.011951649,-0.27436522,0.0021670708,-0.9825921,-0.0027011791,-0.566502,0.0010356435,-0.41191304,-0.0016148165,-0.9533874,0.00071310654,-0.4745998,-0.0012481238,0.002060705,-0.0013212768,0.005162392,-0.0037283124
-0.28073728,0.0071671605,-0.9816436,-0.0007582522,0.38222843,0.0007015859,-0.5643295,-0.00017533451,-0.9824379,0.0023861916,-0.9772662,-0.006403346,-0.596608,-0.001753495,-0.9419805,-0.0016682065,-0.9767999,0.00020831672,-0.40074435,0.0013836343,-0.9825364,-0.0012424438,0.31652483,0.0018717096,-0.0009380236,5.8343634e-05,0.0005781324,0.0048283753
-0.4983213,0.011283211,-0.9994984,-0.0017247435,0.66171575,0.0026019502,-0.73775494,-0.0035409937,-0.99997807,-0.002261531,-0.99940693,-0.005805266,-0.78353095,0.0026540468,-0.999998,-0.0003627047,-0.99945694,0.0003562397,-0.47163364,0.0015079973,-0.9997085,-0.0006425298,0.5907174,0.0019084073,-0.0009141385,0.0008276671,0.0011844899,-0.0020738894
-0.75677645,-0.0023300643,-0.9999983,-0.0011969036,0.93330073,0.0020062285,-0.88652974,0.0026145945,-0.99999994,-0.0008120195,-0.99999547,0.0027741354,-0.9370794,0.0025022633,-1.0,-3.909995e-05,-0.9999953,0.00059242925,-0.6679573,0.0012948674,-0.99997985,-0.00073590875,0.9555887,0.0019293904,-0.00070319104,0.00037418978,-3.712345e-05,-0.0011071286
-0.55354136,0.0046224673,-0.9998298,-0.0016210106,0.6529229,0.001646529,-0.7157261,-8.247234e-05,-0.9999689,0.0003420934,-0.9984533,-0.0038280422,-0.77695596,0.00096522825,-0.99999136,-0.0005668066,-0.99826545,0.00011824444,-0.5517085,0.00147939,-0.99935305,-0.0008434412,0.65643454,0.0023244394,-0.0012171875,0.0009397843,0.00024220161,0.0014330931
-0.33988202,0.012096083,-0.95072716,-0.0013002026,0.7805181,0.0021926763,-0.7213742,-0.0024855812,-0.9945316,-0.0021079204,-0.9851013,-0.0061100344,-0.6445772,0.0019456361,-0.9976066,-0.0018152028,-0.9672073,5.1663606e-05,-0.39834723,-1.7852755e-05,-0.99479365,-0.00036829067,0.7302752,0.00075216696,0.0003752927,0.0005343041,0.0020577963,-0.000982219
