FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.9710431,-0.014014452,-0.9999039,-0.0023402828,-0.9881217,-0.015464195,-0.7301911,0.011495104,-0.9999009,0.037753355,-0.93047714,-0.018490814,-0.7326441,0.024275428,-0.9999754,0.005422312,-0.9307703,0.006287095,-0.96669877,-0.018430902,-0.99983907,0.022839928,-0.9897734,0.00027378276,-0.0022006969,-0.03661662,0.00058617996,-0.013033434
-0.9654735,0.01104085,-0.9999532,0.0006344318,-0.96348953,-0.014134483,-0.78072673,0.0046467297,-0.9999522,0.013710139,-0.99388117,-0.011799548,-0.7856015,-0.010975718,-0.99999034,0.024687603,-0.99429095,0.012458758,-0.9761799,-0.0009865385,-0.999944,0.0015679175,-0.9681282,0.011402638,0.0122592645,0.0026241965,-0.009281252,0.01958128
-0.976691,0.0075924057,-0.9999789,-0.0024719485,-0.9725763,-0.012066193,-0.7815919,0.002746273,-0.9999734,0.008242294,-0.9924487,-0.0061202776,-0.7735248,-0.011165483,-0.9999951,0.023368407,-0.992631,0.011555685,-0.9800242,0.00490584,-0.9999695,-0.0013328149,-0.9756352,0.0041355737,0.0054596495,0.010405199,-0.009481118,0.018832505
-0.9687822,0.020180093,-0.9998898,0.009546437,-0.99215674,-0.012546578,-0.7712589,0.0012825439,-0.9999205,0.027764507,-0.9363016,-0.016528085,-0.7724626,0.0024454917,-0.9999777,0.009948265,-0.93832225,0.0056461147,-0.97578114,-0.012979695,-0.99985564,0.00416469,-0.99375397,0.016986767,0.022171909,-0.012690112,-0.009992887,-0.0010136735
-0.97987765,0.008584974,-0.99991566,0.00830664,-0.99783164,0.0038893542,-0.75824773,-0.0010120607,-0.99993813,0.0033457228,-0.67060703,0.015211824,-0.7462976,0.0026029886,-0.99997956,-2.9508024e-05,-0.65092695,0.006839547,-0.97794217,0.0029439207,-0.9998505,0.002944852,-0.9982268,0.0026665453,-0.005804198,-0.006901032,-0.0036237044,-0.0019254363
-0.9868008,0.0044811517,-0.9999645,0.0038429906,-0.9983417,0.005243398,-0.7587675,-0.0036234048,-0.9999671,0.0002888292,-0.6186386,0.018980578,-0.73047745,0.002107796,-0.9999903,-0.0031239623,-0.5814221,0.004864362,-0.98166054,0.0072107185,-0.9999227,0.00011606887,-0.99862313,-0.0047339257,-0.012392911,-0.00029271469,-0.0038666588,-0.003393123
-0.98921305,0.00186347,-0.99997544,0.0021887089,-0.9985934,0.0061477646,-0.7563249,-0.00510194,-0.9999746,-0.0020029144,-0.55673647,0.021564731,-0.7196826,0.0018399933,-0.9999928,-0.005257055,-0.50535285,0.0035732442,-0.98293537,0.009414547,-0.9999404,-0.0017457252,-0.9988292,-0.00815157,-0.016261447,0.0028980926,-0.0035875584,-0.0049097217
-0.9881604,0.0014460374,-0.9999671,0.0046927584,-0.9986436,0.0068932455,-0.7497904,-0.0048060943,-0.99996763,-0.004534556,-0.47661996,0.023452168,-0.71647847,0.0018472874,-0.9999903,-0.00561278,-0.4188658,0.0034886512,-0.9815388,0.009536238,-0.9999214,-0.0024618271,-0.9988853,-0.0064710183,-0.016939927,0.0022184998,-0.002405989,-0.006317926
-0.98810244,-0.0012134457,-0.9999647,0.0032248981,-0.99870175,0.0061895233,-0.74386775,-0.004172642,-0.999965,-0.011854801,-0.41004,0.02085151,-0.7117857,0.003040133,-0.9999893,-0.004962839,-0.3456393,0.0026781105,-0.98079723,0.010749984,-0.9999131,-0.0035596748,-0.9989592,-0.0063662077,-0.016019076,0.004560666,-0.0030518135,-0.007443924
-0.98458624,-0.0047397483,-0.99993587,0.00069394696,-0.998553,0.0025691215,-0.7343888,-0.00046960285,-0.9999439,-0.027734771,-0.36373803,0.009618076,-0.7169348,0.006970822,-0.9999811,0.0006004534,-0.30703866,0.0026916405,-0.9771762,0.011500493,-0.99985266,-0.0036446403,-0.9989134,-0.00183917,-0.007482821,0.0069916337,-0.0061486615,-0.007427295
