FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.95007,-0.00023284508,-0.992427,-2.652801e-05,-0.8945652,5.5641285e-05,-0.74377537,-4.6159927e-05,-0.9905426,0.00041514167,-0.9468524,-9.066614e-06,-0.71553344,-0.00014840893,-0.9923399,0.0002857456,-0.933056,-9.179942e-05,-0.9520236,-0.00016983808,-0.99093795,0.00025926903,-0.91351706,-0.00014524662,-4.980777e-05,4.654273e-05,-5.0209987e-05,-0.00012026052
-0.92664844,-0.0003430976,-0.99187845,-3.1834425e-05,-0.9337412,7.846055e-05,-0.7494268,-5.974667e-05,-0.9882919,0.0005806856,-0.87498754,-1.2061326e-05,-0.7193603,-0.00016129424,-0.9854091,0.00031730253,-0.82877564,-0.00014096609,-0.93029296,-0.00023098337,-0.990619,0.00032129744,-0.9440664,-0.00017788424,-6.109284e-05,6.348849e-05,-6.406833e-05,-0.00013601198
-0.91297704,-0.0004989693,-0.9900356,-4.708003e-05,-0.8813196,0.00013799447,-0.7101349,-0.00011979448,-0.9875685,0.0008880098,-0.9471791,-1.8931278e-05,-0.7381319,-0.00033802993,-0.99161154,0.0005391088,-0.9678325,-0.00023540808,-0.92702824,-0.00036824073,-0.9862945,0.00053479493,-0.82995325,-0.000278619,-0.000114201655,0.00010017227,-0.00010536623,-0.00024949986
-0.9756697,0.0009612275,-0.9992959,8.5123684e-05,-0.9628018,-0.00019687956,-0.8525819,0.00016158563,-0.99894434,-0.0013699672,-0.99275434,3.3265445e-05,-0.8517367,0.0005282886,-0.9995485,-0.00089904526,-0.99265695,0.00039878904,-0.97721416,0.00064793427,-0.9986966,-0.0008833783,-0.9466177,0.00050246547,0.00019318459,-0.00017345996,0.00017637538,0.0003899969
-0.926174,-0.00042904468,-0.98967904,-3.643926e-05,-0.97961044,9.373855e-05,-0.7650074,-7.5672e-05,-0.9943792,0.00063014816,-0.7873245,-1.39486365e-05,-0.7831626,-0.00026120874,-0.98902845,0.000411723,-0.66736436,-0.0001909887,-0.9505438,-0.00028000225,-0.9913374,0.00039953596,-0.9767246,-0.00020709506,-8.729237e-05,7.660111e-05,-8.25719e-05,-0.0001842943
-0.82685304,-0.0012562812,-0.9123989,-0.00011292823,-0.7778147,0.00028586847,-0.55389595,-0.00023742602,-0.9450256,0.0019780376,-0.8856832,-4.5146397e-05,-0.5817925,-0.0007246612,-0.95332146,0.0012236952,-0.8493449,-0.00054147735,-0.8132636,-0.0008639323,-0.9562097,0.0012236449,-0.79007196,-0.00065779645,-0.0002685163,0.00023156786,-0.00024713323,-0.0005460442
-0.9092532,-0.00036653152,-0.98983645,-3.436963e-05,-0.9118267,8.206803e-05,-0.71173906,-6.909549e-05,-0.9877567,0.00054723554,-0.8662155,-1.1396776e-05,-0.69609344,-0.00023102015,-0.986724,0.00036265232,-0.87064934,-0.00015226734,-0.9309566,-0.00023458118,-0.9910885,0.00036220855,-0.9129692,-0.00015675079,-7.9085556e-05,6.811216e-05,-7.4514275e-05,-0.00016212487
-0.96459097,0.0006130479,-0.9976215,5.662722e-05,-0.9732882,-0.0001466918,-0.83083165,0.000119534205,-0.9982611,-0.00095323677,-0.95948285,2.1889216e-05,-0.81675893,0.0003807946,-0.99842703,-0.0005884426,-0.93885195,0.00027855008,-0.9684868,0.00042446886,-0.99787694,-0.00061188097,-0.97252977,0.000330857,0.00013583805,-0.00011288343,0.000114453374,0.0002574242
-0.92473304,-0.00036704793,-0.98903054,-3.0751922e-05,-0.9043686,6.2706065e-05,-0.7095821,-6.2929816e-05,-0.98934263,0.00054952357,-0.7610104,-1.1681797e-05,-0.6913183,-0.0001835709,-0.98992413,0.00034668553,-0.81909364,-0.00014102092,-0.91133124,-0.00021519058,-0.9831357,0.00033986988,-0.88330805,-0.00018285145,-7.5147545e-05,5.418106e-05,-6.850844e-05,-0.00015304307
-0.9849864,0.0011434562,-0.99979645,9.94811e-05,-0.9857526,-0.00024341082,-0.9159039,0.00019379752,-0.99984884,-0.0016087443,-0.97678286,3.9819963e-05,-0.8977766,0.000607536,-0.99954486,-0.0009868635,-0.9765914,0.0004739519,-0.9917469,0.00076204544,-0.9993913,-0.0010451871,-0.9829398,0.0005734179,0.00024122692,-0.00020424245,0.00021591823,0.00045208246
-0.98278123,0.00015494926,-0.9989288,1.7488623e-05,-0.9922083,-4.8097398e-05,-0.83434504,3.0104944e-05,-0.9967815,-0.00029287208,-0.1939546,6.6622597e-06,-0.82051796,7.121812e-05,-0.99804807,-0.00013197283,-0.48545533,6.7543704e-05,-0.9786727,0.000114650466,-0.99794024,-0.00013955869,-0.98678255,8.129701e-05,2.9355346e-05,-3.9836945e-05,2.6170397e-05,4.0081213e-05
