FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.0045792,-0.032018244,-2.4336376,-0.0049350187,-1.1559839,-0.0013446584,-0.7939062,-0.00393793,-2.3590767,0.04181844,-1.1409929,0.0024897829,-0.80366576,0.007149473,-2.4286704,0.0090062395,-1.0572112,0.02249755,-1.0298347,0.017959394,-2.4614165,-0.02024391,-1.112102,-0.00036996603,0.041847616,0.0037456155,0.021669,0.019170552
-1.0034779,0.0040352046,-2.4754357,-0.0020213202,-1.2056301,0.0036723837,-0.76048386,0.009272389,-2.3948708,-0.010925576,-1.1797624,0.003109701,-0.7368285,0.0062452257,-2.451642,-0.003055513,-1.1441476,-0.0013068691,-1.0116382,0.0019173175,-2.4859734,0.003324885,-1.2083251,0.004115343,-0.02223587,0.008575141,-0.0007380247,0.010401428
-0.99514794,0.00097610056,-2.4700937,-0.0022956207,-1.2401224,-0.0031699166,-0.77854955,0.00945285,-2.3660042,-0.0023963153,-1.0618393,0.009288035,-0.7533895,0.00037556887,-2.4240813,-0.0010288656,-1.019202,0.005141139,-0.9994055,-0.0007190481,-2.478801,0.0036076866,-1.23771,0.0023360401,-0.019524455,0.028494,0.0015991032,0.018250644
-0.9868092,0.010493383,-2.466516,-0.008628853,-1.2149684,0.007068105,-0.8084956,0.0075123087,-2.3349278,-0.016081043,-0.8884556,-0.0008083433,-0.78227663,-0.010618433,-2.4003563,-0.0041925013,-0.8536593,-0.0076293126,-0.98820674,0.0035433546,-2.4578056,-0.003310997,-1.1703854,0.010086283,-0.008139372,0.0050262213,0.014028668,-0.007535398
-0.9804002,-0.0031155348,-2.4683633,0.00406909,-1.2423561,0.013787858,-0.79894745,-0.0018028766,-2.3733842,-0.017660707,-0.6843271,-0.012144938,-0.775722,0.005750075,-2.4151425,-0.0017624497,-0.6715735,-0.00070179254,-1.0006174,0.007000707,-2.4974792,0.003867168,-1.2355926,-0.0072440207,-0.010128975,-0.017578542,-0.0070599914,-0.0056762695
-0.97411203,-0.0007818192,-2.4033642,-0.0030321106,-1.2615974,-0.0022879764,-0.82021034,0.0012296736,-2.2935138,-0.00093681365,-0.54775035,-0.00055690855,-0.7975478,-0.004135743,-2.3413255,-0.0011432245,-0.5123491,0.0014910251,-0.980819,0.0051310137,-2.4061127,-0.0055599995,-1.2259204,0.0015203208,0.0062766075,0.003660202,0.0076912344,0.0039857924
-0.9768552,-0.007614732,-2.4788017,0.001214236,-1.1916203,0.0150570795,-0.815182,-0.011866532,-2.2964973,-0.010427333,-0.48477077,-0.009162545,-0.78834844,0.003038898,-2.3415098,-0.0057989433,-0.47638953,0.0014036149,-0.9869905,-0.0022022948,-2.4867368,0.0038218535,-1.1820452,-0.012119368,-0.00014740229,-0.0032046437,-0.014942288,-0.008430481
-0.97258544,-0.006468907,-2.4462428,-0.0019259155,-1.2177322,0.007615663,-0.81861186,-0.0090853125,-2.2113442,-0.0016250387,-0.39054453,-0.0026950166,-0.7964699,-0.003113851,-2.2561755,-0.0039336383,-0.36706996,0.0018006712,-0.9775639,-0.003243558,-2.4441006,-0.0007746555,-1.1919153,-0.006530881,0.0076559186,0.00952214,-0.010458529,-0.00081706047
-0.9767687,-0.005663678,-2.5220947,0.008768059,-1.1191087,0.0069821104,-0.757077,-0.003720224,-2.1488757,-0.01630503,-0.35069346,-0.011435986,-0.73521024,0.0081790835,-2.175503,-0.006479278,-0.3393352,0.002849318,-0.9833263,-0.0030494481,-2.565588,0.009501267,-1.1869853,-0.015424371,-0.021864176,-0.020681798,-0.016098619,-0.011133432
-0.9785633,-0.004609242,-2.5605574,0.015114404,-1.061724,0.004240148,-0.7131209,0.0011541992,-2.0675824,-0.023659363,-0.30144215,-0.015390642,-0.6931854,0.013966963,-2.0819526,-0.007422313,-0.2926798,0.0036294535,-0.98425484,-0.0030680299,-2.631223,0.015257914,-1.187083,-0.019573301,-0.038903415,-0.037413657,-0.017917871,-0.015671492
-0.9741298,-0.003244862,-2.4598246,0.005616069,-1.1624599,-0.0014800206,-0.7342524,0.0023783445,-1.9480131,-0.0069859326,-0.30188787,-0.0043174326,-0.7200627,0.0012598187,-1.975837,-0.0026229173,-0.265388,0.0029281378,-0.9719772,-0.0028909668,-2.4857419,0.0059950165,-1.2024443,-0.0077539533,-0.008025467,-0.00729537,-0.0059634447,-0.0016011
-0.98069197,-0.0027347058,-2.5058746,0.0138460025,-1.1035852,0.0018306151,-0.67789537,0.005550638,-1.8780613,-0.020698413,-0.3646549,-0.012706548,-0.66271514,0.011078358,-1.8958278,-0.004209131,-0.33825684,0.0028832778,-0.9796616,-0.0016455725,-2.559302,0.015081201,-1.2006531,-0.015097961,-0.025440156,-0.031977832,-0.0074270964,-0.010723114
-0.9831052,0.0045878887,-2.4186656,-0.0029191226,-1.2262623,-0.008596249,-0.7096131,0.005411476,-1.785212,0.0072708577,-0.32629395,0.003220208,-0.7079011,-9.609759e-05,-1.8029872,0.002885066,-0.27367246,-0.0017320812,-0.9836132,0.0051070005,-2.4242406,-0.007532496,-1.2154403,0.010816053,0.0045850873,0.0011864901,0.0003324151,0.014363617
-0.9842716,-0.0029039532,-2.4446197,0.008625798,-1.1813674,-0.00093797594,-0.66786546,0.0038371831,-1.7196305,-0.012033969,-0.42779398,-0.0068401396,-0.65641165,0.00422211,-1.7428665,-0.0020234287,-0.38600993,0.0018843412,-0.97426176,-0.0014340654,-2.4677086,0.010055888,-1.2246823,-0.008623719,-0.0007483363,-0.016011238,0.0059475005,-0.003199339
-0.97441494,-0.0007724315,-2.3825474,0.00020772964,-1.1967511,-0.004075475,-0.676858,0.0014350191,-1.6310763,0.0075547397,-0.39762044,-0.00039473176,-0.6748023,-0.0033829063,-1.6575102,0.0035714284,-0.34379077,0.0013628677,-0.9696543,0.0007818714,-2.3757703,0.0017803125,-1.1862218,0.0022048503,0.012590647,0.0035506487,0.0008280575,0.005950898
-0.9735009,-0.0007504374,-2.3875918,-0.001548335,-1.176985,-0.0036456063,-0.6660676,-0.0029102787,-1.5832287,0.013227075,-0.406206,-0.00030764937,-0.66776085,-0.0033153892,-1.6045978,0.0042881668,-0.3576051,0.0012551472,-0.971961,0.0016919598,-2.3770778,-0.00028168038,-1.1642878,0.003935054,0.013559431,0.0038046837,-0.0032908916,0.005052179
