FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.1921229,0.0051465165,-2.8586833,-0.008767281,-0.9455855,0.006040003,-0.83571756,0.0008021146,-3.080132,-0.0012019117,-1.8829296,-0.0073300265,-0.840158,0.0114911925,-3.0198646,-0.0028062407,-1.908995,-0.006304239,-1.1301003,0.0009871591,-2.7781522,-0.011135422,-0.9447782,-0.0011158898,-0.0021079374,-0.00019339286,0.0079169115,0.0046712672
-0.8412035,-0.0022751,-1.8175526,0.0059842505,-0.5733224,-0.0037129326,-0.646561,0.0028882902,-1.8985671,0.00019096647,-1.1217434,0.0064347745,-0.62568676,-0.0025426932,-2.0089278,0.001946345,-1.1003824,-0.0012821294,-0.8715763,-0.0025216842,-1.75451,0.0036857165,-0.5380617,-0.00082828663,-0.0030986087,-0.0019311905,0.0048026913,0.0011871799
-1.3258533,0.01002885,-3.4154131,-0.017553072,-1.6656164,0.0048253313,-0.979059,-0.0077655315,-3.89334,-0.00064614625,-2.1948776,-0.011376802,-0.9920238,0.011889247,-3.7869272,-0.0071518514,-2.2934694,-0.0092749735,-1.2325199,0.007854573,-3.4871192,-0.028513998,-1.6623416,0.00022009388,0.0038031996,0.012088742,0.0017833827,-0.005699676
-0.8303568,-0.0029094322,-1.9012449,0.007014498,-0.716694,-0.0024068113,-0.6537324,0.0028180094,-1.735852,0.0010038139,-1.0399815,0.007629533,-0.6350315,-0.0028908383,-2.0060325,0.0068660276,-0.99660474,0.0011245944,-0.8423244,-0.00471099,-1.7978147,0.007020958,-0.6822939,0.0006897184,0.0011958522,0.00024632365,0.0065863472,0.0030044809
-0.87905055,-0.0022238996,-2.2152023,0.0037673842,-0.9993787,-0.0012363121,-0.7102124,-0.0007066922,-2.0555162,-0.00079336786,-1.1391718,-0.0028458536,-0.6916394,-0.0019046478,-1.8638828,0.0011747852,-0.99914086,-0.0016605845,-0.8958539,-0.0029830793,-2.156394,0.009122826,-1.0307475,0.0012062094,-0.005636994,-0.0009962693,-0.008518188,0.0038193502
-0.94354755,0.0004176423,-2.3381016,-0.0009946413,-1.0619211,0.0012278343,-0.7474773,-0.0013833297,-2.392839,0.0004321449,-1.0623407,0.0019957637,-0.7317041,-0.00074306317,-2.4837034,0.0007064063,-1.0509267,-0.00013438798,-0.95341057,1.3268087e-05,-2.3311474,0.004799973,-1.0677998,0.0021209242,0.0016601724,0.0026278961,-0.002323619,0.00039824098
-0.8670674,-0.0028187,-2.0684266,0.002269281,-1.0376376,3.334973e-05,-0.71280444,-0.0012485012,-2.0494163,0.00030160166,-0.6768719,0.004566174,-0.69328,-0.004532678,-2.135935,-0.0006852206,-0.67780125,0.0067996066,-0.88244116,-0.0028235635,-2.0546799,0.004666798,-1.0318302,0.0020012185,0.004238051,0.0010436904,0.0029762983,0.0075307796
-0.6645034,-0.008327019,-1.4324925,0.015835367,-0.6229457,-0.0071685733,-0.5817596,0.0029846309,-1.3447738,0.0006326512,-0.5205989,0.0073504713,-0.54966116,-0.01327275,-1.396928,0.009472711,-0.49789995,0.007630759,-0.7003069,-0.0038447662,-1.3662316,0.014180794,-0.5844451,0.0033640405,0.0003905343,-0.010331295,0.0009163056,0.004244709
-1.026222,-0.0002855342,-2.5146425,-0.005044855,-1.0467646,0.00015283935,-0.77279055,-0.0031274557,-2.495576,0.00023487478,-1.1841348,-0.00041967165,-0.76777864,-0.0021121092,-2.5926898,-0.01182921,-1.2147359,-0.002621024,-1.0185386,0.0012882124,-2.6063423,-0.010455448,-1.0611099,-0.0010976926,-0.0016133301,-0.0014298763,0.0059799897,0.0036769367
-0.7582641,-0.005881956,-1.777499,0.013652492,-0.68381643,-0.0041528735,-0.61560583,0.0073128636,-1.5579859,0.00077807804,-0.69225407,0.0023171427,-0.58393574,-0.0035494268,-1.4582504,0.011990509,-0.6320026,0.0051050084,-0.7999152,-0.0014853319,-1.7561823,0.012675801,-0.67852294,0.0013219127,-0.0038382623,-0.016454076,-0.004342676,0.0025537745
