FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.1656522,-0.016224504,-2.6748905,0.0017619208,-1.4220701,-0.08551604,-0.80573463,-0.05293004,-2.7930357,0.03134305,-1.6196496,0.043156162,-0.8313829,0.019023024,-2.9097211,-0.07560934,-1.6602899,-0.026320845,-1.0995727,0.04731887,-2.578325,-0.0865739,-1.577199,-0.08047487,0.02999249,0.045481317,0.073352374,-0.122957736
-0.9639799,0.0478338,-2.2206907,-0.039990567,-1.0084476,0.08855294,-0.8503778,-0.023522425,-2.589843,0.08240451,-1.5284576,0.055765092,-0.6438966,0.004407339,-2.650109,-0.005373895,-1.4388018,0.0013723671,-1.006121,-0.030738166,-2.2664444,0.06331762,-1.0593851,0.075599454,0.048343785,-0.05197233,0.0020573214,-0.07960142
-0.9032098,0.040752955,-2.2499514,-0.06512699,-1.2802881,0.081582785,-0.78370064,0.045014992,-2.5126853,-0.050116453,-1.3622887,-0.060578704,-0.81494117,0.019288905,-2.6303136,0.062333003,-1.4306939,0.026909783,-0.9095985,0.034161948,-2.3076406,-0.0048816055,-1.2572577,-0.04746347,-0.07581284,0.015665866,0.0078428015,-0.034674704
-0.99206847,0.04546705,-2.413299,-0.02839563,-0.9675733,0.14314906,-0.8839764,0.053470917,-2.424714,0.042933896,-1.1869357,-0.019774273,-0.795651,0.034351245,-2.5504966,-0.09718461,-1.1081569,0.0231255,-0.9933566,-0.023057928,-2.3862495,0.053563423,-0.95649207,0.020258233,0.12005968,-0.030206487,-0.0573864,-0.10492042
-1.0254099,-0.00957036,-2.5418544,0.013005316,-1.3632948,-0.054530732,-0.78906137,-0.015332263,-2.5246317,-0.010620045,-0.9080088,-0.00044576824,-0.7795168,0.0037444308,-2.5788167,-0.019617915,-0.953992,-0.024472296,-1.0080761,0.029428056,-2.4683874,-0.018385425,-1.4686086,-0.042590305,0.010485599,0.053404666,0.03390031,-0.05628428
-0.97452015,-0.01603812,-2.4928179,0.053263664,-1.2942401,-0.052318074,-0.78175163,-0.0013521798,-2.4141612,0.0032344921,-0.7771506,0.0014396906,-0.76448023,-0.010862038,-2.439568,-0.017917484,-0.78782123,-0.016301587,-0.99661046,0.02675228,-2.436301,0.015039511,-1.3799953,-0.0032313205,0.03038208,0.052333422,0.011419438,-0.023036653
-1.0068815,0.039479397,-2.4454412,-0.021809079,-1.3240378,0.09120969,-0.8253716,0.07265708,-2.279987,-0.073950686,-0.5792844,-0.06356153,-0.8687733,0.035894386,-2.3950005,-0.022288144,-0.66690844,0.0056844503,-1.0406598,0.01921952,-2.4668272,-0.0036730468,-1.3086635,-0.09134422,-0.050086856,0.0361344,-0.03391096,-0.081961304
-0.9901752,0.069226876,-2.434411,-0.102583,-1.1816477,-0.008439513,-0.7287999,0.008171011,-2.2985342,-0.018306544,-0.6892332,0.05564724,-0.7849569,0.035363726,-2.3981616,-0.001938194,-0.6607307,-0.0050313026,-0.92935884,0.030541362,-2.3995495,-0.1129421,-1.1155657,-0.053675324,-0.0736486,-0.03932637,0.0022284538,-0.014456544
-1.0425518,0.09486123,-2.3409624,-0.067070104,-1.1643738,-0.016580353,-0.7266065,0.023730934,-2.2122226,-0.030289164,-0.47979528,0.035476528,-0.7734874,0.018546425,-2.2244637,-0.018450737,-0.5136252,0.043779343,-0.91598207,0.068457656,-2.3371863,-0.07504663,-1.0940214,-0.074143425,-0.07495381,-0.05465071,0.0063032284,-0.013517303
-0.8969658,0.011669181,-2.2994447,0.027469404,-1.140027,0.072107375,-0.7818387,0.051462114,-1.8792468,-0.035339467,-0.2044974,-0.043651387,-0.7967912,0.0065068826,-1.954704,0.005865127,-0.27017614,0.017045885,-0.9775683,-0.005407272,-2.3234012,0.05669491,-1.091848,0.005362693,0.023982046,0.03602679,-0.056677334,-0.06987414
