FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.9995978,0.0020671543,-0.9997603,-0.005104788,-0.9343019,-0.002993144,-0.5077769,-0.003316978,-0.98651874,-0.004065797,-0.99998784,0.0020905526,-0.7164396,0.01466944,-0.97736776,-0.0026593388,-0.99608994,0.01327984,-0.9823118,0.006093436,-0.9998176,-0.014295804,-0.94323426,-0.00037514206,0.0012568145,-0.006500384,0.00613067,-0.0077386377
-0.999962,-0.0012868235,-0.99997574,-0.00028784107,-0.95729625,-0.00074914994,-0.8537318,0.00072738284,-1.0,-0.001490753,-0.99999416,0.0008141348,-0.7187346,-0.0020719531,-0.99999326,0.003623006,-0.99999845,0.00041696985,-0.9999891,0.0031180272,-0.9999996,-0.0011155396,-0.95215625,-0.0018002336,-0.0007863129,-0.0055080415,-0.0007225935,-0.0007586329
-0.8200398,-0.0021060125,-0.90584946,0.0031294562,-0.464424,-0.0049380674,-0.1609621,-0.0027877402,-0.92693955,-0.0011966295,-0.8066156,0.00037060535,-0.56004184,0.022295041,-0.85778445,-0.0069782226,-0.86553615,0.009840872,-0.8145486,0.0046766014,-0.9499841,-0.0075846342,-0.5805862,-0.0007393036,0.0019206973,-0.0021036724,0.0068369266,-0.0061376034
-0.99999434,0.0022760595,-0.9999996,-0.0034190284,-0.9410164,-0.0011710477,-0.7209443,-0.0016585275,-0.99999934,-0.0025575045,-0.9999567,0.00014801533,-0.74198407,0.0037240325,-0.9999988,-0.0018418,-0.9999805,0.009611648,-0.99932843,0.0031097305,-0.9999999,-0.006822528,-0.9480192,-0.002824902,-0.00023193628,-0.002454082,0.0020660793,-0.0033535962
-0.99999964,0.0018875279,-0.99998516,0.0016000569,-0.9851203,-0.0047033136,-0.7581028,-0.0018072239,-0.99999374,-0.002182999,-0.9998364,-6.3222833e-06,-0.7324438,0.00703607,-0.99999994,-0.0018121524,-0.99999225,0.013389313,-0.99994826,0.0044841045,-0.9999897,-0.012751235,-0.9865847,0.00051172875,0.0022784462,-0.0026869904,0.0051245866,-0.0072448943
-1.0,-0.006119686,-1.0,-0.0010638745,-0.9805815,-0.0016072956,-0.9792722,0.007223943,-1.0,-0.0032398493,-1.0,-0.0023902864,-0.883255,-0.026486475,-1.0,0.0068332395,-1.0,-0.016680341,-1.0,0.007122155,-1.0,0.01681851,-0.97127986,-0.0012950086,-0.0014156073,-0.0019944145,-0.015496262,0.005904604
-1.0,-0.007920512,-1.0,-0.0039181416,-0.9995431,-0.0024116514,-0.98435307,0.006663649,-1.0,-0.00020145287,-1.0,-0.0006830323,-0.8750016,-0.03196227,-1.0,0.009397673,-1.0,-0.010546682,-1.0,0.006253647,-1.0,0.009870769,-0.9993435,-0.0036504972,0.0016680261,0.0051018805,-0.012949025,0.0039710463
-1.0,-0.0061839162,-1.0,-0.0036200238,-0.99408597,-0.0004413782,-0.9632329,0.005567501,-1.0,-0.0024245689,-1.0,-0.00059579726,-0.8390773,-0.019250862,-1.0,0.008214302,-1.0,-0.010209356,-1.0,0.00667844,-1.0,0.008352031,-0.99188393,-0.0003148649,-0.00080009317,-5.663e-05,-0.011069151,0.003808712
-0.9998936,0.0016668019,-0.9999956,-0.0010994328,-0.1923541,-0.0024235644,-0.6567387,7.187575e-05,-0.9999997,-0.0019576375,-0.999904,0.0010244438,-0.6041345,0.00015346147,-0.99999785,-0.0013901242,-0.9999924,0.007355667,-0.9996739,0.0041939425,-0.99999774,-0.004508593,-0.23245521,-0.0026732509,-0.0026741314,-0.0046345764,0.0025933727,-0.0026052434
-1.0,-0.0040285154,-0.9999998,-0.003358113,-0.99834144,-0.0011728058,-0.9066482,0.0031057706,-1.0,-0.0029020074,-1.0,0.00013851747,-0.9162506,-0.014671679,-1.0,0.0029223813,-0.9999995,-0.004648993,-0.9999995,0.0028236064,-1.0,0.0058486206,-0.99833626,-0.004403433,0.0019727887,-0.0048484905,-0.007992441,0.0023582114
