FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.99994487,-0.019920709,-0.9999946,-0.005892615,-0.9585968,0.010071533,-0.9083487,0.011977688,-0.9999859,0.0075922445,-0.9989576,-0.0027584662,-0.99315053,0.002795093,-0.99999547,-0.007410307,-0.9362661,0.008257283,-0.9981494,0.0017646588,-0.99999094,-0.0052513294,-0.9656691,-0.0031322436,-0.0038006867,0.00560055,0.0017350112,-0.0040684827
-0.9998158,-0.018890249,-0.9999816,-0.0050168475,-0.9491759,0.017801922,-0.8893947,0.009562655,-0.99993443,0.0003396375,-0.9970589,-0.0033531808,-0.9831549,-0.0042472524,-0.9999783,-0.001849029,-0.9053773,0.0046112137,-0.99499404,0.0040137796,-0.9999519,-0.010223837,-0.96267325,-0.0004320368,-0.0058146208,0.0057608816,0.0005351118,-0.0071028727
-0.99978006,-0.017040197,-0.99997884,-0.004449543,-0.9534824,0.018775044,-0.8855806,0.009867802,-0.9999119,-0.002347261,-0.9964701,-0.0028380526,-0.98031306,-0.0055967732,-0.99997216,-0.0005594026,-0.8942892,0.0029008233,-0.99402815,0.0037501333,-0.99993587,-0.009993444,-0.96452934,0.0009823438,-0.0073501784,0.005583705,-0.00082400796,-0.0086763445
-0.9999689,-0.015378589,-0.9999969,-0.0040061446,-0.9643069,0.008958041,-0.91545856,0.01321078,-0.99999285,0.0081908535,-0.99934286,-0.0050092516,-0.99548316,0.0031686765,-0.9999978,-0.0075503476,-0.9468657,0.006614529,-0.99882275,-0.0012565304,-0.9999957,-0.004942377,-0.96526873,-0.0036162725,-0.003408985,0.005125575,-0.00053336093,-0.005520001
-0.9999463,-0.0151673695,-0.99999535,-0.007930906,-0.9724784,0.008696203,-0.906726,-0.0008521897,-0.999983,0.015069308,-0.9989062,-0.001972628,-0.99283427,0.011485653,-0.9999955,-0.014042004,-0.9281378,0.0029642645,-0.9979803,-0.00067612703,-0.9999904,-0.020051861,-0.9697618,-0.013446944,-0.00816932,-0.002888798,-0.004238807,-0.0007222331
-0.9998632,-0.012272248,-0.9999884,-0.006821359,-0.97115993,0.014473799,-0.8913046,-0.002082844,-0.99994,0.007729975,-0.9974747,-0.00090210116,-0.98531115,0.005545604,-0.99998444,-0.009120202,-0.8982599,-0.0006748511,-0.9954933,0.000567818,-0.99996316,-0.022045363,-0.9686737,-0.010241671,-0.010625574,-0.0031241747,-0.005831686,-0.00404029
-0.99987215,-0.009849751,-0.99998915,-0.005907217,-0.97274756,0.014335946,-0.89184767,-0.0011022235,-0.9999428,0.006614234,-0.99756384,-0.0014637549,-0.9859147,0.0049206815,-0.99998546,-0.008618929,-0.8996387,-0.001436091,-0.99567354,-0.00027645566,-0.9999654,-0.020899128,-0.96803594,-0.009430241,-0.010272142,-0.0032756287,-0.0064912755,-0.00468596
-0.9999714,-0.008180138,-0.9999975,-0.003455316,-0.97760355,0.008305657,-0.913766,0.0017935539,-0.99999166,0.013662556,-0.99932605,-0.0014794309,-0.9954198,0.010111896,-0.9999979,-0.013330905,-0.94001734,0.0016351774,-0.99875265,-0.0007565933,-0.99999565,-0.014941594,-0.9692775,-0.010609899,-0.008660264,-0.0015743884,-0.0061842795,-0.0014500645
-0.9999753,-0.0047304723,-0.99999785,-0.0021028377,-0.9789161,0.010660661,-0.91509974,-0.0012405881,-0.9999928,0.013016334,-0.9993965,0.002532909,-0.9958972,0.0076491237,-0.9999982,-0.011594564,-0.94205767,0.00045673546,-0.9988782,-0.0016779865,-0.9999963,-0.015371542,-0.9684492,-0.010973013,-0.010595119,-0.0030413847,-0.006988639,-0.0030611695
-0.99997306,-0.002095443,-0.9999976,-0.002234012,-0.97997904,0.00926045,-0.91363317,0.0005251839,-0.99999154,0.011325072,-0.99933046,0.000584796,-0.99558216,0.0074112997,-0.999998,-0.011357443,-0.9400037,-0.0002059117,-0.9987736,-0.0042611905,-0.9999957,-0.013909397,-0.96703804,-0.010324923,-0.008532884,-0.004334937,-0.007181659,-0.0037079172
-0.99993813,-0.0018906124,-0.9999947,-0.003544379,-0.9786066,0.00934061,-0.901872,0.0016076327,-0.9999748,0.0067215324,-0.9986108,-0.0006518959,-0.9917237,0.005418769,-0.999994,-0.009911523,-0.919566,-0.00083424133,-0.99754596,-0.005058575,-0.9999863,-0.012989744,-0.9660303,-0.008218446,-0.0066895382,-0.005674279,-0.006168723,-0.0040372056
-0.99997616,8.952618e-05,-0.9999979,-0.0019867208,-0.98044735,0.010778502,-0.91502726,-0.0062427083,-0.9999927,0.012258723,-0.99940085,0.010204587,-0.99604744,0.0047396068,-0.9999983,-0.010318969,-0.9414538,0.0007204785,-0.9988945,-0.005554874,-0.9999963,-0.012980596,-0.966533,-0.011947839,-0.010468935,-0.008117818,-0.0054379352,-0.0036774597
-0.99987817,-0.00050447875,-0.9999896,-0.0037793152,-0.97749615,0.011410695,-0.8907758,-0.0016432613,-0.99993825,0.002761993,-0.9974871,0.004653644,-0.9863086,0.001375123,-0.9999854,-0.0075351866,-0.8963042,-0.0010612194,-0.9956778,-0.005043812,-0.9999644,-0.011593746,-0.9653627,-0.0065973336,-0.0072999047,-0.008172487,-0.004519838,-0.0043394407
-0.99968356,0.00031869113,-0.9999734,-0.0038612704,-0.9752928,0.01601361,-0.8732298,-0.0047514155,-0.9997846,-0.0029058496,-0.99423796,0.008451946,-0.9720375,-0.0038572806,-0.9999496,-0.0037131493,-0.85403615,-0.002805587,-0.9903961,-0.0037418224,-0.99986416,-0.012802706,-0.9647402,-0.0043925806,-0.009291039,-0.009535799,-0.004136572,-0.0060146432
-0.9999733,0.001006126,-0.9999976,-0.0034804018,-0.980649,0.007132707,-0.9137197,-0.008185614,-0.99999154,0.012507676,-0.9993384,0.014855916,-0.99576795,0.0047358815,-0.99999803,-0.011522243,-0.9386311,0.0032621282,-0.9987966,-0.008510222,-0.9999957,-0.008314477,-0.96577466,-0.012330146,-0.0075771254,-0.012122238,-0.0019178852,-0.0014953713
