FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.96514547,-2.9641378e-06,-0.99511003,2.001386e-05,-0.6961238,1.0962991e-05,-0.91077924,1.649806e-05,-0.9957959,4.478608e-05,-0.9602425,-4.5917986e-05,-0.9834499,-1.3240915e-06,-0.99614495,-5.7292753e-05,-0.8880285,-1.02233025e-05,-0.9759267,-1.2358636e-05,-0.99776566,-3.257784e-05,-0.8530124,-3.0849224e-06,-7.758406e-05,-6.4659835e-06,-2.0449443e-06,-5.8524078e-05
-0.99756664,-3.0099938e-05,-0.99978834,0.00016246745,-0.7261977,7.30211e-05,-0.978037,0.00016423102,-0.99976295,0.00035099848,-0.99745005,-0.00040002968,-0.99771786,-1.1909076e-05,-0.9998849,-0.0005156141,-0.9427696,-9.181835e-05,-0.99834216,-9.944243e-05,-0.9998512,-0.00023970666,-0.95917356,-2.0996948e-05,-0.0008718099,-4.8014612e-05,-2.6593545e-05,-0.00062109757
-0.96327466,1.7337097e-05,-0.9931686,-9.5971714e-05,-0.7743022,-3.941344e-05,-0.89861554,-0.00010510831,-0.991184,-0.0002166697,-0.94401896,0.00024525222,-0.95236194,6.8231675e-06,-0.9899132,0.00031925115,-0.84967196,5.1673036e-05,-0.96824116,5.772071e-05,-0.99261594,0.00014648883,-0.71854144,1.0894095e-05,0.0005827774,2.7440517e-05,1.6618971e-05,0.0003973953
-0.9309559,2.3922305e-05,-0.9812899,-0.0001290997,-0.7336776,-5.4815326e-05,-0.839312,-0.00014313211,-0.9882243,-0.0002915986,-0.915283,0.00031938672,-0.9382758,9.516498e-06,-0.98867387,0.0004296753,-0.69745034,7.02048e-05,-0.94748586,7.916734e-05,-0.99144936,0.00019848646,-0.966251,1.5917993e-05,0.0007571967,3.7210702e-05,2.1731877e-05,0.0005141589
-0.99691856,3.279822e-05,-0.99879473,-0.00018393446,-0.84857506,-7.632471e-05,-0.994858,-0.00021404703,-0.9992015,-0.0004173333,-0.98452735,0.00044155968,-0.99877363,1.3722929e-05,-0.9991376,0.00063386594,-0.9572281,0.00010455452,-0.99931073,0.00011269559,-0.9998612,0.0002868423,-0.9951576,2.08698e-05,0.0011181126,5.3656542e-05,3.15723e-05,0.00076403754
-0.9999542,5.108457e-06,-0.9999979,-1.0583404e-05,-0.99826044,-2.6924245e-06,-0.99924314,-8.127623e-06,-0.9999973,-3.625435e-05,-0.9997665,3.790704e-05,-0.9999198,1.5168935e-06,-0.9999958,6.183924e-05,-0.99040014,5.525115e-06,-0.9998479,-1.9161962e-07,-0.99999624,-5.823269e-06,-0.9999761,-5.230868e-07,6.4021675e-05,7.5534263e-06,4.0890664e-06,1.997943e-05
-0.8899293,5.1776777e-05,-0.9503176,-0.00027997437,-0.9183079,-0.00011996468,-0.8057682,-0.00029812116,-0.919824,-0.00061570236,-0.6577377,0.0006848799,-0.8534501,2.0599879e-05,-0.89834774,0.0009093776,-0.8312009,0.00015389238,-0.8394461,0.00016913188,-0.9692254,0.00041866486,-0.6724548,3.3747026e-05,0.0015861894,8.024961e-05,4.6579382e-05,0.0010980631
-0.8707825,4.0013707e-05,-0.93047667,-0.00021937232,-0.4834432,-9.241836e-05,-0.8104625,-0.00023675195,-0.9497017,-0.00049039046,-0.9026138,0.00054276834,-0.8603914,1.5863858e-05,-0.94769365,0.00072041247,-0.7368782,0.00011987777,-0.84684783,0.00013446243,-0.94718313,0.00033541775,-0.5588338,2.6432905e-05,0.0012787423,6.299385e-05,3.6416313e-05,0.0008857035
-0.98916847,9.086092e-06,-0.9944371,-5.2129093e-05,-0.98352665,-2.1450498e-05,-0.91959554,-5.840545e-05,-0.9985845,-0.00011747709,-0.96371526,0.00012466067,-0.98647404,3.543386e-06,-0.9967768,0.00017088442,-0.927925,2.9853443e-05,-0.97693664,3.155232e-05,-0.99650633,8.436755e-05,-0.8253329,6.119055e-06,0.00030795368,1.383762e-05,9.629603e-06,0.00021736242
-0.97694874,1.81215e-06,-0.9954444,-4.8143265e-06,-0.7407336,2.2822205e-06,-0.9088044,-1.3098266e-05,-0.9931832,-2.412661e-05,-0.96818,2.3631263e-05,-0.9712803,9.655032e-07,-0.9965883,3.685907e-05,-0.78511983,1.9566505e-07,-0.96556664,1.8271967e-06,-0.9967245,1.39600015e-05,-0.97708666,2.7186616e-08,6.368128e-05,1.9551517e-06,1.6895283e-06,3.65976e-05
