FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.0355343,0.004042104,-2.3599627,-0.0052541755,-1.0796101,-0.005335998,-0.9427388,-0.0035874434,-2.430933,0.0052412525,-0.97464573,0.002646327,-0.9908938,-0.006795574,-2.3963766,-0.0067286193,-1.019659,-0.0051931627,-1.0101736,-0.0021469812,-2.370514,0.0008011833,-0.995974,0.00486549,-0.009451151,-0.012165487,0.023543835,0.0004810691
-1.0507817,0.0047593266,-2.4168758,-0.006568555,-0.97182155,0.0012129731,-0.9276975,0.0020316802,-2.50629,-0.0044881627,-0.9254018,0.005482286,-0.9936003,-0.0031618811,-2.4959931,0.0027334392,-0.9661286,0.003086999,-1.0049812,-0.0019004713,-2.488953,0.013353564,-1.0282065,-0.005336158,-0.037134707,-0.03963697,-0.0011395812,-0.026301324
-1.0475168,0.004180193,-2.4013848,-0.005306665,-1.0189351,3.9163977e-05,-0.93335223,-0.00048597902,-2.4513118,-0.003587328,-0.88793933,0.004641354,-0.99527794,-0.00430898,-2.4756105,0.0004504025,-0.9888097,0.0013937019,-1.007035,-0.0018067094,-2.4669616,0.010440879,-1.0413358,-0.0032220185,-0.028054476,-0.027892172,0.0063096583,-0.019646823
-1.0504719,0.0043304116,-2.416939,-0.0057608224,-1.0535285,0.00074731186,-0.9438988,-0.0018248372,-2.4190054,-0.00036353618,-0.8221395,0.0068020374,-1.0030463,-0.0044421405,-2.4786754,0.0004950464,-1.0050822,-0.0012108758,-1.0141943,-0.0013598646,-2.4583437,0.0072997287,-1.0394622,-0.003534697,-0.025602221,-0.026475847,0.009463817,-0.012717187
-1.0528257,0.0025924295,-2.3675747,-0.0023457445,-1.0751753,-0.0023130216,-0.9519523,-0.00053231046,-2.3579848,-0.0063327476,-0.67230225,-0.007712662,-1.0214866,0.002536282,-2.4845688,-0.0027858168,-1.067244,0.0006137006,-1.0275704,-0.0021423805,-2.3935924,0.0046902224,-1.079881,-0.001694981,-0.006213844,-0.002600491,0.002661556,-0.015634358
-1.0539048,-0.0013570637,-2.3800828,-0.004982602,-1.0446088,-0.004632991,-0.9499888,-0.0012896508,-2.3202858,-0.008976646,-0.60409427,-0.014171645,-1.0248611,0.001408387,-2.4964018,-0.0056744292,-1.0659845,0.007478006,-1.0275486,-0.0017783861,-2.4333384,0.0033878088,-1.0972363,-0.0018530563,-0.004858732,0.0053473115,0.00409925,-0.02557826
-1.0612297,0.0033019632,-2.4174833,-0.0034482367,-1.116112,0.0005417131,-0.97105813,-0.0030246265,-2.2976646,0.0006281063,-0.5188261,-0.0018655956,-1.0382761,0.0027226433,-2.509395,-0.0007791072,-1.0866861,-0.0043215193,-1.0439905,-0.000934131,-2.4002404,-0.0012379065,-1.0647815,-0.0038634315,-0.0059565306,-0.0066618323,0.0050204396,-0.005222976
-1.0562962,0.0034110546,-2.420795,0.0012064315,-1.0482416,0.0013425611,-0.9567244,-0.007080134,-2.2500472,-0.008759819,-0.46405637,-0.005055018,-1.0305051,0.00048471242,-2.5325944,-0.00019176304,-1.0630337,0.001188226,-1.0388122,-0.00059748394,-2.4786458,0.0017193332,-1.0964849,-0.004009649,-0.007820606,-0.0011697412,0.0039877594,-0.024174035
-1.0608621,0.0027837157,-2.452452,-0.001999665,-1.0790179,0.00095945224,-0.96815646,-0.004247114,-2.2192936,-0.004343398,-0.39030278,-0.001555562,-1.0442297,0.0015675686,-2.532976,0.0015781224,-1.0657483,-0.000680957,-1.0502115,-4.789559e-05,-2.4669726,-0.00082366914,-1.0735167,-0.0042435303,-0.008661509,-0.005161226,0.00042170286,-0.012859583
-1.0567911,0.00040106475,-2.458803,-0.0016504638,-1.0236118,-0.002737891,-0.9597651,-0.0029217117,-2.1692724,-0.013623096,-0.33643723,-0.005252488,-1.0458255,0.00058181956,-2.5401208,0.0017912984,-1.0446378,0.0070808195,-1.0491257,0.0004235697,-2.515328,0.0028606728,-1.0900885,-0.0020926818,-0.00936842,0.0018130541,-0.0072264075,-0.023691654
