FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.0627897,-0.037662506,-2.3316019,-0.05430042,-0.9428148,-0.038866088,-0.95426524,0.048823744,-2.8855321,0.0064303894,-1.5261457,0.03632818,-0.95338917,-0.09371043,-2.293943,0.1118285,-0.44021288,0.02660833,-0.9417245,-0.08739322,-2.7891076,0.081192136,-1.7137378,-0.04178212,0.012022633,-0.033987775,0.00057724863,-0.11627819
-1.0973126,-0.013982594,-2.353819,-0.043116942,-0.7182442,-0.04044439,-1.0056444,0.018006563,-2.8153343,-0.018479345,-1.604357,0.009038396,-1.0131373,-0.034586594,-2.3464415,0.053830713,-0.3864079,-0.015500918,-1.0175194,-0.039696984,-2.8856485,0.10989113,-1.8083528,0.036668632,0.021190103,-0.023963273,0.011624537,-0.08026309
-1.1015973,-0.022483796,-2.3867714,-0.040932924,-0.73576826,-0.019360319,-1.0162009,0.0142816305,-2.8258333,-0.01992405,-1.5969995,0.0008291751,-1.0083327,-0.026124932,-2.357781,0.038794175,-0.41667235,-0.023023203,-1.0358082,-0.024474375,-2.8794365,0.09232305,-1.8100125,0.022772644,0.0083463155,-0.0071662664,0.005978264,-0.069791
-0.9103434,0.037682988,-1.9628081,-0.022253994,-1.064411,-0.051368818,-0.79096407,0.037941635,-2.4376194,-0.032114543,-1.209012,-0.0038184486,-0.86995363,0.00151629,-1.959693,0.029592402,-0.7013061,0.01969792,-0.8589784,0.024473242,-2.2747216,0.03293328,-1.3354818,0.01533043,0.05592608,-0.031110942,0.028245367,0.05812975
-1.0061903,-0.008580491,-2.5467684,0.008049965,-1.0678419,-0.0052590966,-0.9349856,-0.010357976,-2.7308774,-0.031392112,-0.9199879,-0.018515889,-0.9908951,-0.02100423,-2.5141082,-0.017154373,-0.9787257,-0.0010470897,-1.0533475,-0.019015081,-2.6768856,-0.07009573,-1.5691766,0.049521845,-0.0377297,-0.007807359,-0.07121189,0.07084886
-1.0442044,-0.0033525229,-2.6292455,-0.07546301,-0.7850729,0.03906955,-1.0531111,0.062532425,-2.9489193,0.0111600235,-1.282058,0.05275987,-1.0078456,0.07744804,-2.5488236,-0.047029868,-1.0112203,0.015716795,-1.2094681,0.024998307,-2.8190377,-0.084964365,-1.6409551,-0.06632115,-0.033987343,0.052456707,-0.018820878,0.029543556
-0.97852933,0.0017797947,-2.4159555,0.016349368,-0.8762661,-0.016027585,-0.9583265,-0.0017630905,-2.6743302,-0.04651764,-0.7859343,-0.041784894,-0.9931972,0.0014028838,-2.5232387,-0.02420346,-0.9236336,0.020674419,-1.0404315,0.0251837,-2.6259203,-0.04511057,-1.645631,0.012968298,-0.040422734,-0.017310604,-0.035114314,0.04905074
-1.0391936,0.016910978,-2.6187725,-0.07797663,-0.8828212,0.02860038,-1.070809,0.05017051,-2.8976939,0.010814549,-1.1639916,0.040382825,-1.0061355,0.07546856,-2.5289638,-0.060407177,-0.9766884,0.032821234,-1.1962348,0.043509714,-2.8074176,-0.08855975,-1.6051058,-0.07554747,-0.03899238,0.05805254,-0.025498684,0.026436187
-0.974517,0.00016325712,-2.576057,0.018756717,-1.1014692,-0.018290207,-0.90866995,-0.0052965656,-2.4456124,-0.031337604,-0.63591146,0.014133111,-1.0031898,0.00015632715,-2.5107098,-0.0053635687,-0.9846041,0.024915941,-1.0755308,0.01578959,-2.5130434,-0.052128926,-1.4691916,-0.017204959,-0.0178908,-0.0241618,-0.030308638,0.04290598
-0.9693116,0.002358541,-2.5929708,0.022831067,-1.1277198,-0.020218253,-0.8975048,-0.005096175,-2.3526545,-0.028933486,-0.5571735,0.026237644,-1.0070748,0.0031288257,-2.5061705,-0.0019913986,-0.98882127,0.03029862,-1.0832595,0.021575503,-2.4673448,-0.048857585,-1.4286785,-0.034637157,-0.011726711,-0.029007852,-0.020590927,0.03525833
