FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.0032989,-0.00875763,-2.3021655,-0.0005338001,-0.48198414,-0.0056321984,-0.8780504,-0.00058990624,-2.5196822,0.0019808775,-1.0984867,-0.002842214,-0.9799936,-0.003799431,-2.3866773,-0.00021717336,-0.68159187,-0.0033267853,-0.999712,-0.0012444047,-2.6149406,0.0005095997,-1.2960941,0.0020265179,-0.016613305,-0.0033307672,-0.01391983,-0.0046885014
-0.97491765,-0.00457023,-1.9524705,-0.00028954097,-0.9496356,-0.0022274172,-0.86714107,0.0013554699,-2.1553018,0.004801468,-1.361144,-0.0042431448,-0.970443,-0.009633042,-1.9812706,-0.000113314134,-1.0161741,-0.0012801499,-0.9714714,-0.0005764775,-1.931064,0.00076893775,-1.0445288,-0.0009843926,0.04973629,0.045934975,0.04232818,0.018911213
-0.97952753,0.00028668204,-2.0756075,0.0006347825,-1.3270868,0.0009781262,-0.8830459,0.0017480028,-2.0924492,0.0037631616,-1.2619088,-0.0039384225,-0.9660075,-0.009553462,-2.025768,0.00033921143,-1.0228431,0.00055915565,-0.9789502,0.00018888408,-1.8980607,0.0010011197,-0.96489596,-0.0023650862,0.052552998,0.049880385,0.045590043,0.021266937
-1.0383964,0.004298692,-2.6730595,-0.0008266298,-0.5144911,0.0023696828,-0.9059619,-0.0029125456,-2.6262195,-0.005359822,-0.80463266,0.0038946532,-1.006293,0.007054694,-2.7260795,0.00066122273,-0.7937907,-0.00027291413,-1.0194836,-0.00021921037,-2.7601314,-0.0012833793,-0.75397086,0.0011355304,-0.054553032,-0.030634463,-0.044757247,-0.018427253
-0.9751995,-0.0054749586,-1.7440302,-0.0008231035,-1.1783235,-0.0011431379,-0.89432895,0.0014226038,-1.8938155,0.008160938,-1.4212095,-0.008895571,-1.0097739,-0.019267038,-1.9157968,-0.00087126245,-1.1980002,-0.0023853844,-0.9728545,-0.00065694866,-1.4521682,0.00056320184,-0.8358122,-0.0020611533,0.090266496,0.08371952,0.07787463,0.034587145
-1.0038188,-0.004017025,-2.3076952,-0.0029892826,-1.2081544,-0.00081290584,-0.9034178,-0.0025170427,-2.2327757,0.0032071276,-1.0092432,-0.004757005,-0.9730774,-0.009284377,-2.1688805,-0.0012500221,-0.8516767,-0.003921081,-1.0050014,-0.0011783611,-2.263917,-0.0018830394,-1.116797,0.00073789526,0.017591298,0.03094861,0.016467988,0.008923352
-1.0597451,0.0017209866,-3.0205615,-0.0013487958,-0.36802852,-0.00021569338,-0.9321584,-0.0046641454,-2.8746357,-0.00976402,-0.35793257,0.0078793205,-0.9897948,0.017014705,-2.9352453,0.00064500864,-0.5125743,-0.0012896662,-1.0627173,-0.0006094471,-3.5619416,-0.0019643942,-1.2563013,0.0038725566,-0.11506629,-0.08141869,-0.09861463,-0.04392308
-1.028748,-0.0034917777,-2.3946338,0.000706299,-0.81767535,-0.0027465513,-0.9060218,0.0004182025,-2.3945355,-0.00040393881,-0.92478585,0.0007969998,-1.0047675,0.0014582574,-2.3716414,0.00075238943,-0.88193834,-0.00030795188,-1.015312,-0.00066745066,-2.4007835,0.0006917337,-0.8239615,0.0011338112,-0.012473583,-0.0138322115,-0.012247026,-0.0066708326
-1.0274655,0.007835447,-2.6004844,-0.002263626,-1.1152258,0.0061453297,-0.9301967,-0.0036569233,-2.3509912,-0.004253869,-0.6759869,0.0023660623,-0.9849167,0.004110679,-2.5188785,-0.0001233588,-0.8492904,0.0001494275,-1.031874,5.2487667e-05,-2.6308131,-0.0027976613,-0.9622166,-2.3754314e-05,-0.024098635,0.000107347965,-0.017248154,-0.0076215267
-1.0112468,0.01118812,-2.4405882,-0.0004284319,-1.5626467,0.008342737,-0.9235508,-0.0014446978,-2.096353,-0.0018753409,-0.7881801,0.0004935339,-0.97908145,-0.0014395062,-2.2641652,0.00080256816,-1.0330844,0.0024882103,-1.0152872,0.00077211845,-2.26396,-0.0014580727,-0.8165952,-0.0023637107,0.017596602,0.02929449,0.018921494,0.009615004
-1.0328736,0.002279241,-2.6751163,-0.0012052767,-1.2497535,0.0015552025,-0.91619897,-0.0027970178,-2.4310813,-0.003560462,-0.5571822,0.0028134258,-0.9610196,0.0042226054,-2.4249556,0.00043561053,-0.69136286,8.313003e-05,-1.0389714,-0.00020539713,-2.9056683,-0.0016035484,-1.231957,0.0010542953,-0.040403664,-0.02758056,-0.032963276,-0.014953852
