FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.0,-0.0019772702,-1.0,-0.0035383007,-1.0,-0.00016702386,-1.0,-0.005281543,-1.0,-0.0029976985,-1.0,-0.00011891639,-1.0,0.00031685262,-1.0,-0.0024469565,-1.0,3.194291e-05,-1.0,-0.0052364524,-1.0,0.0027374867,-1.0,0.0036837547,-0.003125008,-0.0095779495,-0.0031329594,-0.0028776254
-1.0,-0.0018666332,-1.0,-0.004273041,-1.0,0.0010582622,-0.9999995,-0.006839501,-1.0,-0.004263324,-1.0,-0.0009548084,-1.0,-0.00043045043,-1.0,-0.0021486552,-1.0,-0.0017379766,-1.0,-0.0042785057,-1.0,0.002666724,-1.0,0.003019783,-0.0041913236,-0.011467828,-0.002587203,-0.00096809457
-1.0,-0.00042956593,-1.0,-0.001320567,-0.9999925,0.00076147664,-0.9999974,-0.004549879,-1.0,-0.0014801102,-1.0,-0.001365866,-0.9999991,-0.0003438472,-1.0,-0.001813148,-0.9999374,-0.0002891462,-1.0,-0.000739653,-1.0,0.0019400861,-1.0,0.0038620466,0.00052623457,-0.008754713,-0.0024986323,-0.0002343979
-1.0,-0.0020924367,-1.0,-0.0024814392,-0.99999946,0.0018670637,-0.9999986,-0.0053429184,-1.0,-0.00027162977,-1.0,-0.0008427711,-0.99999875,0.00022469726,-1.0,-0.00021783408,-0.99999976,-0.0025934766,-0.99999994,-0.00095620955,-1.0,0.0012684907,-0.99999624,-9.1671944e-05,-0.0060781757,-0.0029312535,-0.0005894387,-0.0028080235
-1.0,-0.0029184278,-1.0,-0.0024355075,-1.0,0.00019629952,-0.99997526,-0.00392577,-1.0,-0.0010359939,-1.0,0.0006404774,-1.0,0.0020290923,-1.0,-0.0007918739,-1.0,0.00022037845,-1.0,-0.0015519588,-1.0,0.0011246516,-0.99999964,0.0013829434,-0.002133479,-0.0008291634,-0.0005816732,-0.00429862
-1.0,-0.0039370046,-1.0,-0.0032849542,-1.0,0.0017664382,-1.0,-0.0051686005,-1.0,-0.0016704705,-1.0,-0.00021701609,-1.0,0.0030761394,-1.0,-0.00211396,-1.0,-0.0012774598,-1.0,-0.0040673087,-1.0,0.003222708,-1.0,0.0027027037,-0.00270324,-0.0073509216,-0.0028760275,-0.0025825843
-0.9999998,-0.0025508695,-1.0,-0.0011728738,-0.99996895,0.0033515964,-0.99998784,-0.0056094048,-1.0,-8.749147e-05,-0.99999994,-0.0010272651,-0.99999547,-0.000494134,-1.0,-0.0010623221,-0.99997777,-0.0020688646,-1.0,0.0026585192,-1.0,-0.0003678554,-0.9999998,0.0015433743,-0.0064439652,-0.0066362876,-0.0030876235,-0.0013807953
-1.0,-0.0031787716,-1.0,-0.0026996892,-0.99999964,0.0026966247,-0.9999996,-0.0072686723,-1.0,-0.0036850902,-1.0,-0.0025828364,-1.0,-0.0012838573,-1.0,-0.00062312454,-0.99818337,-0.0041979016,-1.0,-0.0006133881,-1.0,0.00055523467,-1.0,0.0007509227,-0.009359441,-0.0113230385,-0.0028049476,-0.003864874
-0.99999994,-0.0029053185,-1.0,-0.0009516732,-0.99999297,0.00081885775,-0.9990053,-0.0035872338,-1.0,-0.00057567173,-0.99999994,0.0011266123,-0.99999654,0.0023900254,-1.0,-2.680521e-06,-0.99990195,0.0011458218,-1.0,0.0011725248,-1.0,-0.00018359534,-0.9999147,0.0025413951,-0.0007944713,0.00037480795,-0.0011533946,-0.0034910578
-1.0,-0.0043291543,-1.0,-0.003640838,-1.0,0.0017888069,-0.9999958,-0.006356906,-1.0,-0.002124094,-1.0,-0.0025031026,-1.0,0.0022950051,-1.0,-0.0007012176,-0.9999997,-0.002930878,-1.0,-0.0024247668,-1.0,0.001654605,-0.99999994,0.0011280216,-0.0038205737,-0.009155869,-0.0018190983,-0.0019743852
-0.9999992,-0.0011340375,-1.0,-0.0011586059,-0.9999998,0.0018464904,-0.9999595,-0.0042126803,-1.0,-0.0025446806,-0.9999919,-0.00030985335,-0.99999994,-0.0005024489,-1.0,-0.00072171626,-0.98530513,-0.0005512731,-0.99999994,0.00037304914,-1.0,0.0010941557,-0.99999297,0.0023550421,-0.0011373076,-0.0035438882,-0.0011923113,-0.0032899005
-1.0,-0.002289322,-1.0,-0.0018562034,-0.99999934,-2.2091903e-05,-0.99999857,-0.0026857932,-1.0,0.0020938595,-1.0,0.0005273299,-0.99999994,0.0038970837,-1.0,-0.0017251492,-1.0,0.0015417042,-1.0,-0.0010257066,-1.0,0.0016205974,-1.0,0.0036275843,0.0028788142,-0.0009960921,-0.000988507,-0.0006298364
-0.99999815,-0.0026719768,-0.9999999,-0.0015530641,-0.99551666,0.0015682179,-0.9994881,-0.0047050347,-0.9999999,0.0006685479,-0.99999774,-0.0021790448,-0.99978507,0.0024283342,-0.99999994,0.0008155154,-0.9986359,-0.0012423763,-0.9999421,0.0020784244,-0.9999998,-0.00038597055,-0.99966884,0.00073416997,0.000567943,-0.0010392404,-0.00014141257,-0.0009852845
-0.99996006,-0.0014091276,-0.9999401,-0.0010197338,-0.9988603,0.0016707202,-0.9940537,-0.004898435,-0.9999945,0.00032061688,-0.9999702,-0.0014910996,-0.99079597,0.00075411913,-0.9999815,0.0004323194,-0.9992927,-0.00034761822,-0.9999686,0.004342004,-0.99985504,-0.0012478405,-0.96934503,0.0017425147,0.0007217472,-0.0015214115,-0.0006943005,-0.0011717952
-0.9996786,-0.0021090205,-0.9998279,-0.0015928713,-0.99995536,0.0014924224,-0.9973277,-0.0047265836,-0.99979925,0.0020920173,-0.9999666,-0.002100106,-0.9934411,0.002277868,-0.9999989,-0.00017669756,-0.99983716,-0.001283942,-0.9999879,0.0030449475,-0.9999998,-0.00058156933,-0.9999052,0.0011377719,0.0011872068,-0.00075368816,-0.00031897446,0.0009998981
-0.99999994,-0.0016332316,-1.0,-0.0013265343,-0.99995345,0.0013767503,-0.9999676,-0.003591354,-0.99999994,0.00081555796,-1.0,-0.0021429346,-0.99998045,0.0018641743,-1.0,-0.00078743696,-0.99992335,-0.0015114187,-0.9999939,0.0010795803,-1.0,0.0014172981,-0.999929,0.0011347207,0.0022534193,-0.0026925453,-0.00054530014,-0.00047996538
-0.9999102,-0.0029452213,-0.99999994,-0.0015555732,-0.9999838,0.0020642574,-0.99966925,-0.0047933464,-0.99999714,0.0008591981,-0.99988365,-0.0017718832,-0.9999886,0.002598269,-0.9999958,-0.00086579804,-0.9998418,-6.372837e-05,-0.9999999,0.0024410256,-0.9999959,-0.0006527974,-0.9999997,0.0024285554,0.0022760544,-0.00375892,-0.0017219955,0.00017882478
-0.99999964,-0.0018580093,-0.9999998,-0.0009921623,-0.99991643,0.0015638068,-0.9998136,-0.0049809334,-1.0,-0.0010568644,-0.99999225,-0.0013367261,-0.99999076,-0.000499885,-0.99999994,-0.00027130503,-0.9952627,-0.0011871333,-0.99999815,0.001853924,-1.0,-6.28382e-05,-0.9999967,0.0016144922,-0.003715741,-0.0042009875,-0.0015048244,-0.0030410013
-1.0,-0.0055406857,-1.0,-0.005758915,-1.0,0.0019003446,-1.0,-0.008059454,-1.0,-0.0024837526,-1.0,-0.002319096,-1.0,0.004175053,-1.0,-0.0030125347,-1.0,-0.0039705667,-1.0,-0.007777675,-1.0,0.004511159,-1.0,0.0010599869,-0.004660723,-0.013536928,-0.0031447401,-9.484844e-05
-1.0,-0.0012466668,-1.0,-0.0026220197,-1.0,0.0005679264,-0.9999998,-0.0055828854,-1.0,-0.003746405,-1.0,0.0006491855,-1.0,-0.0009508127,-1.0,-0.0014021869,-0.99999976,0.00031282025,-1.0,-0.002581441,-1.0,0.00043374134,-1.0,0.0032358167,-0.004467261,-0.008717839,-0.00297777,-0.0029150306
-1.0,-0.0023910203,-1.0,-0.0029030063,-0.9999996,0.00037099046,-0.9999999,-0.003021272,-1.0,-0.0016354267,-1.0,-0.0022800167,-1.0,0.002543947,-1.0,-0.0017598527,-0.9999985,-0.0018163776,-1.0,-0.005116984,-1.0,0.003993299,-1.0,0.0019470342,0.0020239672,-0.0069025583,-0.0003364773,-0.0010401752
-0.99999994,-0.00055126083,-1.0,-0.0020279062,-0.99949855,0.00055422954,-0.9993894,-0.005192041,-1.0,-0.0005985904,-0.9999992,-0.0015383654,-0.99986595,0.0001838932,-1.0,-0.00015898288,-0.999995,-0.00015079588,-0.99999917,0.0010430656,-0.99999994,0.00035542014,-0.9999599,0.0027574252,0.00078064355,-0.0042767813,-0.0006005237,-7.612124e-05
-0.99999964,-0.0012570577,-0.99999946,-0.0019568177,-0.99989194,0.0018804887,-0.99978876,-0.00649007,-1.0,-0.0021391748,-0.9999891,-0.0036919103,-0.999966,-0.0018031542,-1.0,-4.3608015e-05,-0.97398597,-0.003346519,-0.99652934,0.0007203886,-1.0,4.635984e-05,-0.9999951,0.0007988272,-0.004521165,-0.009358883,-0.0012869732,-0.0009154197
-0.9989543,-0.0044019134,-0.9975848,-0.020430228,-0.92401475,-0.012604003,-0.98313177,-0.013014878,-0.9989956,0.005354205,-0.99886626,0.005987983,-0.96065974,-0.0038816894,-0.99961233,-0.020807628,-0.8751483,0.0074816793,-0.98787683,0.0026554873,-0.9970258,0.008744688,-0.97328717,-0.0009711041,0.0019044569,-0.0067926934,-0.005039636,0.0016091514
-0.99999934,-0.0009399482,-0.99999994,-0.0017420236,-0.9999989,0.0010704972,-0.99906814,-0.004393868,-1.0,-0.00020330807,-0.99999994,-0.0016481916,-0.9995205,0.00013713475,-1.0,-0.00026990433,-0.99999845,-0.0011402746,-0.9999993,0.0025488487,-1.0,-0.00023349514,-0.99329644,0.0011852725,-2.497423e-05,-0.0029873746,-0.0003787436,-0.0015230419
-1.0,2.5163055e-05,-1.0,-0.0038300196,-1.0,-0.0017196139,-1.0,-0.00438663,-1.0,-0.004110864,-1.0,-0.0009799834,-1.0,-0.00061508606,-1.0,-0.003715132,-1.0,-0.00091617595,-1.0,-0.005999638,-1.0,0.0038097743,-1.0,0.0033461787,-0.00025121938,-0.012022299,-0.00230368,-0.0017157651
-1.0,-0.0030571038,-1.0,-0.0016813332,-0.9999955,0.0010124568,-0.9994762,-0.005073262,-1.0,-0.0006889736,-0.99999994,-0.0017226835,-0.99999696,0.0007965111,-1.0,-0.0010018417,-0.99995476,-0.0012125465,-1.0,0.00016692234,-1.0,0.0006695861,-0.9999997,0.0018881132,-0.003421029,-0.0062312717,-0.0021195558,-0.0017645714
-0.9999879,-0.0008925088,-0.9999562,-0.0007731604,-0.99676466,0.0016022804,-0.9986711,-0.0039061347,-0.9999918,0.0007572589,-0.9999978,-0.0014005182,-0.9914674,0.0005100908,-0.99999404,0.00032515795,-0.9996208,-0.00070469175,-0.99857485,0.0035760987,-0.9999864,-0.0004822942,-0.9862493,0.0014916459,0.00074244046,-0.0007375047,-0.00021265174,-0.0013134159
