Front Left,Front Right,Back Left,Back Right
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.2910373347433898, -0.35275289443015745), -2.4721019720186845)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-1.0360009  -2.47210197 -1.03199275         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.2910373347433898, -0.35275289443015745), -2.4721019720186845)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-1.0360009  -2.47210197 -1.03199275         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.29127948334270837, -0.3528962254350608), -2.478410625325597)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-1.03668722 -2.47841063 -0.61001606         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.28787479494365686, -0.3508602248471667), -2.4065553518308698)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-1.02701154 -2.40655535 -0.24784993         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.28119563677094694, -0.34673426515406375), -2.263927152276856)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-1.00786301 -2.26392715  0.10687574         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.27227085894722214, -0.34093905366702126), -2.0594575923804177)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-0.98190802 -2.05945759  0.47211761         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.23107501304124245, -0.3094823926966315), -1.9330226859609683)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-0.85540268 -1.93302269  0.93742539         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.1767030687029722, -0.2521489524347164), -1.9387420684601864)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-0.66238273 -1.93874207  0.98810287         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.1518052338434206, -0.21647264220026732), -1.831574220511527)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-0.55622267 -1.83157422  0.85378473         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.11472602547777755, -0.14022825876352402), -1.8042449908191314)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-0.34906585 -1.80424499  1.13181728         inf]
