Front Left,Front Right,Back Left,Back Right
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.1728829162014855, -0.19419448314941945), -2.41908286707032)","((0.17459535738168988, -0.19265632919984746), -2.4925197812798383)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.8345373  -2.49251978 -1.1719473          inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.1728829162014855, -0.19419448314941945), -2.41908286707032)","((0.17459535738168988, -0.19265632919984746), -2.4925197812798383)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.8345373  -2.49251978 -1.1719473          inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.1721956797217162, -0.1948041269716228), -2.442156149259005)","((0.17381828417261216, -0.19335771018319658), -2.515075789044397)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.84692384 -2.44215615 -1.05813389         inf],[-0.83856344 -2.51507579 -1.00965768         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.17109268560291738, -0.19577357567654852), -2.4704496610375495)","((0.17281767710556034, -0.19425254304600054), -2.5385800500253635)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.85257184 -2.47044966 -0.87845515         inf],[-0.84372638 -2.53858005 -0.8341475          inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.17052490108392182, -0.1962683319089422), -2.483037908883923)","((0.17261224303478592, -0.19443511399564636), -2.5428850759258936)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.85546839 -2.48303791 -0.70452477         inf],[-0.84478345 -2.54288508 -0.66627178         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.17123540721238809, -0.19564875495849093), -2.4681593211076356)","((0.17379285077169573, -0.19338057043210702), -2.5190612554120557)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.8518426  -2.46815932 -0.54310757         inf],[-0.83869497 -2.51906126 -0.50691141         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.17329113423653453, -0.19383029380108616), -2.4247759831039453)","((0.17633350889798521, -0.1910667256215068), -2.466538436480543)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.8412864  -2.42477598 -0.3861166          inf],[-0.82547796 -2.46653844 -0.34754183         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.17641208137774597, -0.1909941819636701), -2.3545386883317834)","((0.17992651696111656, -0.1876871026315901), -2.38563600101016)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.82506665 -2.35453869 -0.22629484         inf],[-0.80650574 -2.385636   -0.1824002          inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.1802010577606837, -0.18742352782383204), -2.2578729753083255)","((0.18409770648255988, -0.18359747947033814), -2.2755365680623783)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.80504196 -2.25787298 -0.06062293         inf],[-0.78403772 -2.27553657 -0.0088136          inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.18414669570288786, -0.1835483436637553), -2.1347511713826446)","((0.1881869498285088, -0.17940365635694916), -2.1354158262424647)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.78377086 -2.13475117  0.11198712         inf],[-0.76150848 -2.13541583  0.17459511         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.18678936987572373, -0.180858318308642), -2.0577486932149327)","((0.1904249208257318, -0.17702640912732137), -2.0647056369671475)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.76926713 -2.05774869  0.08285906         inf],[-0.74895095 -2.06470564  0.16204262         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.1896582243137324, -0.1778475694243865), -1.9787260067848251)","((0.19303902977035778, -0.17417213607612134), -1.988036123475811)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.75327189 -1.97872601  0.01352102         inf],[-0.73406443 -1.98803612  0.0872107          inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.192596109418272, -0.17466178356167386), -1.900763420046978)","((0.19574329190822173, -0.17112733175309172), -1.9127064504935056)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.73660387 -1.90076342 -0.0597002          inf],[-0.71840147 -1.91270645  0.0119604          inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.1955891646997819, -0.17130346946878103), -1.8227030891659508)","((0.19853840687180488, -0.167876445628342), -1.8370623893747844)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.71930166 -1.82270309 -0.13805592         inf],[-0.70191167 -1.83706239 -0.0683248          inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.19859863866547156, -0.16780518680964981), -1.7439900152109367)","((0.20138625456831769, -0.16444931277127536), -1.7605360850552536)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.70155281 -1.74399002 -0.22033532         inf],[-0.6847732  -1.76053609 -0.15229788         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.2015683939991686, -0.16422601054825614), -1.6644113937869047)","((0.20423504463307457, -0.16089762752671663), -1.6828479534629572)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.68366488 -1.66441139 -0.30547282         inf],[-0.66726133 -1.68284795 -0.23912211         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.20442235668309122, -0.16065957826451252), -1.584130569936649)","((0.20701615731614764, -0.15730324411802835), -1.6040418079578291)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.6660963  -1.58413057 -0.39214293         inf],[-0.64978154 -1.60404181 -0.32776527         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.2070624732644187, -0.1572422721968297), -1.5037617253707554)","((0.20964103057314867, -0.1537876402713435), -1.5245589538956272)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.64948704 -1.50376173 -0.47852783         inf],[-0.63290666 -1.52455895 -0.4167564          inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.26549349059343813, -0.33631339111898306), -2.463198148814327)","((0.2077247152336034, -0.15636637324283756), -1.47874915669232)","((0.21034284127210817, -0.15282633649203498), -1.4965881621451436)","((-0.2661683036991762, -0.33678292386206177), -2.463423811844899)"
[-0.96189438 -2.46319815 -0.95059924         inf],[-0.64526368 -1.47874916 -0.5854756          inf],[-0.62832885 -1.49658816 -0.58903242         inf],[-0.96389948 -2.46342381 -0.94518527         inf]
"((-0.26576051218022584, -0.33649942399048743), -2.470286413247511)","((0.20767575760278498, -0.15643138976595872), -1.4811590466776163)","((0.21032804709745861, -0.15284669641235046), -1.4973735553950398)","((-0.2664035759160557, -0.33694615394034994), -2.4696360286780537)"
[-0.96268813 -2.47028641 -0.62226121         inf],[-0.64557672 -1.48115905 -0.67506697         inf],[-0.62842565 -1.49737356 -0.68051416         inf],[-0.9645979  -2.46963603 -0.61778479         inf]
"((-0.2636255724655121, -0.3350031791009499), -2.425965398867015)","((0.20785985376466537, -0.15618668699006305), -1.6033868515418241)","((0.21054551358990972, -0.15254699835513363), -1.6175727416415473)","((-0.26423576649355457, -0.33543289373452667), -2.424625975780209)"
[-0.95632946 -2.4259654  -0.33990722         inf],[-0.64439894 -1.60338685 -0.63719603         inf],[-0.62700148 -1.61757274 -0.64636713         inf],[-0.95814975 -2.42462598 -0.33571685         inf]
"((-0.2591610519984444, -0.3318080787526187), -2.339923641325202)","((0.20755495397464233, -0.15659163796507178), -1.619830473006159)","((0.21029334890447646, -0.15289443222871177), -1.6325157910018042)","((-0.25975176599249306, -0.33223603967100584), -2.3379820247333214)"
