Front Left,Front Right,Back Left,Back Right
"((-0.2949999999999999, -0.3550704155516198), -2.443460952792061)","((0.1300000000000001, -0.22516660498395402), -2.443460952792061)","((0.1300000000000001, -0.22516660498395402), -2.443460952792061)","((-0.2949999999999999, -0.3550704155516198), -2.443460952792061)"
[-1.04719755 -2.44346095 -1.04719755         inf],[-1.04719755 -2.44346095 -1.04719755         inf],[-1.04719755 -2.44346095 -1.04719755         inf],[-1.04719755 -2.44346095 -1.04719755         inf]
"((-0.2939339762199227, -0.3544528090500463), -2.4642166565137757)","((0.13241635705206484, -0.22375412484479495), -2.4870134224691047)","((0.13241635705206484, -0.22375412484479495), -2.4870134224691047)","((-0.2939339762199227, -0.3544528090500463), -2.4642166565137757)"
[-1.04419265 -2.46421666 -1.02256507         inf],[-1.03643247 -2.48701342 -1.03277965         inf],[-1.03643247 -2.48701342 -1.03277965         inf],[-1.04419265 -2.46421666 -1.02256507         inf]
"((-0.2938129613656919, -0.3543824277517359), -2.4486271130338015)","((0.1331099024947068, -0.22334223482774065), -2.471499143456466)","((0.13337168821453507, -0.2231860048990636), -2.4635261845622276)","((-0.2938129613656919, -0.3543824277517359), -2.4486271130338015)"
[-1.0438512  -2.44862711 -1.04611943         inf],[-1.03333003 -2.47149914 -0.9437958          inf],[-1.03215749 -2.46352618 -1.04724402         inf],[-1.0438512  -2.44862711 -1.04611943         inf]
"((-0.293788571454315, -0.35436823607251794), -2.444785579946491)","((0.13313598944256655, -0.22332668518372098), -2.4709505297689494)","((0.1337934526836666, -0.22293342508243008), -2.4528884577898675)","((-0.293788571454315, -0.35436823607251794), -2.444785579946491)"
[-1.04378238 -2.44478558 -1.05301101         inf],[-1.03321322 -2.47095053 -0.83783833         inf],[-1.03026668 -2.45288846 -1.05490344         inf],[-1.04378238 -2.44478558 -1.05301101         inf]
"((-0.293782632780093, -0.3543647802150914), -2.443792878417638)","((0.1331541156992237, -0.22331587823609353), -2.4705866001019965)","((0.13398920413187457, -0.22281582792994498), -2.447888723276976)","((-0.293782632780093, -0.3543647802150914), -2.443792878417638)"
[-1.04376562 -2.44379288 -1.05484308         inf],[-1.03313206 -2.4705866  -0.72739896         inf],[-1.02938838 -2.44788872 -1.05871967         inf],[-1.04376562 -2.44379288 -1.05484308         inf]
"((-0.2937811046913987, -0.35436389096196036), -2.443533279636842)","((0.13355743129495215, -0.22307490344253014), -2.4626607049295597)","((0.134082223572522, -0.2227598647015396), -2.4454982401744236)","((-0.2937811046913987, -0.35436389096196036), -2.443533279636842)"
[-1.04376131 -2.44353328 -1.05532542         inf],[-1.03132505 -2.4626607  -0.61823415         inf],[-1.02897085 -2.44549824 -1.06059105         inf],[-1.04376131 -2.44353328 -1.05532542         inf]
"((-0.29378070556380387, -0.35436365869292724), -2.4434651826205354)","((0.134482062445638, -0.22251870680993885), -2.44442749913689)","((0.1341269273013101, -0.2227329508014229), -2.444345964506556)","((-0.29378070556380387, -0.35436365869292724), -2.4434651826205354)"
[-1.04376018 -2.44346518 -1.05545216         inf],[-1.02717495 -2.4444275  -0.51040695         inf],[-1.02877016 -2.44434596 -1.06150369         inf],[-1.04376018 -2.44346518 -1.05545216         inf]
"((-0.2937806008996134, -0.35436359778435966), -2.4434473052063432)","((0.1359161091771738, -0.2216456885800817), -2.4153642697756674)","((0.13414852853331943, -0.22271994138905746), -2.4437883631638972)","((-0.2937806008996134, -0.35436359778435966), -2.4434473052063432)"
[-1.04375989 -2.44344731 -1.05548545         inf],[-1.02071769 -2.41536427 -0.40223393         inf],[-1.02867317 -2.44378836 -1.06194778         inf],[-1.04375989 -2.44344731 -1.05548545         inf]
"((-0.29378057342459085, -0.35436358179546246), -2.443442610877945)","((0.13779072714522336, -0.2204851820707927), -2.3753275830035596)","((0.13415899398964828, -0.22271363750719336), -2.4435180227677917)","((-0.29378057342459085, -0.35436358179546246), -2.443442610877945)"
[-1.04375981 -2.44344261 -1.05549419         inf],[-1.01223782 -2.37532758 -0.29232787         inf],[-1.02862618 -2.44351802 -1.06216366         inf],[-1.04375981 -2.44344261 -1.05549419         inf]
"((-0.2937805662102413, -0.3543635775971217), -2.4434413781523117)","((0.1400063424223098, -0.219084970003711), -2.3240095148574706)","((0.13416407082427587, -0.22271057922752277), -2.443386834442804)","((-0.2937805662102413, -0.3543635775971217), -2.4434413781523117)"
[-1.04375979 -2.44344138 -1.05549649         inf],[-1.00215708 -2.32400951 -0.17976982         inf],[-1.02860339 -2.44338683 -1.06226855         inf],[-1.04375979 -2.44344138 -1.05549649         inf]
