"[[ 0.          0.09960549 -0.23616187 -0.04467362]
 [ 0.1        -0.140164   -0.3924739  -0.64885691]]","[[ 0.          0.09960549 -0.23616187 -0.04467362]
 [ 0.         -0.240164   -0.4924739  -0.74885691]]","[[-0.5        -0.26706592 -0.5998021  -0.53110255]
 [ 0.1        -0.23740438 -0.49369842 -0.64919881]]","[[-0.5        -0.26706592 -0.5998021  -0.53110255]
 [ 0.         -0.33740438 -0.59369842 -0.74919881]]"
"[((0, 0.1), -1.1776484565209433)
 ((0.09960548530189121, -0.14016400083645913), -2.4971689076787227)
 ((-0.23616186716586957, -0.3924738996053947), -0.9292927464634175)
 ((-0.04467361716341067, -0.6488569140798248), inf)]","[((0.0, 0.0), -1.1776484565209415)
 ((0.09960548530189164, -0.24016400083645895), -2.4971689076787227)
 ((-0.23616186716586915, -0.4924738996053945), -0.9292927464634193)
 ((-0.04467361716341073, -0.7488569140798249), inf)]","[((-0.5, 0.1), -0.9665622975565116)
 ((-0.26706592226574444, -0.2374043796842177), -2.485249470939441)
 ((-0.5998021026169713, -0.4936984184078599), -1.1547852382245152)
 ((-0.5311025546927285, -0.6491988110601122), inf)]","[((-0.5, 0), -0.9665622975565089)
 ((-0.26706592226574355, -0.33740437968421716), -2.485249470939441)
 ((-0.5998021026169704, -0.5936984184078593), -1.1547852382245196)
 ((-0.5311025546927283, -0.749198811060112), inf)]"
"[((0, 0.1), -1.1824574175814693)
 ((0.09844939868395505, -0.14064022086668654), -2.518708576870077)
 ((-0.24267431745020382, -0.38565983292013384), -0.7335230016867973)
 ((-0.00497178945683166, -0.599896870300602), inf)]","[((0.0, 0.0), -1.1824574175814675)
 ((0.09844939868395547, -0.24064022086668635), -2.518708576870077)
 ((-0.2426743174502034, -0.4856598329201336), -0.7335230016867982)
 ((-0.004971789456831438, -0.699896870300602), inf)]","[((-0.5, 0.1), -0.9708771068408177)
 ((-0.2685239216293716, -0.23840630186530906), -2.5311276373602967)
 ((-0.6126641669881008, -0.47917069193251505), -0.7820955987949034)
 ((-0.49205967526820943, -0.5989811947149785), inf)]","[((-0.5, 0), -0.9708771068408151)
 ((-0.2685239216293707, -0.33840630186530846), -2.5311276373602967)
 ((-0.6126641669880999, -0.5791706919325145), -0.7820955987949088)
 ((-0.4920596752682092, -0.6989811947149784), inf)]"
"[((0, 0.1), -1.1834171445507646)
 ((0.09821840446986708, -0.14073459457126972), -2.5230637982263397)
 ((-0.24396918773371234, -0.38426621827118435), -0.5387928956392312)
 ((0.030695987346823383, -0.5484583057723141), inf)]","[((0.0, 0.0), -1.1834171445507629)
 ((0.09821840446986752, -0.24073459457126953), -2.5230637982263397)
 ((-0.2439691877337119, -0.4842662182711842), -0.5387928956392329)
 ((0.03069598734682355, -0.6484583057723146), inf)]","[((-0.5, 0.1), -0.9702093527052735)
 ((-0.26829800104567897, -0.23825165732124923), -2.5270028761458865)
 ((-0.6114422260649109, -0.48043349156145543), -0.4205962771032947)
 ((-0.4562584673019374, -0.5498453134378134), inf)]","[((-0.5, 0), -0.9702093527052718)
 ((-0.26829800104567836, -0.3382516573212488), -2.527002876145888)
 ((-0.6114422260649106, -0.5804334915614545), -0.4205962771032983)
 ((-0.45625846730193736, -0.649845313437813), inf)]"
"[((0, 0.1), -1.1768804940304554)
 ((0.09978989285598787, -0.14008743674709526), -2.4900807220763017)
 ((-0.234180620356348, -0.3947709586025324), -0.35219562522710746)
 ((0.06617700336424859, -0.505157995309369), inf)]","[((0.0, 0.0), -1.1768804940304536)
 ((0.0997898928559883, -0.2400874367470951), -2.4900807220763026)
 ((-0.23418062035634782, -0.494770958602532), -0.35219562522710834)
 ((0.06617700336424867, -0.6051579953093689), inf)]","[((-0.5, 0.1), -0.9561754899820087)
 ((-0.26357399593747544, -0.23496678134260882), -2.4575460889763336)
 ((-0.5890831972341779, -0.5003792148704729), -0.0970050507818554)
 ((-0.4198824185074156, -0.5168442225612464), inf)]","[((-0.5, 0), -0.956175489982007)
 ((-0.2635739959374749, -0.3349667813426084), -2.457546088976335)
 ((-0.5890831972341777, -0.6003792148704721), -0.09700505078185895)
 ((-0.4198824185074155, -0.6168442225612462), inf)]"
"[((0, 0.1), -1.1649438582458638)
 ((0.10264855197885171, -0.13887920540860182), -2.4133546154372008)
 ((-0.21081771045526332, -0.4184125707079637), -0.15797981271739925)
 ((0.10519736834719412, -0.4687560903453174), inf)]","[((0.0, 0.0), -1.1649438582458629)
 ((0.10264855197885192, -0.23887920540860172), -2.4133546154372016)
 ((-0.21081771045526337, -0.5184125707079633), -0.15797981271740102)
 ((0.10519736834719395, -0.5687560903453175), inf)]","[((-0.5, 0.1), -0.9246429642855674)
 ((-0.2531309270378759, -0.2273463927017089), -2.339452117404527)
 ((-0.5451021538851213, -0.5292616170500586), 0.24128825260737435)
 ((-0.38002689274299667, -0.48863947827254745), inf)]","[((-0.5, 0), -0.9246429642855656)
 ((-0.2531309270378753, -0.3273463927017085), -2.339452117404529)
 ((-0.5451021538851213, -0.6292616170500577), 0.24128825260737208)
 ((-0.3800268927429966, -0.5886394782725469), inf)]"
"[((0, 0.1), -1.153436515691542)
 ((0.10539055992718631, -0.13768220353706365), -2.283106877655296)
 ((-0.16911483061414279, -0.4555607818712326), 0.05524130312517936)
 ((0.15039703728550174, -0.4378925541366774), inf)]","[((0.0, 0.0), -1.1534365156915412)
 ((0.10539055992718652, -0.23768220353706357), -2.283106877655298)
 ((-0.1691148306141432, -0.555560781871232), 0.055241303125178054)
 ((0.15039703728550138, -0.5378925541366772), inf)]","[((-0.5, 0.1), -0.8403855794004462)
 ((-0.22645798055442173, -0.20540917405610928), -2.275181248889165)
 ((-0.4984353883031376, -0.5254533736196833), 0.4530746857864001)
 ((-0.3455874591098563, -0.4510389224604785), inf)]","[((-0.5, 0), -0.8403855794004444)
 ((-0.22645798055442118, -0.3054091740561088), -2.275181248889167)
 ((-0.4984353883031376, -0.6254533736196822), 0.4530746857863983)
 ((-0.3455874591098561, -0.5510389224604778), inf)]"
"[((0, 0.1), -1.1550017828086725)
 ((0.1050183948349494, -0.13784687667970474), -2.0817570048388605)
 ((-0.10036809331265759, -0.5042024286867582), 0.29636301310030755)
 ((0.2056814975492912, -0.4107484403650512), inf)]","[((0.0, 0.0), -1.1550017828086707)
 ((0.10501839483494983, -0.23784687667970456), -2.0817570048388614)
 ((-0.10036809331265749, -0.6042024286867579), 0.2963630131003059)
 ((0.20568149754929144, -0.5107484403650514), inf)]","[((-0.5, 0.1), -0.6931005386767728)
 ((-0.184599831817381, -0.1619594127157404), -2.2964284125670034)
 ((-0.4633153707352178, -0.47615306059191853), 0.517345554301762)
 ((-0.3155624101761004, -0.3920753426993881), inf)]","[((-0.5, 0), -0.6931005386767701)
 ((-0.18459983181738027, -0.2619594127157396), -2.296428412567005)
 ((-0.46331537073521767, -0.5761530605919172), 0.5173455543017602)
 ((-0.3155624101761002, -0.492075342699387), inf)]"
"[((0, 0.1), -1.1931848432204282)
 ((0.09586233351085319, -0.14168246319055494), -1.7886499626343628)
 ((0.005085847416432324, -0.5517551757335251), 0.573096515644095)
 ((0.2739581554194311, -0.37823952229228486), inf)]","[((0.0, 0.0), -1.1931848432204264)
 ((0.09586233351085362, -0.24168246319055478), -1.7886499626343655)
 ((0.0050858474164316575, -0.6517551757335246), 0.5730965156440946)
 ((0.2739581554194305, -0.4782395222922845), inf)]","[((-0.5, 0.1), -0.5114793232948589)
 ((-0.14247123379816684, -0.10068179124722529), -2.339859650017708)
 ((-0.43456547669664064, -0.4024780027303507), 0.4960983906239238)
 ((-0.28505958719979707, -0.32155835736683225), inf)]","[((-0.5, 0), -0.5114793232948571)
 ((-0.14247123379816645, -0.20068179124722466), -2.3398596500177096)
 ((-0.43456547669664075, -0.5024780027303496), 0.496098390623922)
 ((-0.28505958719979707, -0.42155835736683134), inf)]"
"[((0, 0.1), -1.324280972494888)
 ((0.06344679835054814, -0.1521398496451223), -1.3349853112082313)
 ((0.1615720842690247, -0.5605164261813106), 1.21389983491681)
 ((0.2733698372401178, -0.26068103395648595), inf)]","[((0.0, 0.0), -1.3242809724948872)
 ((0.06344679835054837, -0.25213984964512226), -1.3349853112082322)
 ((0.16157208426902459, -0.6605164261813106), 1.213899834916809)
 ((0.273369837240118, -0.360681033956486), inf)]","[((-0.5, 0.1), -0.3490658503988655)
 ((-0.11472602547777755, -0.04022825876352401), -2.3286437651865364)
 ((-0.4034170558317325, -0.3452815147585583), 0.45266715317321937)
 ((-0.25053881301625947, -0.270929360293114), inf)]","[((-0.5, 0), -0.3490658503988655)
 ((-0.11472602547777755, -0.14022825876352402), -2.3286437651865364)
 ((-0.4034170558317325, -0.44528151475855826), 0.4526671531732176)
 ((-0.25053881301625935, -0.37092936029311424), inf)]"
